DateTime,AddedIPs,RemovedIPs
1535529941,2,2
1535533536,2,3
1535537144,4,1
1535540747,2,2
1535544344,1,4
1535547940,2,1
1535551558,1,1
1535555151,2,1
1535558748,1,1
1535562356,1,2
1535565945,3,0
1535569554,0,2
1535573143,1,1
1535576763,0,1
1535580349,1,3
1535583950,2,0
1535587550,1,3
1535591153,1,0
1535594739,0,1
1535598379,3,2
1535601942,1,2
1535605588,1,13
1535609159,14,1
1535612756,3,2
1535616360,1,2
1535623531,4,4
1535627146,2,1
1535630753,0,1
1535634349,3,1
1535637929,2,2
1535641531,2,1
1535645151,2,0
1535648746,2,3
1535652349,1,1
1535655946,1,2
1535659552,3,2
1535663138,0,3
1535666730,3,1
1535670344,1,1
1535673984,1,1
1535677532,1,1
1535681135,1,2
1535684734,2,2
1535688351,3,2
1535691936,2,0
1535695563,2,3
1535699141,2,1
1535702760,2,1
1535706345,0,5
1535709943,4,1
1535713549,2,1
1535717157,1,1
1535720733,1,1
1535724338,2,2
1535727945,2,1
1535731539,1,3
1535735138,1,2
1535738758,0,1
1535742346,1,0
1535745953,1,1
1535749554,1,1
1535753127,0,1
1535756737,3,3
1535760353,3,0
1535763954,1,2
1535767541,2,2
1535771154,1,2
1535774757,1,2
1535778368,1,1
1535781936,3,1
1535785557,1,1
1535789156,2,1
1535792764,0,1
1535796342,1,2
1535799956,2,0
1535803546,3,4
1535807132,3,1
1535810737,0,3
1535814351,2,0
1535817937,1,0
1535821556,1,3
1535825137,2,1
1535828743,3,5
1535832331,2,0
1535835963,2,1
1535839539,1,2
1535843154,2,1
1535846754,0,2
1535850362,2,1
1535853949,0,1
1535857539,1,2
1535861147,0,1
1535864733,2,2
1535871956,0,3
1535875538,2,1
1535879168,2,2
1535882751,1,1
1535886334,1,0
1535889937,2,1
1535893574,2,2
1535897146,0,1
1535900745,2,0
1535904334,0,2
1535907944,2,3
1535911543,1,1
1535915165,1,0
1535918745,1,0
1535922357,1,2
1535925940,0,1
1535929530,3,0
1535933191,1,1
1535936724,1,0
1535940340,2,1
1535943937,2,1
1535947542,1,3
1535951142,0,2
1535954735,3,2
1535958335,1,2
1535961920,5,2
1535965521,1,1
1535969126,3,2
1535972737,1,2
1535976320,2,1
1535979922,1,1
1535983549,1,2
1535987129,2,4
1535990730,2,3
1535994344,2,1
1535997939,2,1
1536001533,1,1
1536005135,2,0
1536008722,1,2
1536012337,1,2
1536015933,2,0
1536019548,2,3
1536023149,1,1
1536026748,2,2
1536030354,0,2
1536033924,0,1
1536037535,3,1
1536041133,1,1
1536044716,1,2
1536048336,1,1
1536051927,1,1
1536055535,1,1
1536059155,2,1
1536062726,2,2
1536066347,2,5
1536069939,4,1
1536073562,1,2
1536077139,1,2
1536080746,2,1
1536084343,0,2
1536087940,2,1
1536091538,1,1
1536095161,1,1
1536098738,0,1
1536102341,2,1
1536105961,2,4
1536109541,4,1
1536113149,2,0
1536116739,2,2
1536120357,1,1
1536123957,1,5
1536127528,4,3
1536131138,1,1
1536134730,2,1
1536138346,2,2
1536141954,2,2
1536145551,1,1
1536149140,1,2
1536152741,3,2
1536156332,1,1
1536159939,2,0
1536167161,0,1
1536170745,2,4
1536174349,3,2
1536177937,0,2
1536181542,1,0
1536185137,1,1
1536188727,2,1
1536192349,1,1
1536195934,1,0
1536199541,3,3
1536203129,3,2
1536206741,1,2
1536210325,3,2
1536213927,2,3
1536217540,2,0
1536221135,1,3
1536224750,1,1
1536228349,1,4
1536231926,3,1
1536235548,2,1
1536239121,5,3
1536242749,3,0
1536246344,1,2
1536249926,2,3
1536253540,1,6
1536257125,4,1
1536260737,3,1
1536264328,2,2
1536267943,3,2
1536271539,0,1
1536275145,1,3
1536278768,1,2
1536282347,4,1
1536285923,2,2
1536289556,3,3
1536293143,2,1
1536296724,3,4
1536300339,2,3
1536303929,2,1
1536307543,1,3
1536311143,0,4
1536314731,5,2
1536318357,1,2
1536321944,2,3
1536325530,3,1
1536329137,4,1
1536332743,2,1
1536336334,2,3
1536339938,1,2
1536343533,2,4
1536347131,3,2
1536350736,2,1
1536354351,1,2
1536357943,2,1
1536361550,0,3
1536365151,3,1
1536368756,1,2
1536372352,2,0
1536375936,2,1
1536379546,1,4
1536383163,1,0
1536386762,1,2
1536390330,2,1
1536393943,2,1
1536401170,1,2
1536404749,2,2
1536408366,1,3
1536411955,2,4
1536415555,4,1
1536419154,1,3
1536422745,3,1
1536426340,3,1
1536429930,1,3
1536433537,1,1
1536437144,1,0
1536440753,0,2
1536444355,2,2
1536447927,4,3
1536451560,3,0
1536455139,1,0
1536458745,2,1
1536462324,2,2
1536465934,1,2
1536469532,0,3
1536473139,0,2
1536476747,2,1
1536480335,2,0
1536483923,2,2
1536487527,1,2
1536491137,2,1
1536494741,1,1
1536498340,0,1
1536501955,0,3
1536505541,2,2
1536509139,3,2
1536512729,3,4
1536516316,3,0
1536519930,3,1
1536523536,0,2
1536527151,0,2
1536530717,2,2
1536534345,4,2
1536537975,1,2
1536541526,1,0
1536545140,3,3
1536548761,2,2
1536552333,1,0
1536555943,1,0
1536559536,3,2
1536563143,2,3
1536566736,4,3
1536570344,2,2
1536573936,1,1
1536577545,3,4
1536581150,3,3
1536584725,1,2
1536588333,2,2
1536591934,3,1
1536595518,3,2
1536599137,0,2
1536602728,1,0
1536606341,1,1
1536609940,1,3
1536613529,2,3
1536617125,1,2
1536620753,1,2
1536624356,1,0
1536627965,1,1
1536631540,2,2
1536635146,2,1
1536638743,2,1
1536642339,2,0
1536645954,0,2
1536649540,2,4
1536653151,2,1
1536656765,2,2
1536660340,1,1
1536663925,2,3
1536667527,3,2
1536671141,2,1
1536674753,2,2
1536678347,2,2
1536681957,1,1
1536685555,2,3
1536689149,1,4
1536692742,3,2
1536696349,4,1
1536699942,3,2
1536703542,2,1
1536707145,0,4
1536710788,5,1
1536714339,1,3
1536717945,3,1
