DateTime,AddedIPs,RemovedIPs
1535519241,2,1
1535522858,1,0
1535526494,2,2
1535530035,1,1
1535533695,1,0
1535537244,0,1
1535540848,2,1
1535544442,1,1
1535548039,1,1
1535551651,2,1
1535555245,1,1
1535558851,0,1
1535562457,0,2
1535566047,1,0
1535569659,0,4
1535573242,4,0
1535576862,0,1
1535580448,0,1
1535584050,1,0
1535587647,1,1
1535591235,2,2
1535594836,3,1
1535598475,2,2
1535602034,1,2
1535605805,0,1
1535609257,1,2
1535612851,2,1
1535616450,0,1
1535620044,3,1
1535623627,1,0
1535627239,0,2
1535630850,0,2
1535638022,2,1
1535641630,4,4
1535645244,3,0
1535648844,1,1
1535652441,1,1
1535656041,1,3
1535659891,3,2
1535663233,1,1
1535666889,1,2
1535670436,0,1
1535674082,1,2
1535681231,1,0
1535684833,2,0
1535688448,1,1
1535692033,1,2
1535695659,1,2
1535699235,1,3
1535702858,3,2
1535706441,2,3
1535710036,3,1
1535713641,2,1
1535717254,1,2
1535720830,2,1
1535724434,1,2
1535728041,2,1
1535731637,0,2
1535735234,1,3
1535738854,2,2
1535746050,1,1
1535749648,1,1
1535753214,2,1
1535756832,1,0
1535760452,1,2
1535764055,2,3
1535767766,1,1
1535771432,0,1
1535774862,1,1
1535778468,2,0
1535782096,2,1
1535785656,1,1
1535789255,0,2
1535792912,0,2
1535796435,1,1
1535800052,2,0
1535803644,1,0
1535807296,3,1
1535814444,1,4
1535818030,2,3
1535821656,2,2
1535825233,2,1
1535828843,2,1
1535832428,4,2
1535836068,1,1
1535839637,1,2
1535843252,0,1
1535846858,1,1
1535850459,2,1
1535854051,1,0
1535857637,2,2
1535861247,0,2
1535864834,1,2
1535868464,1,1
1535872054,2,1
1535875635,1,1
1535879265,2,2
1535882843,1,2
1535886433,0,1
1535890033,0,2
1535893669,3,0
1535897244,3,1
1535900847,2,1
1535904435,1,3
1535908039,2,1
1535911643,0,3
1535915267,1,3
1535918844,1,1
1535922457,2,1
1535926032,0,1
1535929632,2,1
1535933287,1,0
1535936820,1,1
1535940437,0,1
1535944033,1,0
1535947631,2,3
1535951235,3,0
1535954833,2,1
1535958433,1,1
1535962019,0,1
1535965616,0,3
1535969223,1,1
1535972829,2,1
1535976418,3,0
1535980025,1,2
1535983644,2,1
1535987224,1,2
1535990825,0,3
1535994442,2,0
1535998036,1,1
1536001629,1,1
1536005228,1,2
1536008815,1,0
1536012429,1,0
1536016030,1,2
1536019645,1,0
1536023245,2,3
1536026839,2,0
1536030449,2,2
1536034020,0,2
1536037624,1,1
1536041228,1,2
1536044810,3,0
1536048426,1,2
1536052017,1,1
1536055627,2,4
1536059250,3,0
1536062822,3,2
1536066439,0,1
1536070037,1,1
1536073657,1,2
1536077234,4,2
1536080837,1,1
1536084431,2,1
1536088036,0,1
1536091632,1,4
1536095256,1,2
1536098835,1,2
1536102437,2,1
1536106064,1,0
1536109640,3,1
1536113283,2,2
1536120461,1,5
1536124061,2,1
1536127614,1,0
1536131238,2,1
1536134834,1,0
1536138447,3,0
1536142054,0,3
1536145654,2,0
1536149240,1,3
1536152839,1,2
1536156433,1,2
1536160034,1,0
1536163629,2,4
1536167266,1,1
1536170845,0,3
1536174443,3,0
1536178032,1,0
1536181644,2,1
1536185233,2,0
1536188831,1,4
1536192447,3,1
1536196026,1,2
1536199632,1,1
1536203227,1,2
1536206835,2,2
1536210420,2,0
1536214023,1,1
1536217636,1,2
1536221231,2,2
1536224845,2,1
1536228444,2,2
1536232015,0,1
1536235643,3,2
1536239216,1,2
1536242846,1,0
1536246436,0,2
1536250023,2,1
1536253635,0,1
1536257221,1,2
1536260834,1,1
1536264422,1,1
1536268041,1,2
1536271634,1,1
1536275241,2,1
1536278860,4,1
1536282434,2,1
1536286021,2,1
1536289656,2,2
1536293240,2,4
1536296821,0,1
1536300435,2,2
1536304026,0,1
1536307639,1,1
1536311231,1,0
1536318454,1,2
1536322041,2,2
1536325627,0,1
1536329223,3,0
1536332836,1,0
1536336426,2,3
1536340034,0,1
1536343629,1,1
1536347223,1,2
1536350832,2,1
1536354445,1,2
1536358036,1,1
1536361647,1,2
1536365247,3,2
1536368846,3,0
1536372445,2,1
1536376035,2,3
1536379643,1,3
1536383254,2,2
1536386858,0,2
1536390422,2,1
1536394033,1,1
1536397625,0,1
1536401266,2,0
1536404844,0,1
1536408464,1,2
1536412051,1,0
1536415650,1,1
1536419250,2,1
1536422842,1,0
1536426438,0,2
1536430028,2,3
1536433629,2,2
1536437240,2,1
1536440848,1,1
1536444452,0,2
1536448018,1,1
1536451842,4,1
1536455238,1,1
1536458849,1,1
1536462414,1,0
1536466038,1,4
1536469693,1,0
1536476848,0,1
1536480428,1,1
1536484015,3,1
1536487627,0,2
1536491236,2,1
1536494840,1,2
1536498439,3,1
1536502060,0,1
1536505635,1,2
1536509245,1,2
1536512830,1,0
1536516425,1,0
1536520027,0,1
1536523626,2,1
1536527250,2,1
1536530816,2,2
1536534440,1,2
1536538074,2,1
1536541621,0,1
1536545238,1,1
1536548858,1,2
1536552424,2,1
1536556038,1,1
1536559630,2,2
1536563234,1,1
1536566829,2,1
1536570440,2,2
1536574021,2,2
1536577642,2,2
1536581246,1,3
1536584820,2,1
1536588422,1,2
1536592032,3,1
1536595620,2,1
1536599233,0,1
1536602822,0,2
1536606438,2,2
1536610039,1,0
1536613624,3,2
1536617220,3,3
1536620851,0,2
1536624453,2,1
1536628063,4,0
1536631634,0,3
1536635243,1,1
1536638841,1,1
1536642437,2,1
1536646045,2,2
1536649639,2,1
1536653244,1,3
1536656864,2,2
1536660438,2,2
1536664022,2,2
1536667624,2,2
1536671237,1,2
1536674851,2,1
1536678437,3,2
1536682053,0,3
1536685651,1,2
1536689245,2,2
1536696446,2,1
1536700028,2,2
1536703640,0,2
1536707243,3,1
1536710885,1,0
1536714427,3,1
1536718037,1,0
1536721632,1,3
1536725245,1,2
1536728829,3,3
1536732438,0,1
1536736030,2,2
1536739644,2,1
1536743224,2,1
1536746854,1,1
1536750450,1,1
1536754044,0,1
1536757645,2,2
1536761240,0,2
1536764849,1,0
1536768447,2,1
1536772039,2,2
1536775632,2,1
1536779248,1,2
1536782825,2,1
1536786428,1,2
1536790039,0,1
1536793627,2,1
1536797351,1,1
1536800870,1,1
1536804424,2,2
1536808034,1,0
1536811653,0,3
1536815244,4,1
1536818847,2,0
1536822441,1,2
1536826030,1,2
1536829621,2,1
1536833247,1,2
1536836838,0,4
1536840445,2,1
1536844046,2,1
1536847640,1,2
1536851244,1,0
1536854832,4,2
1536858433,2,1
1536862022,1,1
1536869201,0,2
1536872846,1,1
1536876442,0,2
1536880043,3,2
1536883660,3,1
1536887222,2,2
1536890834,3,1
1536894425,1,2
1536898030,1,3
1536901646,2,2
1536905214,3,2
1536908824,3,2
1536912430,3,2
1536916046,1,2
1536919628,1,1
1536923241,1,4
1536930422,2,1
1536934026,2,1
1536937632,1,2
1536941233,2,0
1536944853,1,2
1536948438,0,1
1536952033,1,2
1536955629,1,0
1536959250,1,2
1536962808,2,0
1536966432,1,2
1536970064,0,1
1536973635,2,1
1536977235,2,0
1536980825,1,2
1536984445,2,2
1536988020,0,1
1536991638,1,1
1536995231,0,1
1536998841,1,1
1537002423,1,1
1537006027,1,1
1537009642,1,1
1537013234,2,1
1537016838,1,3
1537020430,2,0
1537024017,1,2
1537027638,2,1
1537031245,1,1
1537034810,3,2
1537038435,2,2
1537042016,2,1
1537045624,2,2
1537049228,1,3
1537052850,3,2
1537056459,2,1
1537060035,3,2
1537063625,2,1
1537067235,2,3
1537070835,1,2
1537074423,2,1
1537078037,1,4
1537081634,1,1
1537085223,1,3
1537088809,2,2
1537092428,1,1
1537096030,1,2
1537099626,3,2
1537103235,3,2
1537106828,3,2
1537110411,3,2
1537114032,2,2
1537117622,2,2
1537121213,3,3
1537124814,1,1
1537128429,2,1
1537132040,1,3
1537135638,3,3
1537139227,2,2
1537142880,1,2
1537146443,1,1
1537150032,3,2
1537153614,3,1
1537157230,1,2
1537160815,2,1
1537164431,2,1
1537168030,2,4
1537171622,3,1
1537175220,2,4
1537178841,2,2
1537182425,3,1
1537186012,2,3
1537189641,2,3
1537193243,1,2
1537196824,1,2
1537200429,1,1
1537204031,1,1
1537207636,1,2
1537211225,1,0
1537214829,2,2
1537218422,1,1
1537222031,1,0
1537225616,1,0
1537229255,1,2
1537232878,1,2
1537236443,2,1
1537240034,3,3
1537243650,3,2
1537247223,0,1
1537250839,2,1
1537254422,1,3
1537258063,4,1
1537261621,1,1
1537265248,1,1
1537268840,1,2
1537272437,1,1
1537276045,1,2
1537279648,2,2
1537283225,2,0
1537286852,1,1
1537290445,1,2
1537294022,2,1
1537297624,0,1
1537301241,1,1
1537304828,1,1
1537308453,1,1
1537312030,0,1
1537315651,1,1
1537319242,1,3
1537322829,3,1
1537326451,3,0
1537330059,0,1
1537333642,1,2
1537337250,2,2
1537340830,1,3
1537344442,0,2
1537348029,3,2
1537351631,1,0
