DateTime,Entries,UniqueIPs
1536377540,14809,14809
1536379476,14786,14786
1536381370,14729,14729
1536383315,14733,14733
1536385230,14744,14744
1536387153,14574,14574
1536389048,14408,14408
1536391229,14397,14397
1536393161,14324,14324
1536395060,14312,14312
1536396970,14294,14294
1536398914,14312,14312
1536400841,14316,14316
1536402761,14311,14311
1536404663,14285,14285
1536406574,14276,14276
1536408524,14228,14228
1536410424,14228,14228
1536412360,14199,14199
1536414255,14093,14093
1536416205,14192,14192
1536418094,14216,14216
1536420036,14191,14191
1536421942,14214,14214
1536424116,13905,13905
1536426030,15380,15380
1536427957,16812,16812
1536429869,17263,17263
1536431779,15282,15282
1536433722,15264,15264
1536435632,15295,15295
1536437546,15247,15247
1536439459,15259,15259
1536441400,15221,15221
1536443301,15286,15286
1536445232,15255,15255
1536447143,15335,15335
1536449115,15499,15499
1536451001,15543,15543
1536452894,15543,15543
1536454839,15524,15524
1536456757,15475,15475
1536458663,15323,15323
1536460576,14986,14986
1536462516,14746,14746
1536464426,14693,14693
1536466343,14720,14720
1536468253,14921,14921
1536470191,14859,14859
1536472106,14869,14869
1536474026,14668,14668
1536475943,14840,14840
1536477861,14857,14857
1536480052,14856,14856
1536481951,14949,14949
1536483856,14999,14999
1536485776,14996,14996
1536487708,15061,15061
1536489625,15678,15678
1536491546,15770,15770
1536493469,15801,15801
1536495410,15903,15903
1536497294,15920,15920
1536499230,15931,15931
1536501139,15900,15900
1536503056,15866,15866
1536504995,15969,15969
1536506895,15984,15984
1536508858,15944,15944
1536510746,16014,16014
1536512681,14055,14055
1536514491,12288,12288
1536516520,11632,11632
1536518412,11649,11649
1536520358,11694,11694
1536522254,11706,11706
1536524188,11685,11685
1536526119,11704,11704
1536528040,11726,11726
1536529979,11752,11752
1536531856,11817,11817
1536533800,11691,11691
1536535690,11637,11637
1536537657,11827,11827
1536539570,14621,14621
1536541468,16934,16934
1536543404,18595,18595
1536545321,18588,18588
1536547236,18495,18495
1536549409,18577,18577
1536551294,18211,18211
1536553215,18793,18793
1536555154,18634,18634
1536557297,18612,18612
1536559257,19138,19138
1536561397,19129,19129
1536563324,19087,19087
1536565383,19161,19161
1536567626,19366,19366
1536569537,19316,19316
1536571464,19295,19295
1536573392,19229,19229
1536575294,18429,18429
1536577233,18395,18395
1536579146,18363,18363
1536581095,18289,18289
1536582997,18263,18263
1536584902,18165,18165
1536586817,18271,18271
1536588747,18703,18703
1536590667,19414,19414
1536592597,19508,19508
1536594683,19780,19780
1536596926,19864,19864
1536598867,20163,20163
1536600764,20446,20446
1536602669,20465,20465
1536604614,20647,20647
1536606500,20661,20661
1536608446,20659,20659
1536610343,20661,20661
1536612265,20710,20710
1536614498,20842,20842
1536616346,20939,20939
1536618258,21327,21327
1536620229,21335,21335
1536622117,21312,21312
1536624041,21181,21181
1536625945,18683,18683
1536627892,16478,16478
1536629783,14941,14941
1536631711,14984,14984
1536633637,15033,15033
1536635547,14974,14974
1536637455,15128,15128
1536639399,14161,14161
1536641309,14147,14147
1536643250,14215,14215
1536645160,13920,13920
1536647183,13741,13741
1536649248,13942,13942
1536651153,14049,14049
1536653065,14364,14364
1536655248,14358,14358
1536657151,14375,14375
1536659083,14695,14695
1536660996,14793,14793
1536662933,14814,14814
1536664833,14869,14869
1536666763,14931,14931
1536668682,14932,14932
1536670603,15218,15218
1536672502,15935,15935
1536674459,16165,16165
1536676343,16263,16263
1536678298,16479,16479
1536680426,18121,18121
1536682344,18284,18284
1536684285,18645,18645
1536686215,18712,18712
1536688276,18924,18924
1536690265,22381,22381
1536692166,22507,22507
1536694100,22604,22604
1536696013,22728,22728
1536697855,22850,22850
1536699853,22885,22885
1536701769,23360,23360
1536703955,22800,22800
1536705870,22615,22615
1536707790,22041,22041
1536709708,22116,22116
1536711623,22187,22187
1536713568,22205,22205
1536715482,22286,22286
1536717389,22776,22776
1536719300,22972,22972
1536721269,23029,23029
1536723149,23505,23505
1536725106,23524,23524
1536726996,23478,23478
1536728931,23494,23494
1536730821,24482,24482
1536732763,24511,24511
