DateTime,AddedIPs,RemovedIPs
1536377541,26,28
1536379476,15,25
1536381371,15,33
1536383316,14,32
1536385230,19,14
1536387154,56,88
1536389048,21,123
1536391229,24,16
1536393162,22,64
1536395060,20,24
1536396971,16,21
1536398915,21,23
1536401798,27,32
1536403705,16,15
1536405633,16,23
1536407551,18,24
1536409487,15,16
1536411404,17,15
1536413298,17,37
1536415275,21,27
1536417165,27,18
1536419074,17,13
1536420980,12,14
1536422973,40,32
1536425078,23,143
1536426997,1013,73
1536428902,283,82
1536430843,17,297
1536432747,17,451
1536434691,27,13
1536436573,36,18
1536438524,36,76
1536440458,23,27
1536442369,22,38
1536444263,46,62
1536446178,28,41
1536448107,210,26
1536450043,61,17
1536451969,23,32
1536453976,16,33
1536455809,18,32
1536457702,25,26
1536459643,22,89
1536461552,19,107
1536463456,13,45
1536465393,18,27
1536467312,157,18
1536469260,19,21
1536471150,26,20
1536473087,34,53
1536475234,166,22
1536477159,45,29
1536479057,30,22
1536481000,108,18
1536482908,35,21
1536484851,40,24
1536486754,41,20
1536488693,150,24
1536490581,41,11
1536492509,35,18
1536494484,42,12
1536496367,94,12
1536498269,37,17
1536500293,58,49
1536502114,38,30
1536504020,56,24
1536505957,45,26
1536507855,33,26
1536509791,38,26
1536511708,34,26
1536513618,35,976
1536515552,54,472
1536517452,57,17
1536519389,26,20
1536521292,33,24
1536524189,42,46
1536526120,23,19
1536528041,23,15
1536529980,78,31
1536531857,55,29
1536533800,57,138
1536535690,50,71
1536537667,172,25
1536539570,1624,18
1536541468,1299,20
1536543405,1252,20
1536545321,25,24
1536547237,18,24
1536549410,21,21
1536551294,13,121
1536553215,23,183
1536555154,21,75
1536557297,12,28
1536559266,465,30
1536561398,123,136
1536563324,13,47
1536565384,55,34
1536567627,105,38
1536569538,14,37
1536571465,14,44
1536573392,20,45
1536575295,11,182
1536577235,13,53
1536579147,17,38
1536581096,21,82
1536582998,19,39
1536584902,16,65
1536586817,21,111
1536588748,72,50
1536590668,262,49
1536592598,51,36
1536594685,75,36
1536596926,47,47
1536598873,96,37
1536600764,99,29
1536602675,37,55
1536604615,71,38
1536606501,20,21
1536608446,14,24
1536610344,20,25
1536612266,16,25
1536614499,123,36
1536616347,146,57
1536618259,420,42
1536620230,26,55
1536622117,28,66
1536624044,43,174
1536625946,32,1473
1536627892,45,1232
1536629784,40,1205
1536631712,50,28
1536633638,41,23
1536635548,32,26
1536637456,43,15
1536639400,29,22
1536641310,37,31
1536643251,42,25
1536645160,41,294
1536647183,75,249
1536649258,151,44
1536651153,64,28
1536653066,387,53
1536655249,50,36
1536657151,61,46
1536659084,275,26
1536660997,29,17
1536662933,23,24
1536664834,27,22
1536666764,24,17
1536668682,14,19
1536670604,70,21
1536672502,245,31
1536674466,184,19
1536676344,31,15
1536678300,140,27
1536680426,1023,25
1536682345,53,9
1536684286,94,24
1536686216,96,93
1536688276,76,67
1536690266,1108,11
1536692167,49,18
1536694101,35,15
1536696013,34,16
1536697856,42,15
1536699854,30,13
1536701769,407,4
1536703956,24,593
1536705871,85,82
1536707791,30,155
1536709708,31,19
1536711624,28,18
1536713569,28,20
1536715482,33,32
1536717390,432,22
1536719301,214,36
1536721278,36,28
1536723150,105,29
1536725112,27,28
1536726998,34,110
1536728932,22,28
1536730822,29,34
1536732764,24,34
1536734671,56,136
1536736616,23,35
1536738515,22,365
1536740425,29,32
1536742348,543,36
1536744298,1191,288
1536746221,1259,144
1536748118,905,29
1536750990,17,41
1536752900,16,24
1536754827,195,15
1536756741,738,49
1536758662,8,271
1536760582,14,216
1536762502,13,40
1536764673,20,89
1536766527,19,65
1536768783,30,54
1536770681,15,89
1536772594,21,118
1536774524,10,48
1536776418,16,825
1536778365,13,241
1536780264,12,50
1536782199,12,55
1536784101,10,38
1536786058,13,33
1536787946,6,413
1536789882,17,194
1536791777,10,84
1536793707,25,31
1536795618,19,26
1536797538,15,27
1536799459,18,21
1536801397,6,34
1536803300,17,212
1536805220,5,683
1536807153,10,30
1536809060,35,131
1536811015,14,25
1536812898,125,32
1536815791,22,180
1536817725,29,145
1536819618,10,178
1536821660,17,141
1536823699,16,24
1536825678,16,25
1536827549,14,16
1536829470,19,1113
1536831396,14,1146
1536833316,22,1394
1536835216,19,537
1536837140,22,8
1536839068,18,12
1536841012,21,122
1536842903,103,894
1536844829,50,16
1536846779,20,19
1536848667,17,27
1536850585,26,19
1536852500,163,874
1536854453,497,340
1536856358,520,30
1536858301,120,33
1536860207,20,27
1536862110,17,24
1536864023,19,19
1536865953,27,21
1536867885,11,14
1536869790,21,24
1536871595,122,25
1536873610,15,19
1536875547,18,12
1536877703,12,24
1536879688,12,22
1536881539,33,21
1536883492,26,14
1536885423,34,27
1536887333,28,17
1536889240,28,20
1536891154,39,17
1536893055,27,15
1536895027,37,53
1536896899,23,15
1536898850,25,81
1536900745,316,79
1536902681,36,34
1536904594,22,20
1536906526,34,21
1536908470,363,12
1536910610,31,23
1536912549,24,24
