DateTime,AddedIPs,RemovedIPs
1536196360,0,1
1536202129,2,0
1536205962,2,0
1536207889,1,3
1536209801,1,0
1536211701,0,1
1536213676,1,0
1536215601,1,0
1536217476,1,0
1536219376,1,1
1536227060,1,0
1536229009,0,2
1536230903,3,1
1536232841,1,2
1536234750,1,0
1536238584,3,1
1536240518,1,0
1536242524,1,0
1536244354,1,0
1536246287,0,1
1536248196,0,2
1536250384,1,0
1536254189,2,0
1536256114,1,0
1536258024,2,1
1536259962,1,0
1536261871,2,0
1536263776,1,2
1536265717,1,4
1536267672,1,2
1536269563,2,0
1536271460,1,0
1536273396,2,1
1536275299,1,1
1536277538,0,3
1536281300,2,1
1536283281,1,0
1536287071,0,1
1536288998,0,1
1536290893,1,2
1536295718,1,2
1536299558,1,1
1536301480,0,1
1536305311,1,2
1536307240,1,0
1536311069,1,0
1536313002,0,1
1536316840,0,2
1536318751,4,1
1536320684,0,1
1536324522,1,1
1536326425,1,3
1536328363,0,1
1536332177,1,1
1536337242,0,1
1536339162,2,1
1536341078,0,2
1536342999,2,0
1536344913,0,2
1536346863,2,1
1536348760,0,2
1536350685,1,2
1536354524,1,1
1536356413,0,3
1536358364,3,1
1536360258,0,1
1536362152,0,1
1536366033,2,1
1536367933,1,1
1536369851,4,1
1536373695,1,0
1536376943,1,1
1536378759,2,0
1536380658,1,0
1536382588,0,1
1536384489,2,0
1536386469,1,1
1536388360,1,0
1536392211,1,1
1536394098,0,1
1536396042,1,0
1536397947,1,1
1536399865,1,0
1536401799,1,0
1536403706,2,0
1536405635,2,4
1536411405,2,2
1536413300,1,0
1536415282,1,0
1536417166,1,1
1536419076,3,0
1536420981,1,0
1536422974,2,0
1536425080,2,1
1536426999,2,0
1536428903,0,1
1536430844,0,1
1536432748,1,2
1536434693,1,1
1536436575,0,1
1536440476,0,1
1536444264,3,3
1536446180,1,0
1536448108,2,0
1536451970,0,2
1536455810,1,4
1536457703,2,1
1536459645,2,1
1536461554,2,1
1536465394,0,2
1536467313,1,1
1536471151,0,2
1536473088,0,1
1536475235,0,1
1536477160,3,1
1536482909,1,1
1536484853,1,2
1536488695,0,2
1536490582,1,1
1536492515,3,2
1536494489,1,0
1536496368,3,1
1536498270,2,1
1536500294,2,1
1536502116,1,1
1536504021,0,2
1536505966,1,2
1536507856,1,2
1536509795,1,0
1536511709,0,2
1536513619,1,2
1536515554,1,0
1536517453,1,0
1536519391,1,0
1536523273,1,0
1536525165,1,0
1536527082,2,0
1536528954,0,1
1536530895,2,2
1536532833,2,1
1536534880,1,2
1536542651,0,1
1536544575,0,3
1536546756,3,1
1536548694,0,1
1536552508,1,0
1536554448,0,1
1536556336,2,0
1536564279,0,2
1536566207,3,0
1536570075,1,1
1536571974,2,1
1536573871,1,0
1536575775,0,1
1536577724,1,2
1536579637,0,2
1536581573,1,0
1536583461,0,3
1536585387,3,3
1536589250,0,1
1536593080,1,2
1536596930,1,1
1536598888,0,1
1536600766,0,2
1536604616,1,0
1536606502,1,0
1536608448,1,1
1536610345,1,1
1536612267,1,2
1536614500,1,0
1536616348,1,1
1536618260,0,1
1536620231,0,2
1536622119,1,0
1536624080,1,0
1536627894,2,0
1536629785,1,0
1536631713,3,10
1536633639,1,0
1536639401,1,1
1536641311,0,1
1536643252,0,1
1536645161,3,0
1536647185,1,0
1536651155,1,0
1536653067,1,3
1536655255,1,1
1536657153,0,2
1536659092,1,1
1536660998,0,1
1536662934,3,0
1536664835,1,1
1536666765,0,1
1536670605,0,3
1536678318,3,1
1536680428,1,0
1536682346,1,0
1536684287,2,1
1536686217,1,0
1536688278,3,0
1536690267,1,1
1536692168,1,0
1536694102,0,1
1536696015,0,2
1536697857,0,1
1536699855,1,1
1536703957,0,1
1536707792,1,1
1536711625,2,1
1536713570,1,2
1536715484,1,0
1536717391,0,3
1536719302,0,2
1536721288,1,0
1536723151,1,0
1536725140,1,0
1536727001,0,1
1536730823,0,3
1536732773,2,0
1536734673,2,1
1536736618,0,2
1536740427,1,2
1536744300,1,0
1536746222,0,1
1536748119,1,0
1536750991,0,4
1536752902,2,0
1536754828,1,0
1536756743,4,0
1536758664,1,0
1536760584,1,0
1536764674,2,3
1536768785,1,2
1536770683,0,2
1536772596,1,1
1536774526,0,3
1536778366,1,0
1536780266,1,0
1536782200,1,0
1536784103,1,0
1536786087,2,1
1536787947,2,0
1536789883,3,0
1536793709,0,2
1536795620,1,1
1536797539,2,1
1536799461,1,1
1536801398,2,2
1536803301,3,0
1536805221,4,0
1536807154,1,1
1536809061,1,1
1536811016,5,1
1536815792,1,0
1536817726,0,1
1536819619,1,1
1536821661,1,2
1536825688,2,0
1536827551,1,1
1536829471,0,1
1536831397,3,0
1536833317,0,1
1536835217,1,0
1536839070,0,1
1536841021,1,2
1536842904,1,4
1536844831,1,1
1536848668,1,1
1536850587,0,2
1536854478,2,0
1536856359,0,1
1536858314,2,1
1536860208,1,0
1536864024,2,0
1536865954,0,2
1536867886,3,0
1536869799,4,1
1536871968,1,3
1536873864,3,1
1536875798,1,3
1536877704,2,1
1536881540,3,1
1536883494,0,2
1536885424,1,1
1536887335,1,2
1536889246,1,2
1536891155,0,3
1536893056,0,2
1536895028,1,1
1536896900,0,2
1536898855,2,3
1536900746,1,1
1536906527,1,1
1536908482,2,2
1536910611,2,1
1536912550,3,1
1536914459,2,1
1536918272,1,3
1536920217,1,0
1536922100,0,1
1536925952,0,1
1536928128,2,1
1536930091,1,0
1536931965,3,1
1536935773,0,1
1536939892,0,1
1536941802,0,1
1536943708,0,1
1536945627,1,1
1536949469,0,1
1536951395,1,1
1536953329,3,3
1536955276,2,3
1536957157,3,1
1536959086,0,2
1536961016,0,3
1536962915,3,1
1536964866,1,1
1536967014,3,1
1536968897,2,2
1536970840,1,0
1536972763,3,2
1536974682,3,0
1536976571,0,1
1536978499,1,0
1536980495,2,0
1536982359,2,1
1536984313,0,2
1536986183,1,0
1536988124,1,1
1536992213,0,1
1536994351,3,1
1536996512,0,3
1536998482,1,2
1537000362,2,2
1537002279,1,1
1537004205,2,2
1537006105,1,1
1537009956,3,0
1537013838,1,1
1537015971,0,2
1537017872,2,3
1537019800,1,0
