DateTime,Entries,UniqueIPs
1536196360,30,30
1536202129,32,32
1536205962,34,34
1536207889,32,32
1536209801,33,33
1536211701,32,32
1536213676,33,33
1536215601,34,34
1536217476,35,35
1536219376,35,35
1536227060,36,36
1536229009,34,34
1536230903,36,36
1536232841,35,35
1536234750,36,36
1536238584,38,38
1536240518,39,39
1536242524,40,40
1536244354,41,41
1536246287,40,40
1536248196,38,38
1536250384,39,39
1536254189,41,41
1536256114,42,42
1536258024,43,43
1536259962,44,44
1536261871,46,46
1536263776,45,45
1536265717,42,42
1536267672,41,41
1536269563,43,43
1536271460,44,44
1536273396,45,45
1536275299,45,45
1536277538,42,42
1536281300,43,43
1536283281,44,44
1536287071,43,43
1536288998,42,42
1536290893,41,41
1536295718,40,40
1536299558,40,40
1536301480,39,39
1536305311,38,38
1536307240,39,39
1536311069,40,40
1536313002,39,39
1536316840,37,37
1536318751,40,40
1536320684,39,39
1536324522,39,39
1536326425,37,37
1536328363,36,36
1536332177,36,36
1536337242,35,35
1536339162,36,36
1536341078,34,34
1536342999,36,36
1536344913,34,34
1536346863,35,35
1536348760,33,33
1536350685,32,32
1536354524,32,32
1536356413,29,29
1536358364,31,31
1536360258,30,30
1536362152,29,29
1536366033,30,30
1536367933,30,30
1536369851,33,33
1536373695,34,34
1536376943,34,34
1536378759,36,36
1536380658,37,37
1536382588,36,36
1536384489,38,38
1536386469,38,38
1536388360,39,39
1536392211,39,39
1536394098,38,38
1536396042,39,39
1536397947,39,39
1536399865,40,40
1536401799,41,41
1536403706,43,43
1536405635,41,41
1536411405,41,41
1536413300,42,42
1536415282,43,43
1536417166,43,43
1536419076,46,46
1536420981,47,47
1536422974,49,49
1536425080,50,50
1536426999,52,52
1536428903,51,51
1536430844,50,50
1536432748,49,49
1536434693,49,49
1536436575,48,48
1536440476,47,47
1536444264,47,47
1536446180,48,48
1536448108,50,50
1536451970,48,48
1536455810,45,45
1536457703,46,46
1536459645,47,47
1536461554,48,48
1536465394,46,46
1536467313,46,46
1536471151,44,44
1536473088,43,43
1536475235,42,42
1536477160,44,44
1536482909,44,44
1536484853,43,43
1536488695,41,41
1536490582,41,41
1536492515,42,42
1536494489,43,43
1536496368,45,45
1536498270,46,46
1536500294,47,47
1536502116,47,47
1536504021,45,45
1536505966,44,44
1536507856,43,43
1536509795,44,44
1536511709,42,42
1536513619,41,41
1536515554,42,42
1536517453,43,43
1536519391,44,44
1536523273,45,45
1536525165,46,46
1536527082,48,48
1536528954,47,47
1536530895,47,47
1536532833,48,48
1536534880,47,47
1536542651,46,46
1536544575,43,43
1536546756,45,45
1536548694,44,44
1536552508,45,45
1536554448,44,44
1536556336,46,46
1536564279,44,44
1536566207,47,47
1536570075,47,47
1536571974,48,48
1536573871,49,49
1536575775,48,48
1536577724,47,47
1536579637,45,45
1536581573,46,46
1536583461,43,43
1536585387,43,43
1536589250,42,42
1536593080,41,41
1536596930,41,41
1536598888,40,40
1536600766,38,38
1536604616,39,39
1536606502,40,40
1536608448,40,40
1536610345,40,40
1536612267,39,39
1536614500,40,40
1536616348,40,40
1536618260,39,39
1536620231,37,37
1536622119,38,38
1536624080,39,39
1536627894,41,41
1536629785,42,42
1536631713,35,35
1536633639,36,36
1536639401,36,36
1536641311,35,35
1536643252,34,34
1536645161,37,37
1536647185,38,38
1536651155,39,39
1536653067,37,37
1536655255,37,37
1536657153,35,35
1536659092,35,35
1536660998,34,34
1536662934,37,37
1536664835,37,37
1536666765,36,36
1536670605,33,33
1536678318,35,35
1536680428,36,36
1536682346,37,37
1536684287,38,38
1536686217,39,39
1536688278,42,42
1536690267,42,42
1536692168,43,43
1536694102,42,42
1536696015,40,40
1536697857,39,39
1536699855,39,39
1536703957,38,38
1536707792,38,38
1536711625,39,39
1536713570,38,38
1536715484,39,39
1536717391,36,36
1536719302,34,34
1536721288,35,35
1536723151,36,36
1536725140,37,37
1536727001,36,36
1536730823,33,33
1536732773,35,35
1536734673,36,36
1536736618,34,34
1536740427,33,33
1536744300,34,34
1536746222,33,33
1536748119,34,34
1536750991,30,30
1536752902,32,32
1536754828,33,33
1536756743,37,37
1536758664,38,38
1536760584,39,39
1536764674,38,38
1536768785,37,37
1536770683,35,35
1536772596,35,35
1536774526,32,32
1536778366,33,33
1536780266,34,34
1536782200,35,35
1536784103,36,36
1536786087,37,37
1536787947,39,39
1536789883,42,42
1536793709,40,40
1536795620,40,40
1536797539,41,41
1536799461,41,41
1536801398,41,41
1536803301,44,44
1536805221,48,48
1536807154,48,48
1536809061,48,48
1536811016,52,52
1536815792,53,53
1536817726,52,52
1536819619,52,52
1536821661,51,51
1536825688,53,53
1536827551,53,53
1536829471,52,52
1536831397,55,55
1536833317,54,54
1536835217,55,55
1536839070,54,54
1536841021,53,53
1536842904,50,50
1536844831,50,50
1536848668,50,50
1536850587,48,48
1536854478,50,50
1536856359,49,49
1536858314,50,50
1536860208,51,51
1536864024,53,53
1536865954,51,51
1536867886,54,54
1536869799,57,57
1536871968,55,55
1536873864,57,57
1536875798,55,55
1536877704,56,56
1536881540,58,58
1536883494,56,56
1536885424,56,56
1536887335,55,55
1536889246,54,54
1536891155,51,51
1536893056,49,49
1536895028,49,49
1536896900,47,47
1536898855,46,46
1536900746,46,46
1536906527,46,46
1536908482,46,46
1536910611,47,47
1536912550,49,49
1536914459,50,50
1536918272,48,48
1536920217,49,49
1536922100,48,48
1536925952,47,47
1536928128,48,48
1536930091,49,49
1536931965,51,51
1536935773,50,50
1536939892,49,49
1536941802,48,48
1536943708,47,47
1536945627,47,47
1536949469,46,46
1536951395,46,46
1536953329,46,46
