DateTime,Entries,UniqueIPs
1536375649,149,149
1536377541,147,147
1536379477,149,149
1536381371,152,152
1536383316,153,153
1536385231,154,154
1536387154,151,151
1536389049,154,154
1536391230,154,154
1536393162,151,151
1536395060,151,151
1536396971,151,151
1536398915,149,149
1536401798,153,153
1536403705,158,158
1536405634,158,158
1536407552,156,156
1536409487,157,157
1536411404,159,159
1536413299,161,161
1536415278,161,161
1536417165,159,159
1536419075,158,158
1536420980,158,158
1536422973,159,159
1536425079,161,161
1536426997,164,164
1536428902,161,161
1536430843,159,159
1536432747,155,155
1536434691,156,156
1536436574,156,156
1536438524,154,154
1536440472,152,152
1536442370,150,150
1536444263,147,147
1536446179,149,149
1536448107,153,153
1536450043,153,153
1536451969,151,151
1536453976,149,149
1536455809,147,147
1536457702,146,146
1536459644,144,144
1536461553,145,145
1536463456,146,146
1536465393,143,143
1536467313,142,142
1536469269,140,140
1536471150,139,139
1536473087,140,140
1536475234,138,138
1536477159,141,141
1536479057,141,141
1536481001,141,141
1536482909,144,144
1536484852,201,201
1536486754,200,200
1536488694,197,197
1536490581,198,198
1536492510,201,201
1536494488,198,198
1536496367,198,198
1536498269,196,196
1536500293,195,195
1536502115,200,200
1536504020,197,197
1536505965,193,193
1536507855,193,193
1536509793,196,196
1536511708,196,196
1536513618,193,193
1536515553,191,191
1536517452,194,194
1536519390,195,195
1536521292,192,192
1536523255,196,196
1536525164,200,200
1536527081,200,200
1536528953,202,202
1536530894,202,202
1536532832,203,203
1536534879,203,203
1536536917,202,202
1536538827,202,202
1536540732,201,201
1536542650,202,202
1536544574,201,201
1536546755,203,203
1536548691,202,202
1536550573,200,200
1536552507,200,200
1536554447,197,197
1536556335,199,199
1536558301,198,198
1536560194,194,194
1536562368,197,197
1536564278,197,197
1536566206,201,201
1536568093,200,200
1536570071,198,198
1536571973,200,200
1536573870,202,202
1536575774,205,205
1536577723,204,204
1536579636,200,200
1536581572,189,189
1536583460,190,190
1536585386,190,190
1536587327,191,191
1536589249,136,136
1536591168,133,133
1536593080,132,132
1536595001,133,133
1536596929,135,135
1536598880,134,134
1536600765,130,130
1536602687,132,132
1536604615,136,136
1536606501,138,138
1536608447,141,141
1536610344,137,137
1536612266,136,136
1536614499,139,139
1536616347,137,137
1536618259,140,140
1536620230,142,142
1536622118,141,141
1536624048,143,143
1536625946,143,143
1536627893,144,144
1536629784,144,144
1536631712,139,139
1536633638,141,141
1536635548,145,145
1536637456,149,149
1536639400,149,149
1536641310,148,148
1536643251,150,150
1536645161,154,154
1536647184,159,159
1536649269,156,156
1536651154,154,154
1536653067,150,150
1536655254,151,151
1536657152,149,149
1536659091,148,148
1536660997,146,146
1536662934,148,148
1536664834,146,146
1536666764,147,147
1536668683,142,142
1536670604,135,135
1536672502,135,135
1536674478,139,139
1536676344,141,141
1536678302,145,145
1536680427,149,149
1536682345,149,149
1536684286,150,150
1536686216,150,150
1536688277,153,153
1536690266,149,149
1536692167,148,148
1536694101,146,146
1536696014,143,143
1536697856,145,145
1536699854,143,143
1536701770,148,148
1536703956,141,141
1536705871,141,141
1536707791,141,141
1536709709,141,141
1536711624,140,140
1536713569,139,139
1536715483,142,142
1536717390,142,142
1536719301,138,138
1536721282,135,135
1536723150,135,135
1536725117,138,138
1536727000,138,138
1536728933,135,135
1536730822,132,132
1536732764,132,132
1536734672,132,132
1536736617,131,131
1536738515,134,134
1536740426,133,133
1536742348,132,132
1536744299,135,135
1536746221,132,132
1536748119,131,131
1536750990,128,128
1536752901,134,134
1536754827,136,136
1536756742,141,141
1536758663,142,142
1536760583,140,140
1536762503,138,138
1536764673,138,138
1536766528,139,139
1536768784,139,139
1536770682,138,138
1536772595,142,142
1536774525,142,142
1536776419,143,143
1536778366,146,146
1536780265,148,148
1536782199,150,150
1536784102,149,149
1536786066,148,148
1536787946,144,144
1536789882,146,146
1536791778,148,148
1536793708,147,147
1536795618,149,149
1536797538,152,152
1536799460,154,154
1536801397,155,155
1536803300,158,158
1536805220,161,161
1536807153,162,162
1536809060,164,164
1536811015,168,168
1536812899,167,167
1536815791,164,164
1536817725,162,162
1536819618,162,162
1536821660,161,161
1536823699,158,158
1536825683,158,158
1536827550,158,158
1536829470,155,155
1536831396,155,155
1536833316,155,155
1536835216,157,157
1536837140,157,157
1536839069,150,150
1536841013,146,146
1536842903,143,143
1536844830,145,145
1536846779,145,145
1536848668,145,145
1536850586,143,143
1536852500,143,143
1536855391,148,148
1536857303,151,151
1536859220,151,151
1536861146,153,153
1536863064,154,154
1536864981,154,154
1536866897,155,155
1536868848,157,157
1536870750,156,156
1536872680,158,158
1536874567,159,159
1536876511,161,161
1536879148,160,160
1536881077,160,160
1536883246,156,156
1536885134,155,155
1536887334,150,150
1536889240,152,152
1536891155,148,148
1536893055,144,144
1536895027,142,142
1536896899,139,139
1536898851,139,139
1536900745,140,140
1536902682,141,141
1536904594,142,142
1536906526,143,143
1536908475,144,144
1536910610,147,147
1536912549,149,149
1536914458,151,151
1536916359,151,151
1536918271,149,149
1536920216,150,150
1536922099,150,150
1536924068,150,150
1536925951,154,154
1536928128,156,156
1536930077,154,154
1536931964,153,153
1536933869,153,153
1536935772,199,199
1536937739,198,198
1536939891,197,197
1536941802,193,193
1536943707,190,190
1536945627,189,189
1536947564,186,186
1536949468,184,184
1536951395,182,182
1536953328,181,181
1536955270,183,183
1536957156,189,189
1536959085,189,189
1536961015,188,188
1536962914,189,189
1536964865,188,188
1536967014,198,198
1536968896,202,202
1536970840,204,204
1536972762,208,208
1536974682,211,211
1536976570,211,211
1536978498,217,217
1536980475,219,219
1536982358,220,220
1536984297,220,220
1536986182,222,222
1536988123,224,224
1536990044,227,227
1536992212,226,226
1536994350,231,231
1536996511,227,227
1536998466,226,226
1537000360,227,227
1537002278,227,227
1537004204,228,228
1537006104,231,231
1537008038,228,228
1537009955,232,232
1537011873,227,227
1537013837,225,225
1537015970,225,225
1537017871,226,226
1537019799,226,226
1537021705,170,170
1537023673,173,173
1537025555,174,174
1537027541,176,176
1537029630,176,176
1537031569,176,176
1537033463,175,175
1537035420,180,180
1537037295,186,186
1537039250,188,188
1537041150,187,187
1537043080,187,187
1537044977,186,186
1537046938,188,188
1537048875,188,188
1537050771,184,184
1537052673,177,177
1537054624,173,173
1537056534,168,168
1537058447,170,170
1537060347,170,170
1537062284,166,166
1537064196,164,164
1537066099,162,162
1537068034,161,161
1537069947,159,159
1537071883,159,159
1537073775,162,162
1537075714,160,160
1537077666,160,160
1537079566,158,158
1537081479,161,161
1537083513,159,159
1537085337,158,158
1537087237,158,158
1537089159,156,156
1537091345,156,156
1537093253,149,149
1537095142,153,153
1537097088,154,154
1537098988,153,153
1537100930,150,150
1537103788,152,152
1537105697,154,154
1537107620,154,154
1537109544,152,152
1537111475,155,155
1537113397,154,154
1537115324,155,155
1537117241,155,155
1537119163,153,153
1537121060,156,156
1537123003,157,157
1537124924,158,158
1537126835,151,151
1537129008,149,149
1537131146,148,148
1537133069,149,149
1537134987,148,148
1537136886,150,150
1537138857,153,153
1537141012,154,154
1537143148,154,154
1537145066,150,150
1537146991,152,152
1537148916,151,151
1537150825,156,156
1537152751,158,158
1537154678,159,159
1537156589,163,163
1537158495,162,162
1537160469,161,161
1537162591,160,160
1537164506,161,161
1537166427,161,161
1537168351,157,157
1537170267,157,157
1537172198,157,157
1537174115,160,160
1537176030,160,160
1537177948,162,162
1537179874,164,164
1537181787,167,167
1537183700,166,166
1537185686,169,169
1537187563,173,173
1537189479,170,170
1537191393,172,172
1537193317,172,172
1537195253,176,176
1537197164,177,177
1537199087,173,173
1537201008,174,174
1537202917,175,175
1537204842,172,172
1537206757,168,168
1537208653,166,166
1537210596,167,167
1537212543,169,169
1537214463,172,172
1537216365,194,194
1537218268,193,193
1537220211,191,191
1537222124,195,195
1537224286,196,196
1537226212,192,192
1537228130,192,192
1537230575,196,196
1537232442,200,200
1537234349,200,200
1537236278,197,197
1537238173,190,190
1537240124,190,190
1537242046,190,190
