DateTime,AddedIPs,RemovedIPs
1535769152,5,0
1535771072,1,7
1535773009,0,1
1535774920,6,1
1535776825,6,0
1535780688,0,15
1535782602,1,0
1535784516,0,7
1535786437,0,5
1535790271,1,0
1535794102,17,0
1535796086,0,1
1535799875,4,0
1535801794,0,1
1535803730,0,6
1535805624,0,1
1535807559,1,23
1535809471,0,1
1535811395,1,11
1535813308,10,0
1535815235,3,1
1535819058,1,0
1535820977,1,0
1535822892,0,8
1535824867,0,1
1535830822,10,0
1535832768,0,8
1535836600,1,2
1535842352,0,2
1535844278,0,1
1535848104,1,0
1535850085,12,0
1535853890,14,2
1535855801,4,4
1535857718,0,1
1535859650,1,0
1535861591,6,6
1535863475,0,6
1535867318,7,0
1535869256,0,1
1535873063,1,0
1535876923,0,1
1535878900,0,2
1535880770,0,15
1535884840,0,4
1535888680,2,0
1535892502,1,0
1535894438,0,1
1535898279,0,4
1535900176,0,7
1535902362,4,3
1535904275,11,1
1535906447,2,1
1535908365,1,0
1535912212,1,0
1535917962,0,10
1535921783,6,0
1535923714,32,1
1535925664,1,0
1535930574,1,0
1535934767,1,4
1535936674,0,9
1535938599,0,1
1535940748,0,17
1535946506,0,4
1535948443,0,3
1535954194,0,7
1535958087,7,1
1535959964,3,0
1535964019,3,0
1535966198,2,0
1535973882,11,0
1535975803,0,2
1535979688,0,1
1535981548,1,0
1535985382,5,0
1535989235,0,4
1535991208,0,11
1535993073,0,2
1535994992,1,1
1535996901,1,0
1535998844,0,1
1536008482,5,6
1536010368,3,32
1536012294,12,1
1536014421,2,0
1536016817,3,1
1536018758,1,0
1536020686,0,1
1536024527,1,0
1536036045,3,0
1536037971,3,0
1536039908,7,0
1536043963,5,7
1536045997,0,3
1536049939,5,1
1536051873,0,3
1536053772,0,1
1536059550,0,11
1536063418,1,0
1536065302,6,0
1536067242,5,1
1536069166,1,0
1536071066,4,3
1536073019,12,2
1536074902,9,0
1536082591,0,2
1536094380,5,3
1536096442,1,5
1536098421,1,12
1536100348,3,0
1536102530,1,2
1536104429,0,4
1536106356,1,0
1536108280,2,0
1536110201,1,1
1536115947,1,0
1536119789,5,0
1536121711,3,0
1536123672,0,6
1536125549,0,7
1536127467,6,0
1536129644,5,4
1536131557,0,1
1536137303,1,5
1536141167,4,0
1536143075,20,0
1536146175,11,0
1536150305,1,2
1536152177,0,10
1536156080,0,1
1536157949,0,4
1536159862,0,17
1536161796,0,4
1536163775,2,0
1536167678,2,0
1536169878,5,0
1536175698,23,0
1536177623,11,0
1536181456,0,6
1536183625,2,1
1536187459,0,3
1536190306,1,1
1536192256,0,1
1536194188,0,2
1536196361,0,1
1536200203,1,0
1536204027,0,1
1536205964,7,3
1536207890,2,5
1536209802,1,0
1536211702,6,0
1536213679,6,6
1536215602,0,3
1536217477,0,2
1536219377,4,0
1536225175,1,1
1536227061,0,4
1536229011,1,2
1536230904,1,24
1536232842,0,5
1536236695,0,1
1536250385,0,2
1536252274,0,1
1536254190,2,1
1536256115,0,4
1536258025,0,1
1536261872,1,13
1536263784,0,21
1536269564,0,1
1536271460,0,1
1536275300,1,1
1536281301,1,0
1536287072,0,1
1536292878,1,9
1536296655,0,6
1536298615,2,2
1536300524,0,5
1536304342,0,3
1536306255,0,1
1536312053,0,1
1536313959,0,1
1536317770,0,1
1536319712,2,0
1536327388,1,0
1536331215,1,0
1536339163,0,2
1536344914,1,0
1536348761,0,1
1536358366,2,0
1536360259,24,1
1536362153,6,0
1536367934,0,1
1536369852,2,0
1536376944,1,0
1536378760,2,0
1536380658,0,1
1536382589,2,0
1536384490,0,2
1536388361,1,0
1536392212,1,0
1536397948,3,0
1536405636,0,2
1536413301,0,1
1536417167,0,1
1536420982,9,0
1536428904,2,0
1536432749,0,1
1536436576,1,0
1536438527,3,0
1536440477,3,0
1536444266,0,2
1536446181,0,24
1536448109,0,6
1536450045,1,0
1536453978,4,0
1536455811,0,2
1536463466,0,1
1536465403,0,2
1536469284,0,2
1536475236,0,1
1536477161,0,1
1536479059,1,0
1536484854,0,3
1536488696,1,0
1536494491,1,0
1536500295,1,0
1536507858,0,9
1536509796,10,0
1536515555,24,2
1536523279,9,1
1536525166,0,4
1536527084,1,2
1536530896,1,0
1536534881,0,1
1536538828,1,0
1536540734,0,4
1536544576,1,0
1536548706,3,0
1536558303,1,0
1536566208,0,1
1536573872,0,1
1536575776,1,0
1536581574,0,1
1536585388,0,1
1536587337,1,0
1536591170,2,0
1536593082,1,0
1536596932,0,10
1536600767,9,9
1536602755,68,8
1536608449,1,6
1536610346,0,3
1536614501,0,1
1536618261,0,1
1536620232,4,0
1536624089,0,1
1536631714,0,1
1536635550,0,3
1536645163,0,1
1536660999,0,1
1536672504,0,1
1536678337,0,2
1536680429,0,1
1536684288,1,0
1536688279,0,84
1536694103,0,1
1536705874,0,3
1536707793,0,1
1536742350,1,0
1536760585,3,0
1536764675,3,0
1536768786,0,1
1536780267,1,0
1536787948,1,0
1536793710,1,0
1536799462,1,0
1536809062,1,0
1536815801,1,0
1536817727,1,0
1536823701,1,0
1536827552,0,1
