DateTime,Entries,UniqueIPs
1536161796,68,68
1536163776,70,70
1536165612,70,70
1536167678,70,70
1536169878,68,68
1536171875,70,70
1536173792,69,69
1536175698,68,68
1536177623,69,69
1536179537,71,71
1536181457,69,69
1536183625,69,69
1536185563,68,68
1536187460,67,67
1536190306,63,63
1536192257,64,64
1536196361,62,62
1536198292,62,62
1536200203,62,62
1536202130,63,63
1536204027,65,65
1536205964,64,64
1536211703,63,63
1536219377,64,64
1536221334,62,62
1536223216,62,62
1536225175,61,61
1536227062,60,60
1536229011,62,62
1536230904,62,62
1536232848,64,64
1536234751,65,65
1536236695,62,62
1536240519,61,61
1536242532,61,61
1536246289,61,61
1536248197,63,63
1536250386,59,59
1536252275,57,57
1536256116,59,59
1536258025,58,58
1536259963,57,57
1536261873,58,58
1536263784,54,54
1536265718,55,55
1536267683,55,55
1536269565,54,54
1536271461,52,52
1536273397,58,58
1536275300,58,58
1536281301,58,58
1536285162,58,58
1536287072,58,58
1536288999,59,59
1536290901,60,60
1536294760,60,60
1536296655,59,59
1536298615,58,58
1536308210,57,57
1536310094,58,58
1536313959,58,58
1536315879,55,55
1536317770,54,54
1536319712,53,53
1536321688,51,51
1536323559,54,54
1536327389,53,53
1536329323,53,53
1536331215,54,54
1536333157,55,55
1536335053,56,56
1536337243,55,55
1536339164,56,56
1536341079,58,58
1536343000,60,60
1536348761,61,61
1536350701,61,61
1536352586,61,61
1536354525,59,59
1536356414,61,61
1536358366,63,63
1536360259,64,64
1536367934,65,65
1536369852,65,65
1536371794,63,63
1536373697,64,64
1536375673,60,60
1536377542,59,59
1536385232,60,60
1536393170,61,61
1536396972,61,61
1536401800,62,62
1536405636,60,60
1536407554,61,61
1536409490,59,59
1536411406,60,60
1536413302,61,61
1536415293,58,58
1536417167,55,55
1536419091,53,53
1536420983,55,55
1536422975,55,55
1536427000,53,53
1536428905,53,53
1536430845,54,54
1536432750,54,54
1536434694,55,55
1536436576,56,56
1536438527,59,59
1536440478,57,57
1536442372,56,56
1536444266,57,57
1536446181,56,56
1536448109,57,57
1536450045,59,59
1536451972,60,60
1536453978,63,63
1536455811,63,63
1536457705,64,64
1536459646,63,63
1536463466,61,61
1536465404,63,63
1536467315,64,64
1536469285,63,63
1536471153,62,62
1536473090,64,64
1536475236,65,65
1536479059,67,67
1536482911,68,68
1536484855,71,71
1536486756,69,69
1536488696,67,67
1536490583,68,68
1536492517,67,67
1536494491,68,68
1536496369,69,69
1536498271,68,68
1536500296,67,67
1536505967,65,65
1536507858,65,65
1536509796,66,66
1536517454,66,66
1536519392,67,67
1536521294,68,68
1536523279,67,67
1536525166,69,69
1536527084,69,69
1536528955,69,69
1536530896,70,70
1536532834,71,71
1536534881,69,69
1536536926,69,69
1536538829,69,69
1536540734,68,68
1536542652,68,68
1536544576,70,70
1536548715,70,70
1536552509,71,71
1536554450,68,68
1536556337,69,69
1536560196,68,68
1536564280,67,67
1536570087,67,67
1536571975,68,68
1536573872,69,69
1536577725,69,69
1536579638,69,69
1536583462,69,69
1536587344,70,70
1536589252,73,73
1536591170,74,74
1536593082,76,76
1536595003,75,75
1536596932,74,74
1536598890,76,76
1536600767,74,74
1536602755,74,74
1536604617,81,81
1536606504,79,79
1536608449,80,80
1536610346,80,80
