DateTime,Entries,UniqueIPs
1536379478,3477,3477
1536381372,3478,3478
1536383318,3480,3480
1536385233,3485,3485
1536387155,3488,3488
1536389050,3308,3308
1536391231,3312,3312
1536393170,3109,3109
1536395062,3113,3113
1536396972,3117,3117
1536398917,3120,3120
1536400855,3128,3128
1536402762,3124,3124
1536404664,3116,3116
1536406576,3114,3114
1536408525,3120,3120
1536410425,3124,3124
1536412361,3121,3121
1536414256,3121,3121
1536416213,3119,3119
1536418095,3118,3118
1536420037,3123,3123
1536421943,3096,3096
1536424117,3094,3094
1536426044,3095,3095
1536427958,3020,3020
1536429870,2999,2999
1536431780,942,942
1536433724,943,943
1536435633,940,940
1536437547,840,840
1536439460,850,850
1536441402,843,843
1536443302,874,874
1536445233,790,790
1536447144,915,915
1536449116,1105,1105
1536451002,1264,1264
1536452895,1261,1261
1536455812,1258,1258
1536457705,1256,1256
1536459647,1257,1257
1536461555,1181,1181
1536463467,1178,1178
1536465405,1181,1181
1536467315,1384,1384
1536469285,1471,1471
1536471153,1463,1463
1536473090,1540,1540
1536475237,1740,1740
1536477162,1771,1771
1536479060,1792,1792
1536481003,1913,1913
1536482911,1956,1956
1536484855,1972,1972
1536486757,2005,2005
1536488697,2032,2032
1536490583,2057,2057
1536492517,2081,2081
1536494491,2137,2137
1536496369,2160,2160
1536498272,2183,2183
1536500296,2189,2189
1536502117,2209,2209
1536504023,2231,2231
1536505968,2247,2247
1536507858,2266,2266
1536509798,2287,2287
1536511711,2313,2313
1536513621,2340,2340
1536515555,2372,2372
1536517455,2381,2381
1536519392,2381,2381
1536521295,2381,2381
1536523280,2379,2379
1536525167,2377,2377
1536527084,2369,2369
1536528956,2416,2416
1536530896,2415,2415
1536532835,2422,2422
1536534882,2224,2224
1536536926,2044,2044
1536538829,2722,2722
1536540735,5243,5243
1536542652,5244,5244
1536544577,5243,5243
1536546758,5240,5240
1536548721,5238,5238
1536550576,5238,5238
1536552510,5750,5750
1536554450,6242,6242
1536556338,6205,6205
1536558304,6474,6474
1536560197,7185,7185
1536562370,7008,7008
1536564281,6997,6997
1536566209,7068,7068
1536568096,7046,7046
1536570088,7001,7001
1536571975,6980,6980
1536573873,6939,6939
1536575777,6917,6917
1536577726,6890,6890
1536579639,6872,6872
1536581575,6843,6843
1536583463,6827,6827
1536585389,6771,6771
1536587352,6643,6643
1536589252,6620,6620
1536591171,6594,6594
1536593082,6574,6574
1536595003,6552,6552
1536596933,6527,6527
1536598891,6500,6500
1536600768,6490,6490
1536602756,6467,6467
1536604618,6465,6465
1536606504,6463,6463
1536608450,6463,6463
1536610347,6464,6464
1536612269,6464,6464
1536614502,6631,6631
1536616350,6757,6757
1536618262,7245,7245
1536620233,7268,7268
1536622128,7288,7288
1536624090,7324,7324
1536625949,5859,5859
1536627896,4922,4922
1536629787,4941,4941
1536631715,4965,4965
1536633641,4990,4990
1536635551,5007,5007
1536637459,5030,5030
1536639403,4012,4012
1536641313,4030,4030
1536643254,4053,4053
1536645163,3574,3574
1536647187,3296,3296
1536648995,3411,3411
1536651157,3421,3421
1536653070,3814,3814
1536655257,3842,3842
1536657154,3765,3765
1536659094,4009,4009
1536661000,4008,4008
1536662936,4006,4006
1536664837,4007,4007
1536666767,4010,4010
1536668685,4010,4010
1536670607,4283,4283
1536672505,4975,4975
1536674491,5450,5450
1536676347,5454,5454
1536678339,5520,5520
1536680430,5538,5538
1536682348,5540,5540
1536684289,5538,5538
1536686219,5542,5542
1536688279,5526,5526
1536690269,5530,5530
1536692170,5530,5530
1536694104,5528,5528
1536696023,5697,5697
1536697864,5698,5698
1536699858,5698,5698
1536701772,5701,5701
1536703959,4279,4279
1536705874,4295,4295
1536707794,4285,4285
1536709712,4283,4283
1536711627,4277,4277
1536713572,4277,4277
1536715485,4267,4267
1536717393,5321,5321
1536719312,5672,5672
1536721290,5662,5662
1536723153,5652,5652
1536725144,5649,5649
1536727002,5515,5515
1536728935,5509,5509
1536730825,6528,6528
1536732775,6485,6485
1536734675,6295,6295
1536736620,6290,6290
1536738518,5897,5897
1536740429,5885,5885
1536742351,5873,5873
1536744302,5518,5518
1536746224,5386,5386
1536748121,5387,5387
1536750994,5387,5387
1536752912,5393,5393
1536754830,5392,5392
1536756744,5222,5222
1536758672,4466,4466
1536760586,3864,3864
1536762505,3862,3862
1536764676,3807,3807
1536766531,3754,3754
1536768787,3752,3752
1536770685,3757,3757
1536772597,3752,3752
1536774527,3752,3752
1536776422,3754,3754
1536778368,3753,3753
1536780268,3735,3735
1536782204,3610,3610
1536784104,3611,3611
1536786091,3614,3614
1536787949,3615,3615
1536789885,3272,3272
1536791780,3276,3276
1536793711,3302,3302
1536795622,3302,3302
1536797541,3307,3307
1536799463,3307,3307
1536801400,3304,3304
1536803303,2889,2889
1536805223,1713,1713
1536807156,1713,1713
1536809063,1711,1711
1536811018,1713,1713
1536812901,1880,1880
1536814845,1874,1874
1536816748,865,865
1536818665,877,877
1536820590,878,878
1536822497,879,879
1536824411,880,880
1536826353,883,883
1536828251,880,880
1536830176,877,877
1536832112,877,877
1536834019,876,876
1536835945,877,877
1536837852,877,877
1536839770,868,868
1536841966,807,807
1536843876,1018,1018
1536846279,937,937
1536848200,939,939
1536850123,936,936
1536852045,936,936
1536853938,2013,2013
1536855877,2763,2763
1536857785,2761,2761
1536859719,2908,2908
1536861689,2907,2907
1536863564,2905,2905
1536865507,2905,2905
1536867384,2908,2908
1536869328,2907,2907
1536871245,2941,2941
1536873132,2941,2941
1536875073,2932,2932
1536877248,2928,2928
1536879149,2923,2923
1536881078,2997,2997
1536883250,2994,2994
1536885136,2996,2996
1536887336,2995,2995
1536889248,2990,2990
1536891157,2992,2992
1536893058,2990,2990
1536895030,2992,2992
1536896902,2987,2987
1536898857,2986,2986
1536900748,3369,3369
1536902684,3347,3347
1536904596,3332,3332
1536906529,3333,3333
1536908485,3729,3729
1536910613,3733,3733
1536912552,3732,3732
1536914461,3734,3734
1536916361,3733,3733
1536918282,4220,4220
1536920219,4220,4220
1536922101,4219,4219
1536924071,4219,4219
1536925953,4220,4220
1536928130,4219,4219
1536930093,4180,4180
1536931967,4180,4180
1536933872,4181,4181
1536935775,4114,4114
1536937742,4117,4117
1536939894,4116,4116
1536941804,2745,2745
1536943709,2745,2745
1536945629,2598,2598
1536947566,2600,2600
1536949470,2604,2604
1536951397,2606,2606
1536953331,5087,5087
1536955279,5903,5903
1536957159,5907,5907
1536959088,5871,5871
1536962917,5878,5878
1536964868,6168,6168
1536967016,6112,6112
1536968898,6115,6115
1536970842,6111,6111
1536972764,6112,6112
1536974684,6886,6886
1536976573,7751,7751
1536978501,8766,8766
1536980500,9177,9177
1536982361,9181,9181
1536984322,9182,9182
1536986185,9129,9129
1536988126,8816,8816
1536990046,8821,8821
1536992215,8823,8823
1536994353,8560,8560
1536996514,8560,8560
1536998489,8562,8562
1537000364,8561,8561
1537002281,8568,8568
1537004207,8027,8027
1537006108,8028,8028
1537008048,8030,8030
1537009958,8574,8574
1537011876,8574,8574
1537013839,8575,8575
1537015972,8577,8577
1537017874,8584,8584
1537019802,8585,8585
1537021708,8585,8585
1537023689,8587,8587
1537025558,8592,8592
1537027546,8596,8596
1537029635,8601,8601
1537031574,8582,8582
1537033466,8618,8618
1537035423,8621,8621
1537037298,8625,8625
1537039253,7501,7501
1537041152,6424,6424
1537043083,6424,6424
1537044980,6425,6425
1537046941,6451,6451
1537048930,6431,6431
1537050773,6364,6364
1537052676,5978,5978
1537054627,5975,5975
1537056537,5978,5978
1537058450,5976,5976
1537060350,5422,5422
1537062287,4110,4110
1537064199,3027,3027
1537066102,2191,2191
1537068037,2189,2189
1537069949,2190,2190
1537071885,2173,2173
1537073778,2214,2214
1537075716,2218,2218
1537077690,2225,2225
1537079568,2535,2535
1537081482,2570,2570
1537083516,2571,2571
1537085339,2656,2656
1537087240,2735,2735
1537089162,2730,2730
1537091348,2726,2726
1537093256,2737,2737
1537095145,1842,1842
1537097090,1843,1843
1537098991,1843,1843
1537100933,1842,1842
1537102881,1839,1839
1537104783,1874,1874
1537106703,1874,1874
1537108618,1871,1871
1537110530,1870,1870
1537112451,1965,1965
1537114401,1966,1966
1537116279,1965,1965
1537118206,1963,1963
1537120351,3138,3138
1537122255,3449,3449
1537124494,3452,3452
1537126353,3451,3451
1537128321,3449,3449
1537130184,3413,3413
1537132120,3411,3411
1537134020,3539,3539
1537136206,3532,3532
1537138126,3530,3530
1537140030,3530,3530
1537142188,3531,3531
1537144107,3530,3530
1537146092,3531,3531
1537147951,3532,3532
1537149867,3526,3526
1537151815,3528,3528
1537153956,3526,3526
1537155892,3264,3264
1537157794,3529,3529
1537159728,3530,3530
1537161639,3525,3525
1537163577,3554,3554
1537165477,3464,3464
1537167402,3436,3436
1537169303,3468,3468
1537171289,3463,3463
1537173166,3370,3370
1537175092,3369,3369
1537176994,3419,3419
1537178929,3418,3418
1537180837,3413,3413
1537182767,3346,3346
1537184671,3344,3344
1537186617,3346,3346
1537188520,3344,3344
1537190451,3346,3346
1537192355,3369,3369
1537194543,4421,4421
1537196681,4422,4422
1537198596,4402,4402
1537200555,4401,4401
1537202544,4404,4404
1537204350,4406,4406
1537206272,4197,4197
1537208209,3629,3629
1537210114,3621,3621
1537212028,3625,3625
1537213955,3628,3628
1537215865,3626,3626
1537217811,3625,3625
1537219709,3459,3459
1537221710,3461,3461
1537223740,3460,3460
1537225707,3457,3457
1537227635,3455,3455
1537229556,3456,3456
1537231476,3453,3453
1537233402,3454,3454
1537235313,3453,3453
1537237250,3448,3448
1537239144,3450,3450
1537241083,3456,3456
1537242975,3088,3088
1537244920,3088,3088
1537246885,3088,3088
1537248772,3071,3071
1537250675,3053,3053
1537252584,3047,3047
1537254530,3053,3053
1537256460,3057,3057
1537258468,3055,3055
1537260290,3056,3056
1537262214,3009,3009
1537264131,3007,3007
1537266042,2998,2998
1537267946,3006,3006
1537270120,3022,3022
1537272099,3026,3026
1537273968,3027,3027
1537275881,3065,3065
1537278073,3050,3050
1537279978,3044,3044
1537281878,3044,3044
1537283813,1393,1393
1537285711,1153,1153
1537287910,1152,1152
1537290092,1152,1152
1537291966,1148,1148
1537293889,1064,1064
1537295779,1065,1065
1537297717,1064,1064
1537299615,1073,1073
1537301558,1225,1225
1537303477,3009,3009
1537305379,3061,3061
1537307304,3060,3060
1537309236,3060,3060
1537311154,3060,3060
1537313080,3060,3060
1537314983,3063,3063
1537317161,3083,3083
1537319067,3084,3084
1537320973,3088,3088
1537322916,3138,3138
1537324846,3180,3180
1537326741,3176,3176
1537328658,3179,3179
1537330596,3256,3256
1537332496,3397,3397
1537334431,3401,3401
1537336343,3400,3400
1537338273,3401,3401
1537340204,3395,3395
1537342357,3392,3392
1537344259,3394,3394
1537346059,3393,3393
1537347875,3393,3393
1537349784,3974,3974
1537351725,3978,3978
