DateTime,Entries,UniqueIPs
1536379478,3534,3534
1536381373,3535,3535
1536383318,3535,3535
1536385239,3538,3538
1536387156,3545,3545
1536389051,3367,3367
1536391232,3370,3370
1536393171,3171,3171
1536395062,3177,3177
1536396973,3179,3179
1536398917,3183,3183
1536400864,3193,3193
1536402762,3190,3190
1536404665,3184,3184
1536406576,3184,3184
1536408526,3189,3189
1536410425,3195,3195
1536412362,3191,3191
1536414257,3190,3190
1536416214,3188,3188
1536418095,3185,3185
1536420038,3194,3194
1536421944,3168,3168
1536424118,3168,3168
1536427000,3098,3098
1536428906,3095,3095
1536430846,2294,2294
1536432750,1021,1021
1536434694,1016,1016
1536436576,1016,1016
1536438527,920,920
1536440478,925,925
1536442372,929,929
1536444266,890,890
1536446181,859,859
1536448110,1132,1132
1536450046,1333,1333
1536451972,1332,1332
1536453978,1327,1327
1536455813,1324,1324
1536457706,1321,1321
1536459647,1322,1322
1536461556,1248,1248
1536463467,1244,1244
1536465405,1246,1246
1536467315,1449,1449
1536469286,1536,1536
1536471153,1529,1529
1536473090,1601,1601
1536475238,1802,1802
1536477162,1833,1833
1536479060,1853,1853
1536481003,1974,1974
1536482912,2018,2018
1536484855,2033,2033
1536486757,2064,2064
1536488697,2093,2093
1536490584,2120,2120
1536492518,2144,2144
1536494493,2203,2203
1536496370,2224,2224
1536498273,2247,2247
1536500297,2252,2252
1536502118,2273,2273
1536504023,2293,2293
1536505968,2307,2307
1536507859,2327,2327
1536509798,2347,2347
1536511719,2372,2372
1536513621,2395,2395
1536515555,2426,2426
1536517455,2432,2432
1536519393,2433,2433
1536521295,2435,2435
1536523280,2432,2432
1536525167,2431,2431
1536527085,2422,2422
1536528956,2469,2469
1536530897,2468,2468
1536532835,2475,2475
1536534882,2276,2276
1536536927,2095,2095
1536538830,2774,2774
1536540735,5289,5289
1536542653,5290,5290
1536544577,5289,5289
1536546758,5287,5287
1536548724,5283,5283
1536550577,5284,5284
1536552510,5799,5799
1536554451,6289,6289
1536556339,6252,6252
1536558304,6519,6519
1536560198,7230,7230
1536562371,7051,7051
1536564281,7042,7042
1536566210,7111,7111
1536568097,7086,7086
1536570089,7039,7039
1536571976,7018,7018
1536573873,6978,6978
1536575777,6954,6954
1536577726,6923,6923
1536579639,6904,6904
1536581576,6873,6873
1536583463,6858,6858
1536585390,6802,6802
1536587367,6671,6671
1536589253,6648,6648
1536591171,6622,6622
1536593083,6601,6601
1536595004,6581,6581
1536596933,6554,6554
1536598892,6527,6527
1536600768,6517,6517
1536602757,6495,6495
1536604619,6494,6494
1536606505,6490,6490
1536608451,6491,6491
1536610347,6493,6493
1536612270,6492,6492
1536614503,6657,6657
1536616351,6784,6784
1536618262,7273,7273
1536620233,7296,7296
1536622136,7316,7316
1536624091,7352,7352
1536625949,5887,5887
1536627897,4951,4951
1536629787,4971,4971
1536631716,4996,4996
1536633642,5021,5021
1536635552,5040,5040
1536637460,5063,5063
1536639403,4045,4045
1536641314,4062,4062
1536643254,4087,4087
1536645164,3607,3607
1536647187,3330,3330
1536648995,3445,3445
1536651157,3452,3452
1536653070,3848,3848
1536655257,3877,3877
1536657155,3801,3801
1536659095,4045,4045
1536661001,4044,4044
1536662937,4041,4041
1536664837,4042,4042
1536666767,4044,4044
1536668685,4046,4046
1536670608,4319,4319
1536672505,5012,5012
1536674492,5486,5486
1536676347,5491,5491
1536678339,5558,5558
1536680431,5573,5573
1536682349,5575,5575
1536684289,5574,5574
1536686220,5578,5578
1536688280,5561,5561
1536690270,5563,5563
1536692170,5563,5563
1536694104,5559,5559
1536696025,5731,5731
1536697864,5732,5732
1536699858,5732,5732
1536701773,5734,5734
1536703960,4313,4313
1536705875,4330,4330
1536707794,4320,4320
1536709712,4319,4319
1536711627,4314,4314
1536713572,4315,4315
1536715486,4308,4308
1536717393,5360,5360
1536719312,5710,5710
1536721291,5698,5698
1536723154,5689,5689
1536725144,5686,5686
1536727003,5553,5553
1536728936,5547,5547
1536730825,6565,6565
1536732775,6522,6522
1536734675,6333,6333
1536736620,6331,6331
1536738518,5935,5935
1536740430,5926,5926
1536742352,5914,5914
1536744302,5560,5560
1536746225,5428,5428
1536748122,5431,5431
1536750994,5431,5431
1536752912,5438,5438
1536754831,5436,5436
1536756745,5266,5266
1536758672,4511,4511
1536760587,3910,3910
1536762506,3907,3907
1536764677,3853,3853
1536766532,3798,3798
1536768787,3797,3797
1536770685,3801,3801
1536772598,3797,3797
1536774528,3797,3797
1536776423,3799,3799
1536778369,3798,3798
1536780268,3780,3780
1536782204,3654,3654
1536784105,3655,3655
1536786092,3657,3657
1536787949,3659,3659
1536789886,3315,3315
1536791781,3317,3317
1536793711,3344,3344
1536795622,3342,3342
1536797541,3347,3347
1536799463,3345,3345
1536801400,3341,3341
1536803303,2922,2922
1536805224,1748,1748
1536807157,1747,1747
1536809064,1743,1743
1536811019,1744,1744
1536812902,1910,1910
1536814866,1902,1902
1536816748,894,894
1536818665,905,905
1536820591,904,904
1536822498,901,901
1536824411,903,903
1536826353,904,904
1536828251,904,904
1536830176,900,900
1536832112,900,900
1536834019,897,897
1536835946,899,899
1536837853,899,899
1536839771,890,890
1536841967,828,828
1536843877,1034,1034
1536846279,954,954
1536848201,958,958
1536850123,955,955
1536852046,955,955
1536853939,2032,2032
1536855878,2780,2780
1536857786,2779,2779
1536859719,2925,2925
1536861696,2926,2926
1536863564,2925,2925
1536865507,2925,2925
1536867385,2930,2930
1536869329,2929,2929
1536871246,2963,2963
1536873132,2964,2964
1536875074,2955,2955
1536877249,2951,2951
1536879150,2947,2947
1536881078,3022,3022
1536883251,3020,3020
1536885136,3023,3023
1536887337,3022,3022
1536889249,3018,3018
1536891157,3021,3021
1536893058,3020,3020
1536895030,3022,3022
1536896902,3018,3018
1536898858,3017,3017
1536900748,3400,3400
1536902685,3377,3377
1536904597,3362,3362
1536906529,3363,3363
1536908485,3759,3759
1536910614,3763,3763
1536912552,3761,3761
1536914462,3761,3761
1536916362,3759,3759
1536918282,4248,4248
1536920220,4247,4247
1536922102,4247,4247
1536924071,4245,4245
1536925954,4250,4250
1536928130,4249,4249
1536930094,4212,4212
1536931968,4214,4214
1536933873,4212,4212
1536935775,4145,4145
1536937743,4147,4147
1536939894,4146,4146
1536941804,2777,2777
1536943710,2779,2779
1536945630,2632,2632
1536947567,2633,2633
1536949471,2635,2635
1536951397,2637,2637
1536953332,5117,5117
1536955280,5932,5932
1536957159,5936,5936
1536959089,5900,5900
1536962917,5907,5907
1536964868,6197,6197
1536967017,6139,6139
1536968899,6141,6141
1536970842,6137,6137
1536972765,6141,6141
1536974685,6916,6916
1536976573,7781,7781
1536978501,8797,8797
1536980501,9205,9205
1536982361,9209,9209
1536984332,9212,9212
1536986185,9154,9154
1536988127,8843,8843
1536990047,8849,8849
1536992216,8851,8851
1536994354,8590,8590
1536996515,8590,8590
1536998489,8593,8593
1537000365,8591,8591
1537002282,8598,8598
1537004208,8055,8055
1537006109,8056,8056
1537008049,8058,8058
1537009958,8601,8601
1537011877,8597,8597
1537013840,8598,8598
1537015973,8601,8601
1537017874,8606,8606
1537019802,8607,8607
1537021709,8610,8610
1537023691,8614,8614
1537025559,8619,8619
1537027547,8621,8621
1537029636,8626,8626
1537031575,8606,8606
1537033467,8642,8642
1537035424,8645,8645
1537037298,8650,8650
1537039254,7526,7526
1537041153,6452,6452
1537043083,6452,6452
1537044980,6452,6452
1537046941,6479,6479
1537048931,6459,6459
1537050774,6392,6392
1537052676,6007,6007
1537054627,6004,6004
1537056537,6007,6007
1537058450,6003,6003
1537060350,5447,5447
1537062288,4136,4136
1537064199,3051,3051
1537066103,2216,2216
1537068038,2214,2214
1537069950,2215,2215
1537071886,2199,2199
1537073778,2241,2241
1537075717,2246,2246
1537077691,2255,2255
1537079569,2561,2561
1537081483,2597,2597
1537083516,2595,2595
1537085340,2680,2680
1537087240,2759,2759
1537089163,2754,2754
1537091348,2750,2750
1537093256,2762,2762
1537095145,1870,1870
1537097091,1871,1871
1537098991,1873,1873
1537100933,1873,1873
1537102882,1870,1870
1537104783,1905,1905
1537106703,1907,1907
1537108619,1903,1903
1537110530,1901,1901
1537112452,1996,1996
1537114402,1999,1999
1537116279,1997,1997
1537118207,1997,1997
1537120351,3173,3173
1537122255,3483,3483
1537124495,3488,3488
1537126353,3487,3487
1537128322,3483,3483
1537130184,3447,3447
1537132121,3445,3445
1537134020,3574,3574
1537136207,3568,3568
1537138127,3567,3567
1537140030,3567,3567
1537142189,3572,3572
1537144107,3572,3572
1537146093,3573,3573
1537147951,3573,3573
1537149868,3568,3568
1537151815,3571,3571
1537153957,3570,3570
1537155892,3309,3309
1537157795,3576,3576
1537159729,3576,3576
1537161639,3573,3573
1537163578,3603,3603
1537165477,3514,3514
1537167402,3485,3485
1537169304,3516,3516
1537171289,3511,3511
1537173166,3420,3420
1537175093,3418,3418
1537176994,3467,3467
1537178929,3467,3467
1537180838,3460,3460
1537182768,3397,3397
1537184671,3394,3394
1537186617,3394,3394
1537188521,3393,3393
1537190452,3395,3395
1537192355,3418,3418
1537194544,4468,4468
1537196682,4468,4468
1537198596,4450,4450
1537200556,4448,4448
1537202544,4451,4451
1537204350,4451,4451
1537206272,4241,4241
1537208209,3673,3673
1537210114,3664,3664
1537212029,3666,3666
1537213956,3669,3669
1537215865,3668,3668
1537217812,3667,3667
1537219709,3501,3501
1537221710,3503,3503
1537223741,3503,3503
1537225707,3498,3498
1537227636,3494,3494
1537229556,3497,3497
1537231477,3494,3494
1537233402,3495,3495
1537235313,3494,3494
1537237250,3487,3487
1537239144,3490,3490
1537241084,3492,3492
1537242975,3124,3124
1537244921,3123,3123
1537246887,3123,3123
1537248772,3102,3102
1537250675,3086,3086
1537252585,3078,3078
1537254531,3083,3083
1537256461,3088,3088
1537258469,3086,3086
1537260291,3087,3087
1537262215,3042,3042
1537264132,3042,3042
1537266043,3032,3032
1537267946,3039,3039
1537270121,3054,3054
1537272100,3060,3060
1537273969,3062,3062
1537275882,3098,3098
1537278073,3083,3083
1537279978,3076,3076
1537281879,3077,3077
1537283820,1414,1414
1537285711,1185,1185
1537287911,1183,1183
1537290095,1185,1185
1537291967,1182,1182
1537293889,1098,1098
1537295779,1100,1100
1537297717,1100,1100
1537299615,1109,1109
1537301559,1260,1260
1537303477,3043,3043
1537305380,3095,3095
1537307304,3093,3093
1537309236,3092,3092
1537311155,3092,3092
1537313080,3092,3092
1537314983,3095,3095
1537317161,3110,3110
1537319068,3112,3112
1537320973,3117,3117
1537322917,3170,3170
1537324846,3211,3211
1537326741,3206,3206
1537328659,3210,3210
1537330597,3288,3288
1537332497,3428,3428
1537334431,3432,3432
1537336343,3430,3430
1537338274,3430,3430
1537340204,3425,3425
1537342357,3423,3423
1537344259,3425,3425
1537346067,3424,3424
1537347876,3423,3423
1537349785,4002,4002
1537351726,4004,4004
