DateTime,AddedIPs,RemovedIPs
1536377544,6,8
1536379479,8,11
1536381374,9,14
1536383319,12,9
1536385240,12,7
1536387161,7,37
1536389052,6,11
1536391233,8,33
1536393171,11,24
1536395063,16,8
1536396974,12,8
1536398918,7,7
1536400873,12,4
1536402764,12,8
1536404666,3,9
1536406577,12,10
1536408527,12,6
1536410426,9,6
1536412363,4,8
1536414258,4,13
1536416215,13,5
1536418096,11,8
1536420039,6,5
1536421946,2,3
1536424119,3,15
1536426058,9,7
1536427959,4,7
1536429872,6,4
1536431781,7,8
1536433724,4,12
1536435634,12,11
1536437547,7,8
1536439461,13,4
1536441402,6,10
1536443304,11,8
1536445234,4,15
1536447145,4,5
1536449117,10,10
1536451003,5,9
1536452896,9,12
1536455814,13,9
1536457707,8,10
1536459648,6,13
1536461557,14,4
1536463473,8,7
1536465407,6,9
1536467316,5,13
1536469287,6,9
1536471154,9,8
1536473091,1,10
1536475239,8,10
1536477163,6,9
1536479061,6,14
1536481004,11,13
1536482913,9,17
1536484856,11,5
1536486758,23,8
1536488698,37,11
1536490585,8,2
1536492519,12,11
1536494494,7,8
1536496371,10,9
1536498275,7,7
1536500297,6,5
1536502118,5,10
1536504024,4,12
1536505969,10,7
1536507860,4,2
1536509800,6,7
1536511720,6,9
1536513622,4,9
1536515556,16,3
1536517456,9,8
1536519394,9,5
1536521296,8,12
1536523281,2,3
1536525168,3,6
1536527086,8,11
1536528958,6,8
1536530897,5,9
1536532836,2,5
1536534883,3,7
1536536928,4,6
1536538831,2,14
1536540737,2,12
1536542654,4,4
1536544578,2,9
1536546759,4,13
1536548726,8,11
1536550577,3,5
1536552511,1,6
1536554452,4,7
1536556340,0,8
1536558305,7,3
1536560200,6,3
1536562372,3,12
1536564283,4,7
1536566211,4,9
1536568098,0,9
1536570091,3,18
1536571977,2,21
1536573874,5,12
1536575778,6,33
1536577727,3,10
1536579640,2,13
1536581577,2,7
1536583464,2,13
1536585391,2,9
1536587368,2,7
1536589254,3,3
1536591172,1,11
1536593084,2,4
1536595005,2,10
1536596935,1,5
1536598894,1,4
1536600769,1,5
1536602764,3,19
1536604620,5,9
1536606506,3,6
1536608452,1,6
1536610348,1,3
1536612271,3,5
1536614504,4,7
1536616352,5,4
1536618263,1,8
1536620235,0,3
1536622137,3,3
1536624092,2,2
1536625950,2,5
1536627898,2,6
1536629788,3,1
1536631717,0,3
1536633643,7,5
1536635553,3,6
1536637461,5,2
1536639404,3,2
1536641315,2,4
1536643255,3,1
1536645165,2,7
1536647188,3,7
1536648996,3,3
1536651159,2,8
1536653071,0,2
1536655258,3,3
1536657156,5,2
1536659096,3,5
1536661003,5,5
1536662938,0,4
1536664845,2,3
1536666768,2,2
1536668686,3,1
1536670608,0,4
1536672506,2,2
1536674493,3,1
1536676348,1,2
1536678341,0,1
1536680433,1,3
1536682350,5,1
1536684290,3,0
1536686221,4,1
1536688281,31,4
1536690271,8,5
1536692171,10,5
1536694105,10,3
1536696035,7,1
1536697865,8,1
1536699859,14,3
1536701774,11,4
1536703961,5,4
1536705876,10,2
1536707795,14,3
1536709713,9,2
1536711628,4,1
1536713573,8,1
1536715488,8,3
1536717394,13,1
1536719313,6,2
1536721292,5,7
1536723155,7,1
1536725146,29,7
1536727004,21,2
1536728937,11,3
1536730826,7,2
1536732776,9,3
1536734676,3,3
1536736622,8,0
1536738519,7,2
1536740431,7,3
1536742353,4,3
1536744303,9,2
1536746226,6,1
1536748123,10,5
1536750995,9,1
1536752914,3,2
1536754833,6,1
1536756746,8,1
1536758673,6,0
1536760588,8,5
1536762507,3,1
1536764679,7,0
1536766533,5,0
1536768789,4,7
1536770686,8,1
1536772599,2,3
1536774529,6,30
1536776425,3,6
1536778370,10,9
1536780269,8,7
1536782205,5,7
1536784106,14,7
1536786093,6,12
1536787951,5,7
1536789887,1,6
1536791789,5,7
1536793712,6,15
1536795623,3,3
1536797542,4,2
1536799464,3,9
1536801401,6,7
1536803304,4,7
1536805225,7,3
1536807158,4,8
1536809065,6,3
1536811020,1,6
1536812903,5,38
1536814880,6,11
1536816749,2,8
1536818666,2,7
1536820592,3,7
1536822498,6,7
1536824412,9,4
1536826354,6,7
1536828252,3,6
1536830177,3,3
1536832113,2,8
1536834021,6,9
1536835947,6,10
1536837854,6,3
1536839772,8,2
1536841968,4,10
1536843879,4,8
1536846288,3,10
1536848202,3,4
1536850124,4,8
1536852047,3,10
1536853940,5,2
1536855887,1,8
1536857787,7,7
1536859720,4,6
1536861700,4,4
1536863565,5,7
1536865508,5,5
1536867386,3,9
1536869330,13,9
1536871247,4,14
1536873133,8,3
1536875074,5,7
1536877250,1,4
1536879151,5,7
1536881079,5,8
1536883252,7,3
1536885137,8,5
1536887338,3,5
1536889250,2,4
1536891158,3,7
1536893059,2,7
1536895031,3,4
1536896903,5,2
1536898859,30,3
1536900749,1,9
1536902687,6,3
1536904598,5,3
1536906530,5,2
1536908487,3,8
1536910622,5,9
1536912554,6,5
1536914464,3,7
1536916363,2,2
1536918283,9,3
1536920221,8,6
1536922103,5,6
1536924072,9,6
1536925955,18,8
1536928131,6,4
1536930095,5,4
1536931969,5,2
1536933873,9,5
1536935776,6,3
1536937744,4,3
1536939896,8,5
1536941805,7,4
1536943711,7,4
1536945631,4,6
1536947568,16,5
1536949471,6,3
1536951398,10,6
1536953333,12,3
1536955281,10,13
1536957160,12,1
1536959090,9,8
1536961019,8,6
1536962918,11,3
1536964869,14,2
1536967018,7,7
1536968900,17,6
1536970843,9,6
1536972766,12,5
1536974686,7,2
1536976574,11,3
1536978502,7,3
1536980502,10,3
1536982363,5,1
1536984333,12,34
1536986186,9,1
1536988128,10,2
1536990056,13,8
1536992217,11,4
1536994355,9,5
1536996516,8,4
1536998491,12,4
1537000366,3,4
1537002284,7,4
1537004209,3,6
1537006110,8,5
1537008050,11,7
1537009959,6,5
1537011878,8,9
1537013841,4,8
1537015974,10,7
1537017875,7,5
1537019805,5,7
1537021710,7,4
1537023692,3,3
1537025560,4,5
1537027548,7,7
1537029638,10,7
1537031577,8,6
1537033469,2,10
1537035425,10,9
1537037299,10,7
1537039255,3,6
1537041154,7,3
1537043084,6,10
1537044981,4,8
1537046942,6,8
1537048932,8,10
1537050775,8,7
1537052678,2,11
1537054628,4,13
1537056538,2,10
1537058451,9,11
1537060351,6,5
1537062289,5,10
1537064200,10,7
1537066104,5,9
1537068039,4,9
1537069951,4,6
1537071887,6,8
1537073779,2,5
1537075719,3,13
1537077692,6,11
1537079570,7,7
1537081484,8,5
1537083525,2,9
1537085342,6,11
1537087241,6,3
1537089164,6,9
1537091349,6,9
1537093257,5,8
1537095147,2,9
1537097092,7,7
1537098993,4,5
1537100934,7,10
1537102883,5,4
1537104784,3,8
1537106705,5,7
1537108620,3,9
1537110534,8,5
1537112453,6,2
1537114403,6,6
1537116281,2,11
1537118208,3,9
1537120352,4,1
1537122256,2,10
1537124497,5,13
1537126354,1,3
1537128325,1,8
1537130186,3,7
1537132122,2,7
1537134021,1,11
1537136207,5,6
1537138128,3,6
1537140032,2,6
1537142190,1,2
1537144109,1,11
1537146094,2,11
1537147952,7,3
1537149869,3,12
1537151817,2,9
1537153958,1,3
1537155893,0,6
1537157796,3,6
1537159730,3,2
1537161640,1,3
1537163579,2,11
1537165478,4,7
1537167403,0,10
1537169305,3,6
1537171290,3,6
1537173167,2,6
1537175094,3,11
1537176995,5,7
1537178930,5,1
1537180840,1,6
1537182769,3,4
1537184673,3,8
1537186619,1,8
1537188522,1,2
1537190453,3,6
1537192357,7,6
1537194545,3,3
1537196683,1,12
1537198597,5,9
1537200558,2,6
1537202545,3,2
1537204352,1,3
1537206274,0,4
1537208210,3,2
1537210116,2,6
1537212031,7,5
1537213957,5,2
1537215866,3,5
1537217813,3,3
1537219710,2,3
1537221711,1,5
1537223742,4,3
1537225708,1,2
1537227638,2,2
1537229557,2,0
1537231478,0,4
1537233404,2,2
1537235314,4,9
1537237251,4,1
1537239146,3,1
1537241093,2,0
1537242976,1,1
1537244922,4,4
1537246889,3,1
1537250676,3,5
1537252586,1,2
1537254532,3,3
1537256462,5,2
1537258470,2,5
1537260292,3,0
1537262216,1,7
1537264133,1,0
1537266044,1,6
1537267947,4,3
1537270122,4,1
1537272102,2,3
1537273970,1,0
1537275883,1,4
1537278074,2,6
1537279979,2,3
1537281880,2,1
1537283821,0,4
1537285713,0,2
1537287912,2,2
