DateTime,AddedIPs,RemovedIPs
1536171885,3,10
1536173803,7,2
1536175701,0,8
1536177626,1,3
1536179540,5,5
1536181460,1,6
1536183636,1,4
1536185566,4,4
1536187464,3,4
1536190309,5,4
1536192260,2,6
1536194192,4,9
1536196364,3,5
1536198296,4,4
1536200206,3,2
1536202133,3,10
1536204030,1,6
1536205979,2,3
1536207894,1,9
1536209805,2,5
1536211706,3,1
1536213684,1,4
1536215606,2,4
1536217480,2,8
1536219380,4,2
1536221345,2,6
1536223219,3,7
1536225178,3,6
1536227064,5,5
1536229017,4,5
1536230907,1,4
1536232851,1,2
1536234754,0,4
1536236698,6,4
1536238588,2,6
1536240522,4,4
1536242536,2,4
1536244358,4,5
1536246292,0,7
1536248211,2,6
1536252278,1,4
1536254194,2,3
1536258028,2,3
1536259966,1,7
1536261876,1,0
1536263787,1,1
1536265721,2,5
1536267697,1,1
1536269568,1,1
1536271464,1,2
1536273400,0,3
1536275303,0,4
1536277542,1,3
1536279405,0,4
1536281304,1,3
1536283285,1,4
1536285165,2,3
1536287076,2,2
1536289002,2,3
1536290904,4,0
1536292886,2,1
1536294763,1,2
1536296658,0,1
1536298618,0,3
1536300528,1,2
1536302418,0,2
1536304345,2,4
1536306260,2,1
1536308213,1,2
1536310098,1,5
1536312056,0,2
1536313962,3,6
1536315886,1,2
1536317774,1,1
1536319715,2,0
1536321700,1,3
1536323562,3,4
1536325497,0,7
1536327392,1,1
1536329326,2,2
1536331219,0,4
1536333160,1,1
1536335056,0,1
1536337246,1,0
1536339174,2,1
1536341086,1,2
1536343003,1,2
1536344917,0,1
1536346879,1,1
1536348764,1,1
1536350706,1,1
1536352589,2,1
1536354528,2,1
1536356419,1,2
1536358369,3,0
1536360262,2,0
1536362158,2,0
1536364096,2,1
1536367937,2,1
1536369855,3,1
1536371797,0,3
1536373707,2,3
1536375692,1,1
1536377545,3,4
1536379480,0,2
1536381375,3,1
1536385241,2,0
1536387162,1,1
1536389053,2,1
1536391234,1,1
1536393172,2,2
1536395064,2,1
1536396975,2,1
1536400877,0,4
1536402765,3,1
1536404667,1,1
1536406578,0,2
1536408528,1,2
1536410427,2,2
1536414259,2,1
1536416216,2,2
1536418097,1,0
1536420040,3,1
1536421947,2,0
1536424121,1,1
1536426067,1,1
1536427960,2,1
1536429875,0,1
1536431782,1,0
1536433726,1,1
1536435635,2,1
1536437548,2,2
1536439462,1,0
1536441403,0,2
1536443305,1,1
1536445235,1,3
1536447146,0,2
1536449118,0,3
1536451004,0,1
1536454870,0,2
1536456759,0,3
1536458666,0,1
1536460579,1,1
1536462521,1,2
1536464428,0,2
1536466344,3,3
1536468255,2,0
1536470193,1,0
1536472109,1,3
1536474028,0,2
1536475945,1,2
1536477863,1,1
1536480081,0,1
1536481952,3,2
1536485778,1,0
1536487710,1,2
1536489627,0,2
1536491548,4,0
1536493472,0,1
1536495412,0,2
1536497296,1,2
1536501140,1,2
1536503058,0,1
1536504997,2,2
1536506899,3,3
1536508882,2,1
1536510748,0,1
1536512694,0,2
1536514829,2,2
1536518671,1,1
1536520581,0,1
1536522518,2,2
1536524420,0,2
1536526582,1,0
1536528959,0,2
1536530898,3,1
1536532837,1,0
1536534884,1,0
1536536929,2,0
1536538831,1,0
1536542655,2,0
1536544579,1,0
1536546760,2,1
1536548728,2,1
1536550578,2,0
1536552513,0,3
1536554453,0,2
1536558307,0,2
1536562373,1,1
1536564285,1,1
1536566212,1,0
1536568099,1,2
1536570092,1,1
1536571978,0,1
1536573875,2,2
1536575779,1,0
1536577728,0,2
1536583465,0,1
1536585392,0,2
1536587369,1,1
1536589255,1,0
1536591173,1,2
1536593085,1,2
1536595006,0,2
1536602765,0,1
1536604621,1,0
1536608453,1,2
1536612272,3,1
1536614506,1,0
1536616353,0,3
1536620236,0,2
1536622139,0,1
1536624093,0,1
1536625951,0,1
1536629789,1,2
1536631718,1,3
1536633644,1,0
1536635554,1,2
1536637462,1,2
1536641316,1,0
1536645166,3,0
1536647189,1,1
1536648997,2,0
1536651160,1,1
1536653072,4,1
1536655259,1,0
1536657157,1,1
1536659097,1,0
1536661004,0,2
1536662938,0,1
1536672508,1,0
1536674494,1,1
1536676349,1,1
1536678343,1,1
1536684291,2,0
1536692172,1,2
1536694106,1,0
1536696069,0,1
1536698198,1,3
1536700124,1,1
1536703962,1,1
1536705877,1,0
1536717395,0,1
1536719314,0,2
1536721293,0,1
1536723155,0,1
1536728937,1,1
1536730827,0,2
1536732777,0,2
1536734677,0,1
1536736622,0,1
1536738520,2,3
1536740438,0,2
1536742354,1,1
1536744304,1,2
1536748124,1,0
1536750996,0,1
1536754833,1114,0
1536756747,3111,0
1536758674,6,0
1536760588,1,0
1536762508,4,0
1536764680,3,0
1536766534,4,1
1536768791,10,0
1536770687,4,0
1536772600,2,0
1536774530,5,0
1536776427,5,0
1536778370,3,1
1536780270,6,0
1536782206,1,1
1536784107,1,0
1536786094,3,0
1536789896,2,0
1536793714,1,0
1536797543,1,0
1536803305,1,0
1536805226,1,0
1536807159,1,0
1536820593,1,0
1536822499,1,0
1536824413,2,0
1536826355,2,0
1536828253,7,0
1536830178,3,0
1536832114,1,0
1536834022,3,0
1536835947,1,0
1536837855,2,0
1536839773,1,0
1536841968,5,2746
1536843879,3,1497
1536846288,2,5
1536848203,0,1
1536850125,1,4
1536852048,0,3
1536853940,1,7
1536855887,1,9
1536857787,0,1
1536859721,1,4
1536861701,1,6
1536863566,1,4
1536865509,4,7
1536867386,3,2
1536869330,3,1
1536871248,4,1
1536873134,4,2
1536875075,4,1
1536877251,3,1
1536879152,1,1
1536881080,1,0
1536883253,0,1
1536885138,1,0
1536887339,4,0
1536889251,3,1
1536891159,3,1
1536893060,1,1
1536895032,5,0
1536896904,2,0
1536898860,3,0
1536900749,1,0
1536902687,3,0
1536904598,1,0
1536906531,1,1
1536910623,3,3
1536912554,3,2
1536914465,0,6
1536916364,2,4
1536918284,4,0
1536920221,2,3
1536922103,0,1
1536924073,4,2
1536925956,2,2
1536928132,0,4
1536930096,1,3
1536931969,2,1
1536933874,1,1
1536935777,0,1
1536937745,3,0
1536939896,3,1
1536941806,4,1
1536943711,1,1
1536947568,1,2
1536949481,1,1
1536951398,0,2
1536953334,4,3
1536955283,1,3
1536957161,1,2
1536959091,1,5
1536961020,0,5
1536962919,1,1
1536964871,2,3
1536967019,1,1
1536970844,2,1
1536974687,0,5
1536976575,0,3
1536978503,2,2
1536980503,1,6
1536982371,1,2
