DateTime,Entries,UniqueIPs
1536381374,608,608
1536383320,601,601
1536385241,605,605
1536387162,609,609
1536389052,610,610
1536391233,612,612
1536393172,633,633
1536395064,630,630
1536396974,621,621
1536398919,614,614
1536400876,618,618
1536402764,619,619
1536404667,619,619
1536406578,615,615
1536408527,611,611
1536410427,606,606
1536412364,609,609
1536414259,605,605
1536416215,606,606
1536418097,607,607
1536420040,618,618
1536421946,620,620
1536424120,618,618
1536426065,623,623
1536427959,629,629
1536429874,619,619
1536431782,618,618
1536433725,602,602
1536435635,601,601
1536437548,599,599
1536439462,601,601
1536441403,593,593
1536443304,589,589
1536445235,593,593
1536447146,582,582
1536449118,577,577
1536451004,574,574
1536452896,568,568
1536454862,558,558
1536456759,545,545
1536458665,539,539
1536460579,540,540
1536462520,538,538
1536464428,535,535
1536466344,542,542
1536468255,546,546
1536470193,551,551
1536472108,563,563
1536474027,562,562
1536475944,563,563
1536477862,560,560
1536480079,543,543
1536481952,551,551
1536483858,550,550
1536485778,550,550
1536487709,547,547
1536489627,550,550
1536491548,560,560
1536493471,561,561
1536495411,563,563
1536497296,563,563
1536499231,555,555
1536501140,561,561
1536503057,563,563
1536504996,559,559
1536506899,563,563
1536508881,559,559
1536510748,552,552
1536512694,548,548
1536514829,541,541
1536516732,540,540
1536518671,541,541
1536520580,538,538
1536522518,546,546
1536524419,556,556
1536526581,556,556
1536528958,558,558
1536530898,558,558
1536532836,558,558
1536534883,556,556
1536536928,565,565
1536538831,572,572
1536540737,579,579
1536542654,594,594
1536544579,601,601
1536546760,607,607
1536548727,605,605
1536550578,598,598
1536552512,586,586
1536554453,596,596
1536556341,594,594
1536558306,594,594
1536560200,608,608
1536562373,609,609
1536564285,613,613
1536566211,619,619
1536568099,617,617
1536570092,619,619
1536571977,615,615
1536573875,611,611
1536575779,605,605
1536577728,600,600
1536579641,592,592
1536581578,594,594
1536583465,600,600
1536585392,600,600
1536587369,603,603
1536589255,598,598
1536591173,599,599
1536593085,596,596
1536595006,592,592
1536596937,590,590
1536598895,584,584
1536600770,583,583
