DateTime,AddedIPs,RemovedIPs
1535282212,1,0
1535287957,0,2
1535297545,0,1
1535299487,0,1
1535301384,0,1
1535303305,0,1
1535309333,1,0
1535313189,1,0
1535315625,0,2
1535317503,1,0
1535321333,1,1
1535323229,1,0
1535325165,1,1
1535329001,1,0
1535334793,0,1
1535338642,0,1
1535348234,0,2
1535350131,1,0
1535359699,2,0
1535361642,1,1
1535363544,1,1
1535369333,0,1
1535377025,2,0
1535378901,1,0
1535380872,0,1
1535382762,0,1
1535384672,1,0
1535390451,1,0
1535394258,0,1
1535400360,1,0
1535402196,0,2
1535404111,0,1
1535406057,2,0
1535407953,0,1
1535409883,0,1
1535412059,0,1
1535431725,1,0
1535435560,0,1
1535439404,1,0
1535447092,2,3
1535449272,0,1
1535462673,0,1
1535464604,0,2
1535470353,0,1
1535472276,2,0
1535478294,0,1
1535485965,1,1
1535491761,0,1
1535493695,1,1
1535499445,1,0
1535508997,1,0
1535510960,1,0
1535516690,1,0
1535518621,1,1
1535520507,2,0
1535526297,1,1
1535530428,1,0
1535532272,0,1
1535534200,0,2
1535539951,1,0
1535557963,1,2
1535564925,2,0
1535572915,0,1
1535580538,0,1
1535584618,1,1
1535596122,0,1
1535598121,0,1
1535601894,0,1
1535605968,0,1
1535607888,0,2
1535611748,0,1
1535617485,1,1
1535621315,1,0
1535623287,1,0
1535627069,0,1
1535629017,1,0
1535630934,1,0
1535644892,2,1
1535650614,0,1
1535652539,0,1
1535654422,2,0
1535658284,1,0
1535670081,0,1
1535676026,1,0
1535677978,1,0
1535691380,1,0
1535693559,1,0
1535703150,0,1
1535707147,0,1
1535709157,0,1
1535713010,1,0
1535715237,0,1
1535717105,0,1
1535719000,1,0
1535722839,1,0
1535730761,1,1
1535732672,0,1
1535740353,1,2
1535744227,1,1
1535751888,1,0
1535753806,4,0
1535761483,0,1
1535765307,0,1
1535774932,1,0
1535776830,0,1
1535778766,1,0
1535780692,1,1
1535782608,1,0
1535797955,1,0
1535799879,0,1
1535803735,2,0
1535805630,1,1
1535809476,1,1
1535813313,1,0
1535817175,1,1
1535827009,0,1
1535830827,0,1
1535836605,1,0
1535838514,1,1
1535840427,1,3
1535844283,1,0
1535846201,2,0
1535855805,1,0
1535859661,1,0
1535861596,1,0
1535863479,1,0
1535865406,0,1
1535867329,0,1
1535871168,1,0
1535874988,1,0
1535876927,0,1
1535884844,0,1
1535890619,1,1
1535892513,0,1
1535898286,1,1
1535902366,0,1
1535912217,0,1
1535923718,0,1
1535925672,0,1
1535932889,1,2
1535934771,1,0
1535942676,0,1
1535944592,0,1
1535948448,0,1
1535952296,2,0
1535954199,1,1
1535956117,2,0
1535958092,1,1
1535961894,0,1
1535983488,0,1
1535987324,0,1
1535991213,0,1
1535994996,1,0
1535996905,1,0
1536004607,1,0
1536010372,3,0
1536020690,0,1
1536026496,0,1
1536037975,0,1
1536041823,0,2
1536046001,0,2
1536048086,1,0
1536049944,1,0
1536061465,1,0
1536063430,0,2
1536065306,2,0
1536073030,1,0
1536074905,1,0
1536076908,1,0
1536080697,0,1
1536084524,0,1
1536086438,1,0
1536090524,0,1
1536092460,0,2
1536096445,1,3
1536100352,1,0
1536102534,0,1
1536106360,1,0
1536112105,1,0
1536131561,1,0
1536135392,0,1
1536137307,0,1
1536150311,1,1
1536152189,0,1
1536157953,0,1
1536161799,0,1
1536163779,0,1
1536171886,0,1
1536175702,1,0
1536179540,1,0
1536187464,0,1
1536190309,1,0
1536192261,0,1
1536194193,1,0
1536196364,1,0
1536211706,1,1
1536217481,0,1
1536227065,1,0
1536230907,1,0
1536234755,1,0
1536236699,0,1
1536246293,1,0
1536254195,0,1
1536261878,1,1
1536265721,2,1
1536273400,1,0
1536275304,0,1
1536277542,1,0
1536281305,0,1
1536283285,0,1
1536290905,2,0
1536296659,1,0
1536298618,1,1
1536300528,1,0
1536306261,1,0
1536313963,0,1
1536317774,1,1
1536319716,0,1
1536333161,1,1
1536337247,10,0
1536348765,0,1
1536350708,1,0
1536352590,0,2
1536356419,1,0
1536358370,1,0
1536360263,0,1
1536362158,1,1
1536364097,1,0
1536369855,1,0
1536371797,4,0
1536377545,0,2
1536379481,1,0
1536383321,0,1
1536385242,2,2
1536393173,0,1
1536396975,1,0
1536404668,0,1
1536412365,1,0
1536414260,1,0
1536420041,1,1
1536421948,0,10
1536443305,0,2
1536449119,1,1
1536451005,0,1
1536452897,1,0
1536456760,0,1
1536458666,0,4
1536466345,1,1
1536468256,2,0
1536470194,1,0
1536472109,0,2
1536477864,1,0
1536483859,0,1
1536487711,1,0
1536499233,0,1
1536501141,0,1
1536506899,0,2
1536508883,1,0
1536518672,1,0
1536530899,3,0
1536534884,0,1
1536538832,0,1
1536544580,2,0
1536546761,1,0
1536548730,1,0
1536552514,0,1
1536554454,0,1
1536556342,0,1
1536558308,2,0
1536562374,1,0
1536564286,0,1
1536568100,1,0
1536577729,1,0
1536579642,0,1
1536581579,1,1
1536583466,1,0
1536587370,0,1
1536595007,1,0
1536604621,1,1
1536610351,1,0
1536618265,0,1
1536629790,0,1
1536631719,1,1
1536633645,0,1
1536635555,0,1
1536645166,2,2
1536648997,1,1
1536651167,1,0
1536655260,0,1
1536662939,1,0
1536664846,0,1
1536668688,1,1
1536670610,1,1
1536682351,4,1
1536688283,1,0
1536690280,1,0
1536692173,1,1
1536696082,0,1
1536698199,2,0
1536700124,2,0
1536713575,1,0
1536728938,1,0
1536730828,1,2
1536732777,2,0
1536734677,2,1
1536736624,1,1
1536738521,1,0
1536742355,2,0
1536750997,0,1
1536756748,0,1
1536758675,1,0
1536760589,1,0
1536764681,1,0
1536768792,0,4
1536774538,0,1
1536778371,0,1
1536784107,0,1
1536786095,0,2
1536787952,1,0
1536793714,1,0
1536795625,0,1
1536801403,0,2
1536814884,0,1
1536816758,0,1
1536818668,0,4
1536820594,1,1
1536822500,0,2
1536824414,0,1
1536828254,0,1
1536830178,0,1
1536834022,4,0
1536835948,1,0
1536846289,1,1
1536848204,0,1
1536850125,0,1
1536852048,3,0
1536861702,1,0
1536869331,1,0
1536871248,3,0
1536873134,2,1
1536875076,1,0
1536877251,2,1
1536879153,1,0
1536881080,5,0
1536883253,3,0
1536885138,3,0
1536887339,1,0
1536889252,3,0
1536891159,2,0
1536893060,2,0
1536895032,2,0
1536896904,2,0
1536898860,2,0
1536902688,2,0
1536904599,3,0
1536906531,1,1
1536908488,0,1
1536918284,3,0
1536920222,1,2
1536922104,0,3
1536924074,1,0
1536925956,1,0
1536931970,1,1
1536933875,2,0
1536937745,0,3
1536939897,1,0
1536943712,1,0
1536947569,0,1
1536953335,2,0
1536955283,1,1
1536957162,0,2
1536959092,0,2
1536961020,0,1
1536962919,0,1
1536968901,1,0
1536970845,1,0
1536972768,1,0
1536976575,0,1
1536980503,0,1
1536982372,1,0
1536984335,0,2
1536986188,0,1
1536990058,3,2
1536992218,1,1
1536996518,0,3
1537000367,0,1
1537002287,1,1
1537004211,0,4
1537006112,0,3
1537008052,0,2
1537009961,0,2
1537011881,0,1
1537013843,0,2
1537015976,1,1
1537017877,0,3
1537019806,0,3
1537021712,0,1
1537023694,0,1
1537027550,0,1
1537031579,1,1
1537033473,0,1
1537035427,1,0
1537037301,2,0
1537039257,0,1
1537041155,0,1
1537043085,1,0
1537046943,1,0
1537048934,2,1
1537050776,3,0
1537052680,1,0
1537054630,0,1
1537056540,2,3
1537060353,1,1
1537062291,1,0
1537064201,0,1
1537066105,0,1
1537068040,0,1
1537069952,1,0
1537071888,1,1
1537075720,3,4
1537077696,0,2
1537083526,1,0
1537085344,1,0
1537089165,0,1
1537097093,1,0
1537100935,1,1
1537116282,0,1
1537118210,1,0
1537120354,0,1
1537122257,2,0
1537124498,0,2
1537128326,1,1
1537130187,1,0
1537132124,1,0
1537134024,0,1
1537136209,0,1
1537142192,1,2
1537144111,2,0
1537146096,0,1
1537147954,0,1
1537149871,3,1
1537157797,0,1
1537159731,0,1
1537161642,0,3
1537165480,0,1
1537169307,0,1
1537173169,2,0
1537175095,0,1
1537176997,1,0
1537182770,0,1
1537184675,1,0
1537186620,0,2
1537188524,1,0
1537190455,1,0
1537194547,1,0
1537196685,1,0
1537198599,1,0
1537204354,0,1
1537208212,0,1
1537212032,1,0
1537213958,2,0
1537215868,0,2
1537221713,0,1
1537223743,1,0
1537227639,1,0
1537229559,1,3
1537231479,3,0
1537237253,0,3
1537242977,1,1
1537248774,2,0
1537258472,1,0
1537260293,1,0
1537262219,1,0
1537264135,1,1
1537267949,1,0
1537270124,1,0
1537273972,1,1
1537275886,0,1
1537281882,0,1
