DateTime,AddedIPs,RemovedIPs
1536319717,3,1
1536321701,2,3
1536323563,2,0
1536325508,3,1
1536327393,1,1
1536331221,1,0
1536333162,1,2
1536339175,0,1
1536341087,0,1
1536343004,2,1
1536344918,0,1
1536346880,0,3
1536348765,1,1
1536350708,3,1
1536352590,4,3
1536354529,4,3
1536356420,2,2
1536358370,2,0
1536360263,20,1
1536362159,11,1
1536364097,1,2
1536366038,1,2
1536367938,4,1
1536369856,1,1
1536371798,1,1
1536373708,2,2
1536375693,3,5
1536377546,5,3
1536379481,6,1
1536381376,3,1
1536383321,6,2
1536385242,1,3
1536387163,1,4
1536389054,0,2
1536391235,1,4
1536393173,2,5
1536395065,2,0
1536396976,2,1
1536398920,0,1
1536400878,2,3
1536402766,0,1
1536404668,2,2
1536406580,4,2
1536408528,5,2
1536410428,1,3
1536412365,4,2
1536414261,1,1
1536416217,1,1
1536418098,1,2
1536420042,0,1
1536424122,0,1
1536426074,480,0
1536427961,93,0
1536429892,3,1
1536431784,1,0
1536433727,1,0
1536435637,1,1
1536437549,1,1
1536439463,9,5
1536441404,1,3
1536443306,2,4
1536445236,2,2
1536447147,0,29
1536449120,2,2
1536451005,1,1
1536452897,1,1
1536454882,1,4
1536456760,1,2
1536460581,0,3
1536462522,1,1
1536464430,3,6
1536466345,0,2
1536468256,4,1
1536470195,2,6
1536472110,1,2
1536474029,2,1
1536475945,0,1
1536477864,4,2
1536481953,1,1
1536483860,1,1
1536485787,1,2
1536487711,2,1
1536489628,1,2
1536491550,1,1
1536493473,1,8
1536495413,73,1
1536497297,1,1
1536499233,1,3
1536501141,2,1
1536503059,1,0
1536504997,1,1
1536506900,1,0
1536510749,2,0
1536512696,1,569
1536514831,10,5
1536516733,1,0
1536520583,1,1
1536524421,0,3
1536526583,1,6
1536528960,5,2
1536530899,2,2
1536532845,3,3
1536534885,2,0
1536536930,0,3
1536538832,5,1
1536540739,2,2
1536542656,6,1
1536544580,2,1
1536546761,6,2
1536548731,4,1
1536550579,2,3
1536552514,2,0
1536554454,3,3
1536556342,3,4
1536558308,2,1
1536560203,1,3
1536562374,1,0
1536564286,2,4
1536566213,2,0
1536568101,3,1
1536570093,4,1
1536571979,0,2
1536573876,4,1
1536575781,1,2
1536577729,0,1
1536579642,5,1
1536581579,0,74
1536583466,5,0
1536585394,2,3
1536587370,2,1
1536589257,1,0
1536591174,1,2
1536593086,3,1
1536595007,2,1
1536596939,1,1
1536598898,2,0
1536600771,4,1
1536602779,1,12
1536604622,4,0
1536606508,0,1
1536608454,1,1
1536610351,1,0
1536612273,0,1
1536614507,2,1
1536616354,2,3
1536618265,0,1
1536620237,0,3
1536622140,3,1
1536624095,4,1
1536625952,2,2
1536627900,2,1
1536629790,1,5
1536631719,1,2
1536633646,2,6
1536635555,1,3
1536637463,2,4
1536639406,4,1
1536641317,1,1
1536643257,3,2
1536645166,0,3
1536647191,2,0
1536648998,1,0
1536651168,1,2
1536653073,3,2
1536655261,1,4
1536657158,2,2
1536659098,6,1
1536661005,32,2
1536662939,3,1
1536664847,1,1
1536666770,3,4
1536668688,0,4
1536672508,2,1
1536674495,1,2
1536676350,1,1
1536678344,1,2
1536680436,1,2
1536682351,3,3
1536684292,4,0
1536686223,4,3
1536688283,2,2
1536690281,570,2
1536692173,0,3
1536694107,1,1
1536696085,8,3
1536698199,3,0
1536700125,5,0
1536702034,2,2
1536703963,2,2
1536705878,73,0
1536707797,2,1
1536709715,3,3
1536711631,2,3
1536713575,0,1
1536715498,3,2
1536717404,1,2
1536719315,1,1
1536721294,1,2
1536723156,2,2
1536725148,0,4
1536727005,1,0
1536728939,0,1
1536730828,2,3
1536732778,0,1
1536734678,1,0
1536736624,2,1
1536738521,2,2
1536740456,0,4
1536742355,2,1
1536744305,2,3
1536746227,0,21
1536748125,0,15
1536750997,2,4
1536752915,2,2
1536754834,1,0
1536756748,3,0
1536758675,1,3
1536760589,1,2
1536762509,7,2
1536764682,2,1
1536766536,1,2
1536768792,2,2
1536770688,3,4
1536772601,3,5
1536774539,2,2
1536776429,0,571
1536778371,1,2
1536780271,2,1
1536782207,1,7
1536784108,0,4
1536786096,2,1
1536787953,2,2
1536789897,1,1
1536791792,0,73
1536793715,2,2
1536795626,2,3
1536797544,1,1
1536799466,0,2
1536801403,3,2
1536803305,3,1
1536805226,1,1
1536807160,2,1
1536809067,2,3
1536811021,1,0
1536812905,1,1
1536814885,2,1
1536816758,0,2
1536818668,0,2
1536820594,4,1
1536822500,2,2
1536824414,1,2
1536826356,0,1
1536828254,2,2
1536830179,0,2
1536832115,1,0
1536834023,3,1
1536835948,2,1
1536837856,3,2
1536839774,2,3
1536841969,1,2
1536846289,3,1
1536848204,1,5
1536850126,1,2
1536852049,1,2
1536853941,2,2
1536855889,0,1
1536857788,0,4
1536859722,1,0
1536861702,0,2
1536863567,3,0
1536865510,0,2
1536867395,1,4
1536869331,1,0
1536871249,2,0
1536873134,2,2
1536875076,0,2
1536877252,3,1
1536879153,1,2
1536881081,2,1
1536883254,0,1
1536885139,3,1
1536887340,1,2
1536889253,2,2
1536891160,2,3
1536893060,4,2
1536895032,0,2
1536896905,0,1
1536898861,2,1
1536900750,2,3
1536902689,5,1
1536906532,2,4
1536908489,2,1
1536910624,2,2
1536912555,2,0
1536914467,1,3
1536916365,4,0
1536918285,0,2
1536920223,0,2
1536922104,0,4
1536924074,2,1
1536925957,2,1
1536928133,1,1
1536930097,0,2
1536931970,1,2
1536933875,1,1
1536935778,0,2
1536937746,1,2
1536939897,0,2
1536941807,0,1
1536943712,0,1
1536945634,1,0
1536947569,1,2
1536949481,2,3
1536951399,1,2
1536955283,1,3
1536957163,1,2
1536959093,0,2
1536961020,1,0
1536962920,1,1
1536964872,0,3
1536967020,3,2
1536970845,2,2
1536972768,2,2
1536974688,1,1
1536976576,3,1
1536978504,1,2
1536980504,1,2
1536982372,1,0
1536984335,2,1
1536986188,0,1
1536988131,1,4
1536990058,0,1
1536994357,1,3
1536996518,2,2
1536998493,4,2
1537000368,4,2
1537002288,0,3
1537004212,2,1
1537006112,0,1
1537008052,2,0
1537009961,1,1
1537011881,0,1
1537013843,2,1
1537015976,9,0
1537017877,30,0
1537019807,11,2
1537021712,1,0
1537025561,1,0
1537027550,0,1
1537029642,1,0
1537031581,2,2
1537033473,2,1
1537035427,1,2
1537037301,1,2
1537039258,1,0
1537041156,1,0
1537043086,2,1
1537046944,1,1
1537048934,1,0
1537050776,0,2
1537052680,2,1
1537054630,0,2
1537056540,1,1
1537058453,2,4
1537060353,2,1
1537062291,3,4
1537064202,0,2
1537066106,2,1
1537068040,1,0
1537069952,0,2
1537071888,1,2
1537073781,0,1
1537079571,3,1
1537083527,1,2
1537085344,1,2
1537087243,2,4
1537089165,3,1
1537093259,1,1
1537095148,1,1
1537097093,1,2
1537100936,2,4
1537102886,0,6
1537104786,0,41
1537106707,573,0
1537108621,0,1
1537112454,1,0
1537114404,0,2
1537116282,0,3
1537118210,1,1
1537120354,1,2
1537122258,2,2
1537124499,2,0
1537126356,2,2
1537128327,0,1
1537130188,1,1
1537132124,1,2
1537134024,2,0
1537136210,1,1
1537138130,11,0
1537140034,31,2
1537144111,1,2
1537146096,5,2
1537147954,1,3
1537149872,1,1
1537151819,0,2
1537153960,3,1
1537155895,2,0
1537157798,2,0
1537159732,1,0
1537163582,1,0
1537165480,2,1
1537167405,1,2
1537169307,1,1
1537171292,0,2
1537173169,1,3
1537175096,0,3
1537178933,2,1
1537180842,1,1
1537182771,1,1
1537184676,3,1
1537186620,1,0
1537188525,2,2
1537190456,1,0
1537192359,1,573
1537194547,1,0
1537196685,2,0
1537202547,1,0
1537204354,0,1
1537206276,1,0
1537208212,0,2
1537210119,1,1
1537212034,0,3
1537213958,0,1
1537215868,1,1
1537219712,1,3
1537221713,2,1
1537223743,1,1
1537225712,3,40
1537227640,24,1
1537229559,20,0
1537231480,2,2
1537233405,1,2
1537235317,2,2
1537237254,2,0
1537239147,1,1
1537241095,0,1
1537242978,2,2
1537244924,4,3
1537246891,1,0
1537248775,1,0
1537250678,3,2
1537252588,2,2
1537254535,2,1
1537256465,2,0
1537258472,2,0
1537260293,6,0
1537262219,2,2
1537264136,3,1
1537266045,2,1
1537267949,1,0
1537270124,1,1
1537272105,1,2
1537273973,4,3
1537275887,25,1
1537278076,2,1
1537279981,3,1
1537281882,1,3
1537283824,2,1
1537285721,4,1
1537290113,4,0
1537291973,1,1
1537293894,2,0
1537295783,2,0
1537297720,1,0
1537299618,1,0
1537301562,1,1
1537303480,2,1
1537307307,1,3
1537309240,2,2
1537311163,4,1
1537313083,0,3
1537314986,2,34
1537317164,1,3
1537319071,0,2
1537320977,2,1
1537322920,0,2
1537324849,1,1
1537328661,0,1
1537330600,2,5
1537332500,1,0
1537334434,3,1
1537336347,4,3
1537338276,4,1
1537340207,4,1
1537342370,1,4
1537344262,1,0
1537346070,2,6
1537347879,2,1
1537349788,1,1
1537351729,1,4
