DateTime,Entries,UniqueIPs
1536319717,86,86
1536321701,85,85
1536323563,87,87
1536325508,89,89
1536327393,89,89
1536331221,90,90
1536333162,89,89
1536339175,88,88
1536341087,87,87
1536343004,88,88
1536344918,87,87
1536346880,84,84
1536348765,84,84
1536350708,86,86
1536352590,87,87
1536354529,88,88
1536356420,88,88
1536358370,90,90
1536360263,109,109
1536362159,119,119
1536364097,118,118
1536366038,117,117
1536367938,120,120
1536369856,120,120
1536371798,120,120
1536373708,120,120
1536375693,118,118
1536377546,120,120
1536379481,125,125
1536381376,127,127
1536383321,131,131
1536385242,129,129
1536387163,126,126
1536389054,124,124
1536391235,121,121
1536393173,118,118
1536395065,120,120
1536396976,121,121
1536398920,120,120
1536400878,119,119
1536402766,118,118
1536404668,118,118
1536406580,120,120
1536408528,123,123
1536410428,121,121
1536412365,123,123
1536414261,123,123
1536416217,123,123
1536418098,122,122
1536420042,121,121
1536424122,120,120
1536426074,600,600
1536427961,693,693
1536429892,695,695
1536431784,696,696
1536433727,697,697
1536435637,697,697
1536437549,697,697
1536439463,701,701
1536441404,699,699
1536443306,697,697
1536445236,697,697
1536447147,668,668
1536449120,668,668
1536451005,668,668
1536452897,668,668
1536454882,665,665
1536456760,664,664
1536460581,661,661
1536462522,661,661
1536464430,658,658
1536466345,656,656
1536468256,659,659
1536470195,655,655
1536472110,654,654
1536474029,655,655
1536475945,654,654
1536477864,656,656
1536481953,656,656
1536483860,656,656
1536485787,655,655
1536487711,656,656
1536489628,655,655
1536491550,655,655
1536493473,648,648
1536495413,720,720
1536497297,720,720
1536499233,718,718
1536501141,719,719
1536503059,720,720
1536504997,720,720
1536506900,721,721
1536510749,723,723
1536512696,155,155
1536514831,160,160
1536516733,161,161
1536520583,161,161
1536524421,158,158
1536526583,153,153
1536528960,156,156
1536530899,156,156
1536532845,156,156
1536534885,158,158
1536536930,155,155
1536538832,159,159
1536540739,159,159
1536542656,164,164
1536544580,165,165
1536546761,169,169
1536548731,172,172
1536550579,171,171
1536552514,173,173
1536554454,173,173
1536556342,172,172
1536558308,173,173
1536560203,171,171
1536562374,172,172
1536564286,170,170
1536566213,172,172
1536568101,174,174
1536570093,177,177
1536571979,175,175
1536573876,178,178
1536575781,177,177
1536577729,176,176
1536579642,180,180
1536581579,106,106
1536583466,111,111
1536585394,110,110
1536587370,111,111
1536589257,112,112
1536591174,111,111
1536593086,113,113
1536595007,114,114
1536596939,114,114
1536598898,116,116
1536600771,119,119
1536602779,108,108
1536604622,112,112
1536606508,111,111
1536608454,111,111
1536610351,112,112
1536612273,111,111
1536614507,112,112
1536616354,111,111
1536618265,110,110
1536620237,107,107
1536622140,109,109
1536624095,112,112
1536625952,112,112
1536627900,113,113
1536629790,109,109
1536631719,108,108
1536633646,104,104
1536635555,102,102
1536637463,100,100
1536639406,103,103
1536641317,103,103
1536643257,104,104
1536645166,101,101
1536647191,103,103
1536648998,104,104
