DateTime,Entries,UniqueIPs
1536381376,763,763
1536383321,768,768
1536385242,787,787
1536387164,797,797
1536389054,807,807
1536391235,825,825
1536393174,809,809
1536395065,806,806
1536396976,801,801
1536398920,795,795
1536400886,786,786
1536402766,779,779
1536404669,774,774
1536406580,776,776
1536408529,777,777
1536410429,778,778
1536412366,777,777
1536414261,775,775
1536416217,788,788
1536418098,794,794
1536420044,797,797
1536421950,790,790
1536424122,790,790
1536426078,774,774
1536427961,751,751
1536429896,736,736
1536431785,733,733
1536433728,731,731
1536435638,752,752
1536437549,767,767
1536439463,771,771
1536441404,771,771
1536443306,771,771
1536445237,774,774
1536447147,792,792
1536449120,823,823
1536451006,819,819
1536452898,805,805
1536454883,789,789
1536456761,778,778
1536458667,770,770
1536460581,766,766
1536462523,762,762
1536464431,767,767
1536466346,763,763
1536468257,756,756
1536470197,734,734
1536472110,720,720
1536474031,710,710
1536475946,686,686
1536477865,676,676
1536480084,672,672
1536481953,669,669
1536483861,714,714
1536485787,716,716
1536487711,718,718
1536489628,712,712
1536491550,709,709
1536493473,722,722
1536495413,721,721
1536497297,730,730
1536499233,739,739
1536501142,738,738
1536503059,735,735
1536504998,742,742
1536506900,745,745
1536508883,742,742
1536510749,744,744
1536512696,745,745
1536514831,755,755
1536516733,775,775
1536518672,797,797
1536520584,805,805
1536522519,804,804
1536524421,814,814
1536526583,828,828
1536528961,852,852
1536530899,863,863
1536532845,876,876
1536534885,866,866
1536536930,877,877
1536538833,892,892
1536540739,904,904
1536542656,919,919
1536544580,914,914
1536546761,916,916
1536548732,914,914
1536550579,917,917
1536552514,929,929
1536554454,934,934
1536556343,937,937
1536558309,929,929
1536560203,915,915
1536562374,920,920
1536564287,919,919
1536566213,922,922
1536568101,921,921
1536570094,927,927
1536571979,922,922
1536573876,925,925
1536575781,928,928
1536577730,928,928
1536579643,923,923
1536581579,923,923
1536583467,921,921
1536585395,915,915
1536587371,918,918
1536589257,866,866
1536591174,862,862
1536593087,864,864
1536595008,866,866
1536596940,861,861
1536598899,863,863
1536600771,857,857
1536602779,834,834
1536604622,822,822
1536606508,810,810
1536608455,790,790
1536610351,765,765
1536612273,747,747
1536614507,721,721
1536616354,695,695
1536618266,680,680
1536620237,669,669
1536622140,639,639
1536624096,621,621
1536625952,605,605
1536627900,593,593
1536629790,582,582
1536631720,595,595
1536633647,610,610
1536635556,617,617
1536637464,613,613
1536639406,608,608
1536641319,599,599
1536643257,597,597
1536645167,602,602
1536647191,605,605
1536648998,608,608
1536651168,630,630
1536653073,651,651
1536655261,658,658
1536657158,663,663
1536659098,668,668
1536661007,671,671
1536662940,693,693
1536664848,695,695
1536666770,696,696
1536668689,672,672
1536670611,671,671
1536672509,676,676
1536674495,679,679
1536676351,674,674
1536678344,666,666
1536680436,665,665
1536682352,661,661
1536684292,664,664
1536686223,663,663
1536688284,659,659
1536690281,652,652
1536692174,649,649
1536694107,645,645
1536696087,641,641
1536698201,643,643
1536700125,642,642
1536702034,646,646
1536703963,641,641
1536705878,646,646
1536707797,647,647
1536709715,646,646
1536711631,646,646
1536713575,648,648
1536715499,650,650
1536717404,638,638
1536719316,624,624
1536721295,615,615
1536723156,620,620
1536725149,628,628
1536727006,629,629
1536728939,632,632
1536730828,624,624
1536732778,624,624
1536734678,630,630
1536736624,621,621
1536738521,591,591
1536740457,599,599
1536742356,596,596
1536744306,580,580
1536746228,569,569
1536748125,557,557
1536750998,534,534
1536752916,530,530
1536754834,528,528
1536756748,521,521
1536758676,520,520
1536760590,511,511
1536762510,510,510
1536764683,509,509
1536766536,516,516
1536768793,517,517
1536770689,510,510
1536772602,512,512
1536774539,515,515
1536776430,511,511
1536778372,507,507
1536780271,505,505
1536782207,506,506
1536784108,509,509
1536786096,510,510
1536787954,511,511
1536789897,514,514
1536791792,518,518
1536793715,509,509
1536795626,515,515
1536797544,512,512
1536799466,515,515
1536801404,523,523
1536803306,532,532
1536805227,535,535
1536807161,535,535
1536809067,532,532
1536811022,532,532
1536812905,531,531
1536814885,517,517
1536816759,515,515
1536818668,510,510
1536820594,506,506
1536822501,499,499
1536824415,495,495
1536826356,480,480
1536828255,476,476
1536830179,474,474
1536832116,481,481
1536834024,488,488
1536835949,486,486
1536837856,482,482
1536839775,476,476
1536841970,478,478
1536843880,477,477
1536846290,487,487
1536848204,486,486
1536850126,485,485
1536852050,480,480
1536853941,478,478
1536855890,476,476
1536857789,483,483
1536859722,481,481
1536861703,477,477
1536863573,484,484
1536865510,498,498
