DateTime,Entries,UniqueIPs
1536381376,1594,1594
1536383322,1598,1598
1536385243,1595,1595
1536387164,1606,1606
1536389055,1616,1616
1536391236,1613,1613
1536393174,1623,1623
1536395066,1616,1616
1536396977,1612,1612
1536398921,1602,1602
1536400888,1603,1603
1536402767,1612,1612
1536404669,1609,1609
1536406581,1593,1593
1536408529,1591,1591
1536410430,1580,1580
1536412366,1585,1585
1536414261,1571,1571
1536416217,1569,1569
1536418099,1583,1583
1536420050,1609,1609
1536421964,1621,1621
1536424123,1629,1629
1536426088,2836,2836
1536427962,4125,4125
1536429902,4421,4421
1536431785,4428,4428
1536433735,4414,4414
1536435645,4420,4420
1536437550,4414,4414
1536439464,4426,4426
1536441405,4417,4417
1536443307,4417,4417
1536445237,4413,4413
1536447148,4381,4381
1536449121,4372,4372
1536451006,4362,4362
1536452899,4357,4357
1536454883,4344,4344
1536456768,4335,4335
1536458668,4329,4329
1536460582,4334,4334
1536462529,4319,4319
1536464438,4304,4304
1536466346,4307,4307
1536468257,4319,4319
1536470203,4319,4319
1536472111,4324,4324
1536474037,4312,4312
1536475946,4303,4303
1536477865,4302,4302
1536480085,4289,4289
1536481954,4290,4290
1536483868,4281,4281
1536485788,4276,4276
1536487712,4267,4267
1536489629,4262,4262
1536491551,4319,4319
1536493474,4318,4318
1536495414,4330,4330
1536497298,4338,4338
1536499234,4336,4336
1536501142,4342,4342
1536503060,4346,4346
1536504999,4340,4340
1536506901,4343,4343
1536508884,4346,4346
1536510750,4346,4346
1536512698,3140,3140
1536514832,1535,1535
1536516734,1531,1531
1536518673,1529,1529
1536520591,1518,1518
1536522520,1529,1529
1536524422,1534,1534
1536526584,1551,1551
1536528968,1559,1559
1536530900,1564,1564
1536532846,1569,1569
1536534886,1569,1569
1536536931,1574,1574
1536538833,1577,1577
1536540740,1580,1580
1536542657,1591,1591
1536544581,1614,1614
1536546762,1626,1626
1536548733,1633,1633
1536550580,1632,1632
1536552515,1618,1618
1536554455,1611,1611
1536556343,1606,1606
1536558309,1599,1599
1536560204,1605,1605
1536562375,1610,1610
1536564287,1610,1610
1536566214,1614,1614
1536568102,1620,1620
1536570094,1621,1621
1536571980,1627,1627
1536573877,1630,1630
1536575782,1633,1633
1536577730,1627,1627
1536579643,1618,1618
1536581580,1620,1620
1536583467,1621,1621
1536585402,1561,1561
1536587371,1990,1990
1536589258,2072,2072
1536591175,2084,2084
1536593087,2082,2082
1536595009,2053,2053
1536596941,2036,2036
1536598907,2030,2030
1536600772,2044,2044
1536602781,2107,2107
1536604623,2134,2134
1536606509,2159,2159
1536608456,2182,2182
1536610352,2203,2203
1536612274,2264,2264
1536614508,2279,2279
1536616355,2282,2282
1536618266,2298,2298
1536620238,2322,2322
1536622141,2346,2346
1536624096,2369,2369
1536625953,2387,2387
1536627901,2426,2426
1536629791,2434,2434
1536631720,2459,2459
1536633654,2485,2485
1536635556,2502,2502
1536637464,2529,2529
1536639407,2547,2547
1536641325,2557,2557
1536643258,2578,2578
1536645168,2600,2600
1536647191,2617,2617
1536649000,2651,2651
1536651169,2746,2746
1536653074,2770,2770
1536655262,2801,2801
1536657159,2842,2842
1536659099,2889,2889
1536661013,2960,2960
1536662941,2991,2991
1536664854,3041,3041
1536666771,3091,3091
1536668690,3111,3111
1536670611,3144,3144
1536672510,3111,3111
1536674496,2779,2779
1536676352,2824,2824
1536678345,2913,2913
1536680437,3057,3057
1536682359,3185,3185
1536684293,3333,3333
1536686224,3518,3518
1536688284,3566,3566
1536690282,6488,6488
1536692174,6592,6592
1536694108,6668,6668
1536696089,6747,6747
1536698208,6778,6778
1536700126,6831,6831
1536702035,6878,6878
1536703964,6949,6949
1536705879,6977,6977
1536707798,7054,7054
1536709716,7109,7109
1536711632,7156,7156
1536713576,7207,7207
1536715506,7279,7279
1536717405,7313,7313
1536719317,7362,7362
1536721296,7447,7447
1536723157,7482,7482
1536725150,7497,7497
1536727006,7502,7502
1536728940,7517,7517
1536730829,7511,7511
1536732779,7525,7525
1536734679,7499,7499
1536736625,7481,7481
1536738522,7455,7455
1536740457,7458,7458
1536742357,7446,7446
1536744307,7444,7444
1536746228,7411,7411
1536748126,7395,7395
1536750998,7388,7388
1536752916,7364,7364
1536754835,8464,8464
1536756749,11293,11293
1536758677,11293,11293
1536760591,11242,11242
1536762511,11220,11220
