DateTime,AddedIPs,RemovedIPs
1535761487,0,1
1535763396,1,0
1535765317,0,1
1535767319,2,1
1535769161,4,0
1535771081,2,1
1535773018,0,2
1535774937,0,2
1535776834,1,1
1535778772,0,2
1535780696,5,2
1535782619,4,0
1535786447,1,0
1535788380,1,1
1535790279,2,0
1535794110,0,1
1535796096,0,1
1535801801,1,0
1535803739,1,0
1535805634,1,0
1535807568,1,2
1535809480,1,2
1535811414,0,1
1535815243,1,0
1535817178,0,2
1535819066,0,1
1535820985,0,2
1535822899,1,1
1535824899,1,2
1535827021,1,1
1535828916,1,1
1535830831,1,0
1535832784,1,1
1535834678,1,1
1535836617,2,0
1535838518,3,1
1535840431,2,0
1535842361,1,0
1535844287,1,0
1535848111,1,0
1535850108,1,0
1535851979,3,2
1535853897,0,1
1535855808,1,4
1535857726,2,1
1535859665,4,0
1535861608,2,0
1535863483,1,1
1535865410,1,1
1535867337,1,2
1535869263,0,2
1535873071,0,1
1535874991,1,0
1535876931,1,1
1535880778,1,0
1535882686,2,0
1535884847,3,0
1535888688,0,2
1535892518,0,1
1535894445,1,1
1535896356,1,0
1535898289,0,1
1535900190,1,0
1535902369,0,1
1535914118,0,1
1535917971,0,1
1535919890,0,1
1535921792,0,1
1535923722,0,2
1535925681,1,3
1535927576,1,2
1535930592,1,1
1535934775,0,3
1535936685,0,1
1535938607,0,7
1535940757,1,1
1535942681,0,1
1535944597,0,6
1535946518,1,2
1535948454,0,3
1535950378,0,2
1535954204,1,0
1535958096,0,1
1535959975,1,2
1535964039,0,2
1535966211,0,1
1535968125,0,2
1535970045,1,5
1535971962,1,0
1535981557,1,1
1535983505,2,1
1535985398,1,0
1535987328,1,2
1535995000,1,0
1535998853,1,0
1536006527,2,0
1536012314,0,1
1536014429,1,1
1536016831,0,1
1536020701,1,0
1536022607,1,0
1536024536,1,0
1536026505,0,1
1536034110,1,0
1536036067,1,0
1536041827,0,1
1536043971,1,0
1536046005,0,1
1536053780,0,1
1536055760,0,1
1536057654,0,1
1536063434,1,0
1536067251,1,1
1536069174,0,1
1536071074,0,1
1536073034,0,1
1536074916,1,0
1536076911,1,0
1536080704,1,1
1536082599,0,1
1536084528,0,1
1536088375,1,0
1536092475,0,2
1536094396,0,1
1536096449,1,0
1536100356,2,1
1536106364,1,1
1536112116,1,0
1536114034,0,1
1536119797,2,1
1536125558,1,0
1536127489,1,0
1536131564,1,0
1536137311,1,0
1536139245,1,0
1536143083,1,0
1536150327,0,1
1536156090,1,0
1536159873,0,1
1536161803,1,2
1536163783,0,1
1536165619,1,0
1536167685,1,1
1536173807,0,1
1536183640,0,2
1536185570,0,2
1536190321,1,0
1536192264,2,0
1536198300,0,1
1536205983,0,1
1536207898,1,1
1536211710,1,1
1536213714,0,1
1536217485,1,0
1536219384,1,0
1536221349,1,0
1536223224,0,1
1536225183,0,2
1536229021,0,1
1536230911,1,1
1536234758,1,0
1536244363,1,0
1536246298,1,0
1536248233,1,0
1536250393,0,1
1536252283,1,1
1536254214,0,1
1536259977,1,1
1536267701,1,0
1536269573,1,0
1536277546,1,1
1536279411,0,1
1536290908,1,0
1536292891,1,0
1536294767,0,1
1536298622,0,1
1536302428,2,0
1536304350,0,1
1536306265,0,1
1536308217,2,1
1536317786,1,1
1536319720,1,0
1536321706,0,1
1536325514,3,0
1536331224,0,1
1536333165,0,1
1536339179,1,1
1536343007,1,0
