DateTime,AddedIPs,RemovedIPs
1535652544,1,0
1535658288,1,0
1535660215,1,0
1535662103,0,1
1535665955,1,0
1535670088,0,1
1535676031,0,1
1535687577,0,1
1535689472,0,1
1535705091,0,1
1535709161,0,1
1535720941,1,0
1535722851,0,1
1535726705,0,1
1535728818,0,1
1535730765,0,1
1535732677,0,2
1535734611,0,1
1535736638,1,1
1535738494,0,1
1535740357,1,0
1535744239,0,1
1535748032,0,1
1535751900,0,1
1535805634,1,0
1535807568,0,1
1535822900,0,1
1535827021,0,1
1535865411,3,0
1535892519,0,1
1535896356,1,0
1535942681,1,0
1535952301,0,3
1535964040,1,0
1535966211,3,0
1535968126,1,0
1535970045,1,0
1535971963,5,0
1535973892,3,0
1535975813,2,0
1535977723,3,0
1535979702,2,0
1535981557,1,0
1535983506,3,1
1535985398,3,0
1535987329,1,0
1535995000,1,0
1535998854,1,0
1536004611,1,0
1536012315,1,0
1536028403,0,1
1536041827,2,0
1536046006,1,0
1536051883,2,4
1536055760,0,2
1536057655,0,4
1536059559,0,3
1536061469,0,3
1536063434,0,3
1536065310,0,2
1536069175,0,3
1536071074,1,2
1536073034,1,3
1536076912,2,0
1536080704,0,1
1536086448,0,1
1536088376,1,0
1536090535,0,1
1536094396,2,0
1536098438,0,1
1536100356,1,0
1536102538,1,0
1536106365,1,0
1536108287,1,0
1536112116,1,0
1536117882,2,0
1536125558,1,0
1536127490,0,1
1536129651,0,1
1536131565,2,1
1536133501,1,0
1536137311,0,1
1536139247,0,1
1536143084,1,0
1536146187,1,0
1536148398,1,0
1536150327,1,0
1536152199,2,0
1536154122,1,0
1536157957,1,1
1536159879,0,1
1536163783,0,2
1536167685,1,0
1536171890,1,0
1536173807,1,1
1536175706,2,0
1536177659,1,0
1536179544,1,1
1536181466,2,1
1536185570,2,0
1536187468,0,2
1536192265,0,1
1536194203,0,1
1536198300,0,1
1536202137,1,0
1536204034,0,2
1536209809,1,0
1536213714,0,1
1536215611,1,0
1536217485,0,2
1536219384,1,1
1536221350,1,0
1536223224,2,0
1536225183,1,0
1536230911,0,1
1536232856,0,1
1536234759,1,1
1536236710,1,1
1536238617,1,2
1536240527,1,1
1536244363,0,1
1536252283,1,0
1536254214,0,1
1536258033,0,1
1536261888,0,2
1536263791,0,2
1536265725,0,1
1536267701,0,2
1536271469,0,2
1536285169,1,0
1536289006,0,1
1536294768,0,1
1536298623,1,0
1536302429,1,1
