DateTime,AddedIPs,RemovedIPs
1536377549,9,3
1536379523,4,3
1536381379,1,4
1536383325,16,4
1536385246,8,3
1536387167,14,9
1536389058,9,9
1536391244,3,2
1536393179,0,3
1536395069,3,3
1536396980,4,4
1536398924,5,2
1536400898,2,2
1536402777,3,2
1536404672,2,5
1536406584,6,3
1536408533,3,4
1536410433,4,4
1536412370,8,4
1536414264,3,4
1536416221,2,0
1536418102,5,1
1536420060,5,1
1536421969,16,5
1536424127,3,2
1536426093,7,4
1536427965,4,3
1536429910,7,4
1536431789,5,4
1536433738,9,2
1536435649,5,1
1536437553,9,9
1536439467,7,2
1536441408,4,2
1536443310,11,4
1536445241,3,6
1536447151,9,6
1536449124,1,1
1536451010,1,3
1536452903,3,3
1536454893,0,6
1536456771,2,0
1536458671,2,6
1536460585,2,3
1536462532,1,10
1536464446,3,5
1536466349,4,6
1536468260,2,0
1536470206,0,17
1536472114,2,10
1536474045,1,12
1536475950,0,9
1536477869,2,2
1536480088,1,0
1536481957,3,3
1536483872,2,7
1536485790,3,3
1536487715,1,2
1536489632,0,4
1536491553,4,2
1536493477,3,4
1536495417,1,2
1536497301,4,3
1536499242,3,4
1536501146,0,4
1536503063,2,3
1536505001,2,4
1536506904,15,6
1536508888,8,13
1536510754,1,3
1536512701,2,5
1536514835,2,1
1536516736,5,4
1536518676,1,3
1536520594,2,12
1536522522,2,3
1536524425,4,5
1536526587,4,2
1536528974,29,8
1536530903,3,4
1536532850,6,7
1536534889,4,4
1536536934,1,1
1536538836,4,5
1536540743,3,3
1536542660,3,2
1536544584,8,1
1536546765,3,2
1536548779,7,1
1536550583,3,2
1536552518,1,2
1536554458,2,3
1536556346,3,0
1536558312,5,2
1536560209,8,2
1536562379,7,0
1536564290,5,1
1536566217,8,1
1536568105,3,1
1536570098,5,2
1536571983,5,2
1536573882,1,0
1536575785,6,0
1536577733,0,4
1536579646,6,1
1536581583,5,0
1536583470,4,2
1536585412,4,3
1536587394,4,0
1536589261,7,1
1536591178,5,3
1536593090,3,9
1536595011,2,12
1536596947,3,1
1536598911,3,2
1536600775,4,0
1536602788,8,5
1536604626,1,1
1536606516,2,3
1536608459,6,0
1536610356,9,2
1536612280,3,5
1536614511,5,21
1536616358,4,1
1536618269,1,2
1536620247,4,3
1536622144,2,0
1536624101,2,0
1536625956,5,1
1536627903,0,1
1536629794,0,9
1536631723,1,1
1536633674,5,3
1536635559,3,6
1536637468,5,3
1536639410,7,2
1536641328,2,1
1536643260,0,3
1536645170,0,4
1536647194,12,3
1536649003,12,3
1536651176,16,5
1536653077,4,4
1536655265,4,3
1536657162,0,7
1536659103,1,2
1536661016,3,5
1536662944,1,3
1536664857,3,1
1536666774,5,7
1536668693,1,4
1536670614,0,4
1536672512,1,3
1536674500,4,1
1536676355,3,9
1536678351,4,3
1536680440,4,5
1536682370,1,1
1536684296,4,2
1536686227,3,4
1536688287,1,5
1536690285,2,6
1536692180,1,1
1536694111,2,5
1536696093,1,8
1536698211,1,3
1536700129,2,1
1536702038,4,5
1536703968,4,2
1536705882,7,4
1536707801,10,2
1536709719,6,1
1536711635,0,5
1536713579,4,2
1536715509,3,1
1536717408,5,0
1536719328,1,3
1536721323,3,6
1536723160,3,0
1536725153,1,11
1536727009,1,4
1536730842,3,0
1536732782,1,1
1536734682,1,13
1536736630,2,19
1536738525,1,12
1536740460,2,2
1536742364,2,4
1536744315,3,2
1536746232,3,1
1536748129,5,4
1536750080,2,1
1536751958,4,10
1536753875,6,3
1536755799,26,0
1536757714,23,4
1536759627,5,0
1536761559,3,8
1536763495,5,2
1536765379,4,3
1536767312,6,5
1536769256,1,1
1536771166,1,1
1536773084,34,1
1536774986,2,1
1536776927,7,5
1536778897,4,2
1536780765,3,2
1536782684,3,1
1536784579,1,1
1536786532,2,3
1536788440,1,5
1536790349,15,4
1536792259,11,10
1536794244,8,11
1536796100,2,5
1536798048,3,0
1536799966,2,4
1536801899,3,3
1536803788,2,4
1536805709,4,1
1536807695,2,3
1536809568,4,3
1536811474,0,3
1536813411,2,1
1536815336,1,0
1536817247,4,4
1536819164,0,3
1536821094,1,0
1536823241,3,2
1536825166,2,2
1536827101,2,5
1536829010,1,3
1536831150,5,2
1536833058,4,3
1536834974,4,5
1536836916,2,3
1536839082,0,3
1536841027,3,10
1536842911,4,34
1536844835,9,15
1536846784,9,6
1536848673,8,2
1536850591,9,7
1536852505,3,4
1536854490,7,3
1536856364,2,2
1536858329,8,14
1536860212,2,23
1536862115,3,3
1536864029,3,6
1536865958,4,1
1536867890,1,4
1536869803,6,3
1536871973,11,3
1536873868,3,1
1536875802,3,8
1536877709,3,12
1536879706,2,8
1536881544,4,2
1536883501,2,2
1536885428,4,6
1536887344,5,3
1536889257,1,0
1536891163,2,3
1536893064,3,2
1536895036,4,3
1536896909,2,4
1536898865,4,1
1536900754,1,1
1536902692,2,1
1536904603,2,4
1536906535,1,1
1536908493,3,2
1536910628,6,1
1536912560,10,1
1536914476,2,2
1536916369,2,2
1536918290,9,5
1536920234,3,4
1536922108,2,4
1536924078,5,2
1536925960,1,4
1536928137,2,1
1536930102,3,4
1536931974,2,8
1536933880,2,4
1536935782,7,13
1536937750,1,5
1536939901,2,4
1536941811,6,4
1536943726,4,6
1536945651,2,6
1536947573,3,2
1536949485,4,3
1536951403,5,1
1536953339,1,3
1536955288,3,5
1536957167,5,3
1536959098,9,15
1536961024,4,5
1536962932,7,1
1536964877,2,3
1536967031,12,1
1536968906,2,3
1536972773,1,3
1536974698,7,7
1536976580,5,0
1536978508,0,4
1536980514,5,2
1536982378,2,4
1536984341,2,2
1536986192,0,6
1536988137,5,1
1536990062,11,3
1536992223,3,1
1536994362,2,6
1536996522,4,3
1536998503,0,13
1537000372,3,2
1537002292,3,3
1537004216,17,6
1537006132,3,4
1537008056,1,3
1537009965,5,4
1537011886,3,5
1537013848,1,3
1537015981,12,2
1537017884,2,6
1537019811,5,4
1537021716,2,4
1537023699,3,6
1537025565,3,2
1537027555,3,3
1537029648,5,6
1537031594,3,2
1537033477,5,3
1537035434,1,4
1537037304,3,4
1537039262,0,3
1537041176,11,3
1537043089,8,4
1537044986,7,10
1537046947,1,3
1537048938,32,6
1537050781,18,2
1537052686,5,0
1537054634,1,11
1537056547,3,0
1537058457,4,1
1537060357,4,2
1537062295,4,5
1537064205,6,4
1537066116,4,3
1537068052,6,5
1537069956,8,2
1537071892,5,0
1537073784,4,6
1537075739,5,10
1537077699,4,1
1537079575,4,3
1537081507,3,3
1537083531,2,3
1537085349,4,0
1537087246,2,2
1537089170,2,9
1537091358,5,13
1537093263,15,3
1537095153,6,1
1537097097,2,7
1537098998,7,4
1537100939,2,3
1537102890,4,12
1537104790,5,4
1537106713,4,4
1537108634,1,3
1537110548,2,4
1537112458,4,3
1537114408,1,6
1537116287,13,3
1537118214,1,6
1537120358,8,1
1537122262,8,1
1537124518,2,3
1537126360,4,7
1537128332,17,11
1537130192,14,6
1537132129,5,2
1537134032,2,3
1537136214,8,23
1537138135,4,5
1537140046,2,3
1537142197,13,2
1537144115,2,4
1537146100,4,5
1537147958,1,5
1537149883,3,2
1537151830,6,12
1537153965,4,6
1537155916,3,6
1537157802,5,5
1537159736,2,3
1537161646,10,5
1537163586,9,6
1537165484,4,1
1537167410,9,1
1537169311,11,1
1537171296,17,4
1537173173,1,4
1537175100,5,2
1537177001,4,2
1537178940,2,12
1537180853,13,10
1537182775,5,1
1537184680,4,5
1537186625,3,2
1537188538,2,5
1537190460,5,9
1537192364,2,1
1537194553,13,0
1537196693,9,1
1537198603,5,6
1537200569,4,0
1537202564,5,15
1537204847,6,2
1537206761,4,4
1537208657,8,5
1537210601,6,2
1537212547,24,0
1537214498,6,17
1537216369,9,11
1537218272,5,6
1537220215,5,2
1537222129,5,5
1537224290,0,9
1537226216,5,6
1537228134,2,9
1537230579,5,4
1537232473,5,2
1537234353,11,2
1537236282,11,2
1537238177,1,3
1537240130,5,2
1537242050,5,5
1537243948,5,3
1537245861,3,2
1537247806,12,9
1537249696,7,9
1537251634,2,6
1537253563,4,11
1537255477,7,5
1537257399,4,21
1537259318,7,2
1537261302,6,2
1537263172,9,3
1537265129,6,4
1537266976,4,9
1537268939,4,7
1537271084,3,6
1537273011,8,2
1537275160,1,2
1537277074,5,4
1537279007,4,2
1537281157,4,11
1537283060,2,11
1537285255,12,5
1537287929,18,5
1537290126,13,1
1537291978,5,5
1537293916,4,6
1537295789,6,4
1537297724,4,6
1537299622,3,25
1537301566,10,10
1537303493,2,3
1537305389,4,4
1537307312,5,2
1537309252,7,4
1537311167,7,5
1537313088,8,2
1537314990,7,1
1537317168,2,4
1537319075,2,7
1537320981,3,14
1537322925,7,5
1537324854,3,2
1537326749,1,5
1537328666,5,3
1537330608,1,6
1537332504,3,7
1537334438,8,9
1537336351,1,5
1537338281,1,8
1537340212,10,4
1537342374,3,6
1537344268,6,8
1537346074,3,3
1537347883,2,4
1537349793,8,9
1537351734,4,4
