DateTime,AddedIPs,RemovedIPs
1536063438,0,1
1536065313,1,1
1536067262,1,1
1536069178,1,0
1536071078,1,1
1536074919,0,1
1536076915,1,1
1536078770,0,2
1536080709,0,1
1536084530,0,1
1536086452,1,0
1536090538,1,2
1536092488,2,0
1536096453,0,1
1536101309,0,1
1536103479,2,1
1536107300,0,1
1536109257,3,0
1536111159,1,0
1536113084,0,2
1536114993,1,0
1536116918,0,1
1536118818,0,1
1536120741,0,1
1536122667,1,1
1536132255,511,0
1536134190,3,1
1536136085,1,1
1536138025,1,0
1536143770,2,1
1536146190,2,0
1536150346,2,1
1536152210,3,1
1536156094,0,1
1536157960,1,1
1536163786,0,1
1536165623,1,0
1536169888,1,1
1536171893,1,0
1536173818,0,1
1536175712,2,0
1536177694,0,2
1536179547,1,0
1536181469,1,0
1536185573,1,0
1536187471,2,0
1536190325,0,1
1536192269,1,0
1536194214,1,0
1536196378,1,2
1536198303,0,1
1536202140,0,1
1536204038,1,0
1536205995,1,0
1536215615,1,0
1536219387,0,514
1536221353,0,1
1536225186,1,1
1536227075,1,0
1536229025,1,1
1536230914,2,1
1536232859,1,2
1536234762,1,1
1536236714,2,1
1536238627,1,1
1536240532,1,0
1536242543,1,0
1536244367,1,1
1536246303,3,0
1536250396,1,0
1536252286,0,1
1536254225,0,1
1536258037,1,2
1536259981,5,0
1536261891,0,3
1536263794,3,0
1536265728,0,1
1536269577,1,1
1536271472,0,1
1536273407,1,2
1536275311,3,0
1536277550,1,1
1536279418,1,1
1536281312,1,1
1536285173,0,1
1536287084,1,0
1536290912,0,1
1536292895,1,0
1536296669,1,0
1536298626,1,0
1536300549,1,0
1536302434,1,0
1536304354,1,0
1536310113,0,1
1536317789,1,1
1536319724,2,1
1536321710,0,1
1536323581,0,2
1536325520,1,2
1536327399,1,0
1536329335,2,1
1536331228,1,1
1536333169,0,2
1536335064,0,2
1536337269,0,1
1536339182,1,0
1536344924,3,3
1536346889,1,3
1536350716,1,2
1536352597,1,0
1536354536,1,0
1536356428,1,2
1536360270,0,1
1536362166,1,2
1536364105,0,1
1536366047,0,1
1536367944,0,1
1536369862,1,0
1536371804,2,0
1536373715,0,1
1536377552,0,1
1536381382,1,0
1536383335,1,1
1536385248,0,1
1536387170,0,1
1536389061,2,1
1536391247,0,1
1536393182,2,1
1536395072,3,0
1536396982,2,0
1536398927,1,0
1536402780,1,0
1536404675,0,1
1536406586,1,2
1536408536,1,0
1536410436,0,1
1536414267,1,2
1536416224,1,1
1536418115,1,1
1536421971,1,0
1536426096,0,1
1536427967,1,0
1536429913,0,1
1536431791,0,2
1536433741,0,1
1536437556,1,2
1536441410,0,1
1536445243,1,0
1536447154,0,1
1536449127,2,1
1536451012,1,0
1536452906,2,0
1536454896,1,1
1536458674,0,1
1536460587,2,0
1536464448,1,0
1536468263,0,1
1536470216,0,1
1536472116,2,0
1536475952,0,2
1536480091,0,1
1536481968,1,2
1536483875,0,2
1536485793,0,1
1536489634,1,2
1536491556,1,1
1536493480,1,1
1536495419,0,1
1536497303,1,0
1536499246,0,1
1536501148,1,0
1536503065,0,1
1536505004,0,1
1536508890,1,1
1536512704,1,0
1536514837,3,1
1536516739,1,0
1536518678,4,0
1536520603,2,0
1536524427,1,1
1536526591,1,0
1536530905,1,1
1536532855,1,0
1536534891,0,1
1536536943,1,1
1536538839,1,2
1536540753,1,2
1536542662,0,1
1536544586,1,0
1536546768,1,1
1536550825,0,1
1536554669,0,1
1536556845,1,0
1536558769,0,1
1536562873,3,0
1536568601,1,1
