DateTime,AddedIPs,RemovedIPs
1536379540,44,83
1536381381,25,61
1536383335,42,49
1536385248,61,56
1536387169,221,383
1536389060,59,65
1536391247,49,38
1536393181,51,28
1536395071,44,62
1536396982,41,50
1536398927,63,35
1536400900,42,38
1536402779,30,36
1536404674,28,41
1536406586,51,45
1536408536,33,82
1536410435,55,44
1536412372,46,80
1536414266,54,142
1536416223,155,57
1536418104,43,35
1536420062,30,80
1536421971,94,51
1536424129,51,363
1536426096,288,311
1536427967,549,433
1536429912,276,90
1536431791,59,52
1536433741,53,53
1536435658,66,59
1536437555,56,33
1536439469,39,56
1536441410,49,80
1536443312,88,47
1536445243,68,26
1536447153,51,43
1536449126,50,49
1536451012,44,43
1536452905,54,42
1536454895,63,57
1536456773,57,87
1536458673,52,187
1536460587,157,504
1536462535,50,262
1536464447,38,78
1536466351,80,52
1536468262,57,27
1536470216,26,64
1536472115,60,48
1536474048,54,246
1536475952,55,49
1536477871,34,41
1536480090,37,56
1536481967,34,37
1536483874,25,43
1536485792,37,64
1536487717,58,48
1536489634,647,39
1536491556,39,35
1536493479,42,53
1536495419,40,44
1536497303,41,57
1536499245,40,53
1536501147,43,93
1536503065,64,123
1536505003,135,61
1536506905,35,47
1536508890,34,95
1536510756,75,44
1536512704,38,399
1536514837,32,802
1536516738,83,254
1536518677,71,74
1536520603,70,38
1536522524,40,53
1536524426,41,52
1536526590,42,42
1536528976,37,50
1536530905,88,70
1536532854,115,54
1536534891,94,58
1536536942,66,55
1536538838,1372,70
1536540752,2015,46
1536542662,1815,68
1536544586,613,51
1536546767,62,172
1536548797,135,76
1536550825,45,468
1536552743,42,850
1536554669,77,428
1536556845,45,60
1536558769,37,78
1536560668,68,68
1536562872,66,78
1536564751,57,39
1536566689,339,57
1536568600,183,53
1536570514,34,49
1536572421,28,51
1536574344,30,71
1536576284,50,910
1536578198,50,50
1536580107,41,65
1536582044,35,52
1536583941,43,49
1536585890,55,61
1536587786,376,60
1536589703,827,106
1536591679,742,115
1536593551,98,45
1536595478,520,56
1536597392,220,75
1536599326,468,36
1536601227,255,35
1536603174,89,86
1536605072,296,71
1536607008,52,63
1536608908,51,51
1536610820,38,46
1536613908,58,65
1536615876,28,26
1536617776,26,73
1536619946,58,107
1536622146,50,113
1536624103,42,255
1536625958,41,1902
1536627905,44,1937
1536629796,50,1712
1536631725,38,51
1536633676,43,50
1536635561,46,141
1536637470,145,38
1536639412,65,44
1536641337,34,81
1536643262,78,53
1536645173,59,38
1536647196,57,78
1536649005,77,42
1536651178,78,66
1536653079,69,187
1536655267,54,130
1536657163,54,36
1536659105,45,38
1536661033,33,32
1536662946,47,75
1536664868,57,50
1536666775,47,31
1536668695,36,42
1536670616,42,39
1536672514,103,55
1536674502,96,64
1536676357,92,39
1536678353,168,84
1536680442,1617,94
1536682373,119,85
1536684299,268,46
1536686229,308,450
1536688290,281,136
1536690287,218,44
1536692182,63,62
1536694113,82,56
1536696095,66,38
1536698221,92,55
1536700131,171,22
1536702040,700,22
1536703970,48,36
1536705884,55,365
1536707803,51,697
1536709729,65,35
1536711637,61,28
1536713581,32,65
1536715512,58,39
1536717410,46,30
1536719335,39,50
1536721326,65,60
1536723162,556,95
1536725155,101,104
1536727011,102,31
1536728945,56,42
1536730845,79,90
1536732784,100,53
1536734684,262,48
1536736632,60,62
1536738527,80,49
1536740463,56,46
1536742366,744,47
1536744317,1830,49
1536746234,1902,28
1536748132,1218,50
1536750096,39,44
1536751960,25,59
1536753877,58,53
1536755803,52,24
