DateTime,Entries,UniqueIPs
1536379540,9252,9252
1536381381,9216,9216
1536383335,9209,9209
1536385248,9214,9214
1536387169,9052,9052
1536389060,9046,9046
1536391247,9057,9057
1536393181,9080,9080
1536395071,9062,9062
1536396982,9053,9053
1536398927,9081,9081
1536400900,9085,9085
1536402779,9079,9079
1536404674,9066,9066
1536406586,9072,9072
1536408536,9023,9023
1536410435,9034,9034
1536412372,9000,9000
1536414266,8912,8912
1536416223,9010,9010
1536418104,9018,9018
1536420062,8968,8968
1536421971,9011,9011
1536424129,8699,8699
1536426096,8676,8676
1536427967,8792,8792
1536429912,8978,8978
1536431791,8985,8985
1536433741,8985,8985
1536435658,8992,8992
1536437555,9015,9015
1536439469,8998,8998
1536441410,8967,8967
1536443312,9008,9008
1536445243,9050,9050
1536447153,9058,9058
1536449126,9059,9059
1536451012,9060,9060
1536452905,9072,9072
1536454895,9078,9078
1536456773,9048,9048
1536458673,8913,8913
1536460587,8566,8566
1536462535,8354,8354
1536464447,8314,8314
1536466351,8342,8342
1536468262,8372,8372
1536470216,8334,8334
1536472115,8346,8346
1536474048,8154,8154
1536475952,8160,8160
1536477871,8153,8153
1536480090,8134,8134
1536481967,8131,8131
1536483874,8113,8113
1536485792,8086,8086
1536487717,8096,8096
1536489634,8704,8704
1536491556,8708,8708
1536493479,8697,8697
1536495419,8693,8693
1536497303,8677,8677
1536499245,8664,8664
1536501147,8614,8614
1536503065,8555,8555
1536505003,8629,8629
1536506905,8617,8617
1536508890,8556,8556
1536510756,8587,8587
1536512704,8226,8226
1536514837,7456,7456
1536516738,7285,7285
1536518677,7282,7282
1536520603,7314,7314
1536522524,7301,7301
1536524426,7290,7290
1536526590,7290,7290
1536528976,7277,7277
1536530905,7295,7295
1536532854,7356,7356
1536534891,7392,7392
1536536942,7403,7403
1536538838,8705,8705
1536540752,10674,10674
1536542662,12421,12421
1536544586,12983,12983
1536546767,12873,12873
1536548797,12932,12932
1536550825,12509,12509
1536552743,11701,11701
1536554669,11350,11350
1536556845,11335,11335
1536558769,11294,11294
1536560668,11294,11294
1536562872,11282,11282
1536564751,11300,11300
1536566689,11582,11582
1536568600,11712,11712
1536570514,11697,11697
1536572421,11674,11674
1536574344,11633,11633
1536576284,10773,10773
1536578198,10773,10773
1536580107,10749,10749
1536582044,10732,10732
1536583941,10726,10726
1536585890,10720,10720
1536587786,11036,11036
1536589703,11757,11757
1536591679,12384,12384
1536593551,12437,12437
1536595478,12901,12901
1536597392,13046,13046
1536599326,13478,13478
1536601227,13698,13698
1536603174,13701,13701
1536605072,13926,13926
1536607008,13915,13915
1536608908,13915,13915
1536610820,13907,13907
1536613908,13900,13900
1536615876,13902,13902
1536617776,13855,13855
1536619946,13806,13806
1536622146,13743,13743
1536624103,13530,13530
1536625958,11669,11669
1536627905,9776,9776
1536629796,8114,8114
1536631725,8101,8101
1536633676,8094,8094
1536635561,7999,7999
1536637470,8106,8106
1536639412,8127,8127
1536641337,8080,8080
1536643262,8105,8105
1536645173,8126,8126
1536647196,8105,8105
1536649005,8140,8140
1536651178,8152,8152
1536653079,8034,8034
1536655267,7958,7958
1536657163,7976,7976
1536659105,7983,7983
1536661033,7984,7984
1536662946,7956,7956
1536664868,7963,7963
1536666775,7979,7979
1536668695,7973,7973
1536670616,7976,7976
1536672514,8024,8024
1536674502,8056,8056
1536676357,8109,8109
1536678353,8193,8193
1536680442,9716,9716
1536682373,9750,9750
1536684299,9972,9972
1536686229,9830,9830
1536688290,9975,9975
1536690287,10149,10149
1536692182,10150,10150
1536694113,10176,10176
1536696095,10204,10204
1536698221,10241,10241
1536700131,10390,10390
1536702040,11068,11068
1536703970,11080,11080
1536705884,10770,10770
1536707803,10124,10124
1536709729,10154,10154
1536711637,10187,10187
1536713581,10154,10154
1536715512,10173,10173
1536717410,10189,10189
1536719335,10178,10178
1536721326,10183,10183
1536723162,10644,10644
1536725155,10641,10641
1536727011,10712,10712
1536728945,10726,10726
1536730845,10715,10715
1536732784,10762,10762
1536734684,10976,10976
1536736632,10974,10974
1536738527,11005,11005
1536740463,11015,11015
1536742366,11712,11712
1536744317,13493,13493
1536746234,15367,15367
1536748132,16535,16535
1536750096,16530,16530
1536751960,16496,16496
1536753877,16501,16501
1536755803,16529,16529
1536757723,16498,16498
1536759630,16480,16480
1536761561,16442,16442
1536763498,16368,16368
1536765382,16360,16360
1536767315,16328,16328
1536769258,16327,16327
1536771169,16025,16025
1536773086,15781,15781
1536774988,15567,15567
1536776929,15448,15448
1536778900,15445,15445
1536780767,15415,15415
1536782687,15422,15422
1536784582,15419,15419
1536786535,15300,15300
1536788442,14737,14737
1536790351,14736,14736
1536792262,14711,14711
1536794246,14686,14686
1536796102,14654,14654
1536798051,14642,14642
1536799969,14645,14645
1536801901,14621,14621
1536803790,14624,14624
1536805712,14622,14622
1536807698,14803,14803
1536809570,14221,14221
1536811476,14171,14171
1536813413,14102,14102
1536815338,13809,13809
1536817249,13332,13332
1536819174,13110,13110
1536821096,12434,12434
1536823251,12423,12423
1536825168,12377,12377
1536827103,12396,12396
1536829012,11420,11420
1536831152,9380,9380
1536833059,7529,7529
1536834983,6591,6591
1536836918,6629,6629
1536839084,6626,6626
1536841030,6629,6629
1536842913,6651,6651
1536844837,6659,6659
1536846786,6654,6654
1536848675,6631,6631
1536850593,6683,6683
1536852508,5415,5415
1536854492,4914,4914
1536856365,4818,4818
1536858332,4872,4872
1536860213,4875,4875
1536862117,4848,4848
1536864031,4851,4851
1536865960,4902,4902
1536867892,4894,4894
1536869805,4856,4856
1536871974,4999,4999
1536873869,4990,4990
1536875804,4994,4994
1536877711,4982,4982
1536879708,4976,4976
1536881546,4981,4981
1536883504,4953,4953
1536885429,4954,4954
1536887346,4949,4949
1536889258,4947,4947
1536891165,4961,4961
1536893066,4947,4947
1536895038,4689,4689
1536896910,4696,4696
1536898866,4306,4306
1536900755,4067,4067
1536902694,4180,4180
1536904604,4195,4195
1536906537,4168,4168
1536908495,4198,4198
1536910631,4227,4227
1536912562,4193,4193
1536914479,4226,4226
1536916371,4224,4224
1536918293,4319,4319
1536920236,4450,4450
1536922110,4519,4519
1536924080,4571,4571
1536925962,4944,4944
1536928139,4950,4950
1536930104,4948,4948
1536931976,4972,4972
1536933882,4928,4928
1536935784,4896,4896
1536937752,4850,4850
1536939903,4840,4840
1536941813,4842,4842
1536943728,4824,4824
1536945653,4826,4826
1536947574,4966,4966
1536949486,5001,5001
1536951404,4969,4969
1536953341,5006,5006
1536955289,5040,5040
1536957169,4943,4943
1536959101,4982,4982
1536961027,4995,4995
1536962934,5008,5008
1536964879,5008,5008
1536967033,5018,5018
1536968907,5021,5021
1536970859,5014,5014
1536972775,4989,4989
1536974700,5024,5024
1536976582,5035,5035
1536978510,5014,5014
1536980516,5033,5033
1536982388,5212,5212
1536984343,5314,5314
1536986194,5311,5311
1536988139,5277,5277
1536990064,5279,5279
1536992225,5325,5325
1536994364,5325,5325
1536996524,5262,5262
1536998505,5316,5316
1537000374,5307,5307
1537002294,5269,5269
1537004226,5277,5277
1537006134,5233,5233
1537008058,5233,5233
1537009967,5235,5235
1537011887,5553,5553
1537013850,6296,6296
1537015983,6291,6291
1537017887,6275,6275
1537019821,6273,6273
1537021718,6270,6270
1537023703,6276,6276
1537025567,6263,6263
1537027557,6257,6257
1537029650,6231,6231
1537031597,6241,6241
1537033479,6151,6151
1537035436,6245,6245
1537037306,6273,6273
1537039264,6223,6223
1537041178,6234,6234
1537043091,6237,6237
1537044988,6213,6213
1537046949,6202,6202
1537048948,6221,6221
1537050784,6218,6218
1537052688,6205,6205
1537054636,6211,6211
1537056548,6203,6203
1537058458,6213,6213
1537060359,6192,6192
1537062296,6229,6229
1537064207,6281,6281
1537066125,6316,6316
1537068053,5951,5951
1537069957,5829,5829
1537071894,5845,5845
1537073786,5809,5809
1537075749,5796,5796
1537077701,5720,5720
1537079577,5792,5792
1537081533,5818,5818
1537083532,5777,5777
1537085350,5780,5780
1537087248,5792,5792
1537089171,5763,5763
1537091359,5777,5777
1537093265,5794,5794
1537095156,5806,5806
1537097099,5806,5806
1537098999,4969,4969
1537100940,4381,4381
1537102892,4894,4894
1537104792,4875,4875
1537106715,4926,4926
1537108635,4928,4928
1537110550,4936,4936
1537112460,4936,4936
1537114410,4921,4921
1537116289,5856,5856
1537118216,5841,5841
1537120360,5826,5826
1537122263,5740,5740
1537124520,5821,5821
1537126362,5833,5833
1537128335,5797,5797
1537130194,5867,5867
1537132131,5861,5861
1537134034,5822,5822
1537136216,5852,5852
1537138145,5855,5855
1537140049,5860,5860
1537142199,5891,5891
1537144117,7645,7645
1537146102,9577,9577
1537147960,11420,11420
1537149885,11698,11698
1537151834,11706,11706
1537153967,11714,11714
1537155918,11690,11690
1537157804,11688,11688
1537159738,11690,11690
1537161649,11670,11670
1537163588,11649,11649
1537165486,11605,11605
1537167412,11612,11612
1537169313,11667,11667
1537171299,11671,11671
1537173175,11632,11632
1537175102,11653,11653
1537177003,11636,11636
1537178943,11587,11587
1537180863,11583,11583
1537182778,11578,11578
1537184682,11581,11581
1537186628,11565,11565
1537188548,11091,11091
1537190463,11076,11076
1537192367,11025,11025
1537194555,10955,10955
1537196696,10919,10919
1537198606,10858,10858
1537200572,10839,10839
1537202566,9934,9934
1537204849,9946,9946
1537206763,9923,9923
1537208659,9893,9893
1537210603,9793,9793
1537212549,9870,9870
1537214509,9903,9903
1537216371,9669,9669
1537218274,9661,9661
1537220226,9698,9698
1537222131,9691,9691
1537224292,9647,9647
1537226218,9643,9643
1537228137,9644,9644
1537230588,7770,7770
1537232474,5843,5843
1537234354,4913,4913
1537236284,4937,4937
1537238179,5130,5130
1537240131,5111,5111
1537242052,5124,5124
1537243949,5129,5129
1537245862,5146,5146
1537247808,5139,5139
1537249697,5143,5143
1537251636,5118,5118
1537253564,5084,5084
1537255479,5042,5042
1537257401,5116,5116
1537259320,5142,5142
1537261304,5113,5113
1537263173,8002,8002
1537265131,11719,11719
1537266978,15408,15408
1537268941,18193,18193
1537271086,18171,18171
1537273013,18182,18182
1537275162,18217,18217
1537277076,18228,18228
1537279008,18447,18447
1537281159,18824,18824
1537283062,18864,18864
1537285257,19251,19251
1537287932,19496,19496
1537290137,19493,19493
1537291980,19506,19506
1537293922,19510,19510
1537295792,19512,19512
1537297727,19508,19508
1537299624,19436,19436
1537301569,19528,19528
1537303495,19557,19557
1537305391,19524,19524
1537307314,19588,19588
1537309254,19600,19600
1537311169,19581,19581
1537313090,19604,19604
1537314992,19611,19611
1537317170,19646,19646
1537319077,19630,19630
1537320983,18991,18991
1537322927,18868,18868
1537324856,19403,19403
1537326751,19388,19388
1537328668,19398,19398
1537330610,19378,19378
1537332506,19385,19385
1537334440,19536,19536
1537336353,19634,19634
1537338284,19811,19811
1537340214,20052,20052
1537342376,20037,20037
1537344270,20100,20100
1537346076,20146,20146
1537347885,20165,20165
1537349795,17001,17001
1537351736,13591,13591
