DateTime,Entries,UniqueIPs
1536379542,1669,1669
1536381382,1668,1668
1536383335,1673,1673
1536385248,1670,1670
1536387170,1696,1696
1536389061,1709,1709
1536391248,1704,1704
1536393183,1716,1716
1536395072,1710,1710
1536396983,1714,1714
1536398928,1724,1724
1536400902,1723,1723
1536402780,1721,1721
1536404675,1722,1722
1536406587,1715,1715
1536408537,1714,1714
1536410436,1717,1717
1536412373,1719,1719
1536414267,1726,1726
1536416224,1737,1737
1536418115,1732,1732
1536420063,1726,1726
1536421972,1732,1732
1536424129,1732,1732
1536426097,1748,1748
1536427967,1752,1752
1536429913,1736,1736
1536431792,1721,1721
1536433741,1740,1740
1536435659,1730,1730
1536437556,1730,1730
1536439470,1725,1725
1536441411,1719,1719
1536443313,1725,1725
1536445244,1721,1721
1536447154,1705,1705
1536449127,1701,1701
1536451013,1690,1690
1536452906,1685,1685
1536454897,1691,1691
1536456774,1681,1681
1536458674,1682,1682
1536460587,1667,1667
1536462535,1664,1664
1536464448,1653,1653
1536466352,1642,1642
1536468263,1643,1643
1536470216,1637,1637
1536472116,1645,1645
1536474049,1620,1620
1536475952,1626,1626
1536477872,1607,1607
1536480091,1592,1592
1536481968,1591,1591
1536483875,1572,1572
1536485793,1563,1563
1536487717,1552,1552
1536489635,1549,1549
1536491557,1533,1533
1536493480,1528,1528
1536495420,1518,1518
1536497304,1515,1515
1536499247,1492,1492
1536501148,1465,1465
1536503066,1453,1453
1536505004,1455,1455
1536506906,1442,1442
1536508891,1428,1428
1536510757,1421,1421
1536512704,1374,1374
1536514837,1358,1358
1536516739,1367,1367
1536518678,1374,1374
1536520604,1367,1367
1536522525,1337,1337
1536524427,1331,1331
1536526591,1314,1314
1536528977,1302,1302
1536530906,1300,1300
1536532855,1285,1285
1536534892,1273,1273
1536536943,1251,1251
1536538839,1248,1248
1536540753,1229,1229
1536542663,1209,1209
1536544587,1192,1192
1536546768,1177,1177
1536548798,1174,1174
1536550826,1163,1163
1536552744,1156,1156
1536554670,1146,1146
1536556846,1127,1127
1536558770,1123,1123
1536560669,1118,1118
1536562873,1109,1109
1536564752,1120,1120
1536566690,1103,1103
1536568601,1089,1089
1536570515,1077,1077
1536572422,1067,1067
1536574345,1053,1053
1536576285,1033,1033
1536578199,1024,1024
1536580108,1011,1011
1536582045,1010,1010
1536583942,1000,1000
1536585891,998,998
1536587787,991,991
1536589704,980,980
1536591681,976,976
1536593552,960,960
1536595479,948,948
1536597393,935,935
1536599335,917,917
1536601228,903,903
1536603176,883,883
1536605073,849,849
1536607009,830,830
1536608908,816,816
1536610821,803,803
1536613909,789,789
1536615877,783,783
1536617777,770,770
1536619947,758,758
1536622147,747,747
1536624104,742,742
1536625959,737,737
1536627914,733,733
1536629797,740,740
1536631726,737,737
1536633677,728,728
1536635562,726,726
1536637470,728,728
1536639413,710,710
1536641338,702,702
1536643263,696,696
1536645174,696,696
1536647197,694,694
1536649007,696,696
1536651179,677,677
1536653080,686,686
1536655268,681,681
1536657164,680,680
1536659107,681,681
1536661034,687,687
1536662947,689,689
1536664869,688,688
1536666776,689,689
1536668696,673,673
1536670617,669,669
1536672515,659,659
1536674511,657,657
1536676358,644,644
1536678355,744,744
1536680443,2642,2642
1536682374,2643,2643
1536684300,2660,2660
1536686230,2671,2671
1536688291,2694,2694
1536690288,2721,2721
1536692183,2735,2735
1536694114,2749,2749
1536696096,2753,2753
1536698222,2798,2798
1536700132,2813,2813
1536702040,2828,2828
1536703970,2839,2839
1536705885,2861,2861
1536707804,2885,2885
1536709730,2899,2899
1536711638,2909,2909
1536713582,2922,2922
1536715513,2938,2938
1536717411,2951,2951
1536719337,2970,2970
1536721326,2980,2980
1536723163,2989,2989
1536725156,3007,3007
1536727012,3016,3016
1536728946,3041,3041
1536730845,3040,3040
1536732785,3044,3044
1536734685,3048,3048
1536736633,3052,3052
1536738528,3064,3064
1536740463,3076,3076
1536742367,3089,3089
1536744318,3085,3085
1536746235,3095,3095
1536748133,3093,3093
1536750098,3102,3102
1536751961,3102,3102
1536753878,3115,3115
1536755803,3132,3132
1536757724,3132,3132
1536759631,3139,3139
1536761562,3138,3138
1536763500,3143,3143
1536765390,3159,3159
1536767316,3155,3155
1536769259,3161,3161
1536771172,3137,3137
1536773088,3135,3135
1536774989,3121,3121
1536776930,3093,3093
1536778901,3084,3084
1536780768,3083,3083
1536782688,3082,3082
1536784583,3072,3072
1536786536,3075,3075
1536788443,3070,3070
1536790352,3066,3066
1536792263,3061,3061
1536794247,3048,3048
1536796103,3045,3045
1536798052,3042,3042
1536799970,3043,3043
1536801902,3033,3033
1536803791,3034,3034
1536805713,3022,3022
1536807701,3021,3021
1536809571,3015,3015
1536811477,3008,3008
1536813414,3000,3000
1536815339,2994,2994
1536817250,2994,2994
1536819175,2995,2995
1536821097,2985,2985
1536823252,2980,2980
1536825169,2973,2973
1536827104,2970,2970
1536829013,2958,2958
1536831153,2967,2967
1536833060,2954,2954
1536834984,2950,2950
1536836919,2943,2943
1536839085,2948,2948
1536841031,2918,2918
1536842914,2921,2921
1536844838,2915,2915
1536846787,2914,2914
1536848676,2914,2914
1536850594,2940,2940
1536852509,1564,1564
1536854493,1023,1023
1536856366,1016,1016
1536858335,1014,1014
1536860214,1005,1005
1536862118,1007,1007
