DateTime,Entries,UniqueIPs
1536379542,506,506
1536381383,503,503
1536383336,506,506
1536385249,513,513
1536387171,484,484
1536389062,477,477
1536391252,456,456
1536393183,443,443
1536395073,454,454
1536396983,458,458
1536398928,457,457
1536400905,465,465
1536402781,471,471
1536404676,466,466
1536406587,468,468
1536408537,474,474
1536410437,476,476
1536412373,473,473
1536414268,465,465
1536416225,472,472
1536418116,475,475
1536420064,476,476
1536421972,476,476
1536424130,464,464
1536426099,465,465
1536427968,463,463
1536429914,465,465
1536431792,465,465
1536433742,458,458
1536435660,460,460
1536437557,458,458
1536439471,466,466
1536441411,462,462
1536443315,465,465
1536445244,454,454
1536447155,451,451
1536449128,451,451
1536451013,448,448
1536452907,446,446
1536454897,449,449
1536456775,452,452
1536458675,445,445
1536460588,448,448
1536462536,452,452
1536464449,454,454
1536466352,447,447
1536468264,442,442
1536470221,443,443
1536472117,435,435
1536474053,427,427
1536475953,427,427
1536477872,427,427
1536480092,416,416
1536481969,409,409
1536483876,416,416
1536485794,433,433
1536487718,453,453
1536489635,457,457
1536491557,458,458
1536493480,459,459
1536495420,458,458
1536497304,456,456
1536499248,462,462
1536501149,463,463
1536503066,454,454
1536505005,453,453
1536506907,452,452
1536508891,454,454
1536510757,451,451
1536512705,445,445
1536514838,446,446
1536516740,459,459
1536518679,463,463
1536520605,460,460
1536522526,455,455
1536524428,453,453
1536526592,450,450
1536528978,449,449
1536530906,444,444
1536532856,440,440
1536534892,435,435
1536536944,433,433
1536538840,422,422
1536540754,411,411
1536542663,410,410
1536544587,402,402
1536546769,392,392
1536548802,388,388
1536550826,386,386
1536552745,380,380
1536554670,378,378
1536556846,371,371
1536558770,377,377
1536560670,377,377
1536562874,366,366
1536564753,364,364
1536566690,357,357
1536568602,344,344
1536570516,333,333
1536572423,313,313
1536574346,281,281
1536576286,278,278
1536578200,272,272
1536580108,261,261
1536582046,252,252
1536583943,247,247
1536585892,238,238
1536587788,232,232
1536589705,230,230
1536591682,219,219
1536593553,219,219
1536595481,211,211
1536597394,206,206
1536599336,202,202
1536601232,196,196
1536603177,186,186
1536605073,174,174
1536607009,172,172
1536608909,170,170
1536610822,168,168
1536613909,165,165
1536615877,162,162
1536617778,157,157
1536619948,154,154
1536622148,154,154
1536624105,150,150
1536625959,148,148
1536627914,144,144
1536629797,146,146
1536631727,143,143
1536633678,145,145
1536635563,142,142
1536637471,145,145
1536639421,145,145
1536641339,142,142
1536643264,143,143
1536645174,138,138
1536647198,134,134
1536649007,134,134
1536651180,128,128
1536653081,126,126
1536655269,126,126
1536657165,129,129
1536659108,128,128
1536661035,128,128
1536662947,125,125
1536664870,123,123
1536666777,123,123
1536668697,124,124
1536670618,119,119
1536672516,119,119
1536674513,121,121
1536676358,121,121
1536678356,120,120
1536680444,118,118
1536682374,123,123
1536684300,124,124
1536686231,126,126
1536688291,153,153
1536690289,156,156
1536692184,161,161
1536694115,167,167
1536696096,174,174
1536698223,183,183
1536700133,192,192
1536702041,201,201
1536703971,200,200
1536705886,208,208
1536707804,220,220
1536709730,227,227
1536711638,230,230
1536713583,237,237
1536715514,245,245
1536717411,257,257
1536719339,260,260
1536721327,259,259
1536723164,265,265
1536725157,288,288
1536727013,307,307
1536728947,315,315
1536730846,320,320
1536732786,326,326
1536734685,326,326
1536736633,334,334
1536738529,339,339
1536740464,343,343
1536742368,345,345
1536744319,352,352
1536746236,358,358
1536748133,363,363
1536750099,369,369
1536751962,372,372
1536753879,372,372
1536755804,382,382
1536757725,386,386
1536759631,391,391
1536761563,393,393
1536763501,400,400
1536765391,405,405
1536767316,405,405
1536769260,405,405
1536771173,410,410
1536773088,410,410
1536774990,388,388
1536776931,387,387
1536778901,386,386
1536780769,388,388
1536782689,387,387
1536784583,391,391
1536786536,387,387
1536788444,382,382
1536790353,381,381
1536792264,375,375
1536794248,368,368
1536796104,369,369
1536798052,368,368
1536799970,364,364
1536801903,359,359
1536803792,357,357
1536805713,358,358
1536807702,358,358
1536809572,358,358
1536811478,336,336
1536813415,317,317
1536815340,312,312
1536817251,307,307
1536819176,302,302
1536821097,299,299
1536823257,300,300
1536825170,304,304
1536827105,300,300
1536829013,299,299
1536831154,294,294
1536833061,291,291
1536834984,290,290
1536836920,284,284
1536839086,292,292
1536841032,294,294
