DateTime,AddedIPs,RemovedIPs
1536190327,1,6
1536192271,1,1
1536194216,0,2
1536196380,0,2
1536198305,1,1
1536200217,1,1
1536204046,2,0
1536205997,0,2
1536209815,0,1
1536211716,0,1
1536221355,0,2
1536223229,1,1
1536225188,0,2
1536227077,0,1
1536229027,2,0
1536230916,1,1
1536232861,2,0
1536234764,1,0
1536236716,0,3
1536240539,0,1
1536242545,1,1
1536244368,0,1
1536246304,2,1
1536248243,3,2
1536250398,1,5
1536252288,2,4
1536254227,0,1
1536256129,2,0
1536258039,0,1
1536259983,0,1
1536261893,2,1
1536263796,0,4
1536265730,1,0
1536267707,2,1
1536269579,0,2
1536271474,1,2
1536273409,6,0
1536275313,1,1
1536279421,0,1
1536281313,1,1
1536285174,1,2
1536287086,3,1
1536289012,2,0
1536290913,2,1
1536294772,1,1
1536296691,0,1
1536302439,0,1
1536308222,0,1
1536310115,1,0
1536313972,1,1
1536315895,0,3
1536317791,1,1
1536319725,0,1
1536321711,0,2
1536323585,3,0
1536325522,0,1
1536327401,0,1
1536329337,1,1
1536331230,2,0
1536333171,1,1
1536335066,1,0
1536337270,2,2
1536339184,2,0
1536341096,4,1
1536343012,2,0
1536344926,1,0
1536346892,0,1
1536348778,3,0
1536350718,1,1
1536352599,1,2
1536354538,0,3
1536356430,3,1
1536358378,4,1
1536360272,1,0
1536367946,1,0
1536369864,1,1
1536371806,0,2
1536373716,2,3
1536375701,1,6
1536377553,0,1
1536385250,1,0
1536393184,1,0
1536396984,1,1
1536400906,2,1
1536404676,1,0
1536406588,0,1
1536408538,0,1
1536410438,1,1
1536414269,1,1
1536416226,0,4
1536418117,0,4
1536420065,3,0
1536421973,0,1
1536424131,2,1
1536426099,0,3
1536427969,2,2
1536429915,1,0
1536431793,1,1
1536433743,1,3
1536437557,4,0
1536439471,0,2
1536441412,0,1
1536443315,2,2
1536445245,0,2
1536447155,1,1
1536449129,1,0
1536451014,2,0
1536452908,3,0
1536454898,1,1
1536456776,1,0
1536458675,1,1
1536462537,1,2
1536466360,3,0
1536470221,1,1
1536472117,0,1
1536474053,2,0
1536475953,1,0
1536477873,1,0
1536481970,2,0
1536483877,3,1
1536485794,1,1
1536487719,2,2
1536491558,1,2
1536493481,0,1
1536495421,1,0
1536497305,2,0
1536499249,0,2
1536505005,1,0
1536506907,1,4
1536508892,2,1
1536510758,0,1
1536516741,1,0
1536518679,2,2
1536520606,1,1
1536522526,1,1
1536524428,1,2
1536526593,2,1
1536528979,2,2
1536530907,2,1
1536532857,2,1
1536534893,1,2
1536536944,1,1
1536538840,2,2
1536540755,1,1
1536542664,1,1
1536544588,2,0
1536548803,1,1
1536550827,1,0
1536552745,2,1
1536554678,0,3
1536556847,1,1
1536558771,0,1
1536560671,1,2
1536564754,0,1
1536568602,0,1
1536570517,3,2
1536572424,1,1
1536574347,1,1
1536578200,2,2
1536580109,0,1
1536582047,1,1
1536583943,0,2
1536585892,1,0
1536587789,2,0
1536589705,1,0
1536591683,2,0
1536593553,3,0
1536595481,0,1
1536597395,0,1
1536599337,3,0
1536601233,0,3
1536603178,5,2
1536605074,4,1
1536607010,1,1
1536608910,0,1
1536610822,1,1
1536613910,1,2
1536615878,1,2
1536617778,1,2
1536619949,2,0
1536622148,0,1
1536624105,1,1
1536627915,1,2
1536629806,4,2
1536631727,2,3
1536633679,0,1
1536635563,1,2
1536637472,0,1
1536639422,3,1
1536641340,1,1
1536643264,0,1
1536647199,0,1
1536649008,3,1
1536651181,2,0
1536653082,1,0
1536657165,2,1
1536659109,1,1
1536661036,2,2
1536662948,1,1
1536664870,1,4
1536666778,1,0
1536668697,2,0
1536674514,1,1
1536678356,0,1
1536680445,1,1
1536684301,0,1
1536686232,3,1
1536688294,1,0
1536690289,2,2
1536694116,2,0
1536696097,1,1
1536698223,1,3
1536700133,2,0
1536702042,0,1
1536707805,1,2
1536709731,2,0
1536713583,2,2
1536715515,0,3
1536717412,0,1
1536719339,2,1
1536723164,1,1
1536725158,0,1
1536727013,0,2
1536728947,1,0
1536730847,1,0
1536732786,1,1
1536738530,0,2
1536740465,0,1
1536742369,0,2
1536744320,1,2
1536746236,1,2
1536748134,0,1
1536750100,1,1
1536751963,1,1
1536753879,2,2
1536757726,1,0
1536759632,1,2
1536761564,1,0
1536763502,0,1
1536765391,1,0
1536767317,1,0
1536769261,1,1
1536773089,2,1
1536774990,2,1
1536776932,1,1
1536780770,0,4
1536782689,2,2
1536784584,1,3
1536786537,2,3
1536788444,2,0
1536792264,3,2
1536794249,2,1
1536796104,0,2
1536798053,1,0
1536799971,2,2
1536801903,1,0
1536803792,2,0
1536805714,1,2
1536807703,2,0
1536809572,0,1
1536811479,1,0
1536813415,1,1
1536815341,1,1
1536817251,0,1
1536819176,1,1
1536821098,2,0
1536823257,2,0
1536825170,0,2
1536827106,2,0
1536831155,0,2
1536833062,0,1
1536836920,0,1
1536839086,3,1
1536841033,1,0
1536842915,1,0
1536844839,1,2
1536846792,3,2
1536848677,6,1
1536852510,3,1
1536854495,2,0
1536860216,2,4
1536862119,2,2
1536865962,2,0
1536869807,1,1
1536871979,1,0
1536873872,1,0
1536875806,3,1
1536877713,1,1
1536879712,2,2
1536881555,2,0
1536883513,1,0
1536885431,0,1
1536887348,6,1
1536889261,2,1
1536891167,0,1
1536893068,1,0
1536895040,0,1
1536896912,1,2
1536900757,2,1
1536902696,1,0
1536904607,2,0
1536906540,0,2
1536908497,2,2
1536910633,1,0
1536912564,1,0
1536914485,1,2
1536916374,1,2
1536918297,2,0
1536920239,0,1
1536922112,0,1
1536924082,1,2
1536928141,1,1
1536930106,1,1
1536931978,0,2
1536933884,1,5
1536935786,0,3
1536937755,0,2
1536939906,1,1
1536941822,0,2
1536943730,2,0
1536947577,0,2
1536949488,1,0
1536953343,1,2
1536957171,0,2
1536959137,1,2
1536961029,2,2
1536962937,0,2
1536964882,3,2
1536967037,4,3
1536968910,1,1
1536970865,1,1
1536972777,1,1
1536974702,2,6
1536976584,0,1
