DateTime,Entries,UniqueIPs
1536190327,82,82
1536192271,82,82
1536194216,80,80
1536196380,78,78
1536198305,78,78
1536200217,78,78
1536204046,80,80
1536205997,78,78
1536209815,77,77
1536211716,76,76
1536221355,74,74
1536223229,74,74
1536225188,72,72
1536227077,71,71
1536229027,73,73
1536230916,73,73
1536232861,75,75
1536234764,76,76
1536236716,73,73
1536240539,72,72
1536242545,72,72
1536244368,71,71
1536246304,72,72
1536248243,73,73
1536250398,69,69
1536252288,67,67
1536254227,66,66
1536256129,68,68
1536258039,67,67
1536259983,66,66
1536261893,67,67
1536263796,63,63
1536265730,64,64
1536267707,65,65
1536269579,63,63
1536271474,62,62
1536273409,68,68
1536275313,68,68
1536279421,67,67
1536281313,67,67
1536285174,66,66
1536287086,68,68
1536289012,70,70
1536290913,71,71
1536294772,71,71
1536296691,70,70
1536302439,69,69
1536308222,68,68
1536310115,69,69
1536313972,69,69
1536315895,66,66
1536317791,66,66
1536319725,65,65
1536321711,63,63
1536323585,66,66
1536325522,65,65
1536327401,64,64
1536329337,64,64
1536331230,66,66
1536333171,66,66
1536335066,67,67
1536337270,67,67
1536339184,69,69
1536341096,72,72
1536343012,74,74
1536344926,75,75
1536346892,74,74
1536348778,77,77
1536350718,77,77
1536352599,76,76
1536354538,73,73
1536356430,75,75
1536358378,78,78
1536360272,79,79
1536367946,80,80
1536369864,80,80
1536371806,78,78
1536373716,77,77
1536375701,72,72
1536377553,71,71
1536385250,72,72
1536393184,73,73
1536396984,73,73
1536400906,74,74
1536404676,75,75
1536406588,74,74
1536408538,73,73
1536410438,73,73
1536414269,73,73
1536416226,69,69
1536418117,65,65
1536420065,68,68
1536421973,67,67
1536424131,68,68
1536426099,65,65
1536427969,65,65
1536429915,66,66
1536431793,66,66
1536433743,64,64
1536437557,68,68
1536439471,66,66
1536441412,65,65
1536443315,65,65
1536445245,63,63
1536447155,63,63
1536449129,64,64
1536451014,66,66
1536452908,69,69
1536454898,69,69
1536456776,70,70
1536458675,70,70
1536462537,69,69
1536466360,72,72
1536470221,72,72
1536472117,71,71
1536474053,73,73
1536475953,74,74
1536477873,75,75
1536481970,77,77
1536483877,79,79
1536485794,79,79
1536487719,79,79
1536491558,78,78
1536493481,77,77
1536495421,78,78
1536497305,80,80
1536499249,78,78
1536505005,79,79
1536506907,76,76
1536508892,77,77
1536510758,76,76
1536516741,77,77
1536518679,77,77
1536520606,77,77
1536522526,77,77
1536524428,76,76
1536526593,77,77
1536528979,77,77
1536530907,78,78
1536532857,79,79
1536534893,78,78
1536536944,78,78
1536538840,78,78
1536540755,78,78
1536542664,78,78
1536544588,80,80
1536548803,80,80
1536550827,81,81
1536552745,82,82
1536554678,79,79
1536556847,79,79
1536558771,78,78
1536560671,77,77
1536564754,76,76
1536568602,75,75
1536570517,76,76
1536572424,76,76
1536574347,76,76
1536578200,76,76
1536580109,75,75
1536582047,75,75
1536583943,73,73
1536585892,74,74
1536587789,76,76
1536589705,77,77
1536591683,79,79
1536593553,82,82
1536595481,81,81
1536597395,80,80
1536599337,83,83
1536601233,80,80
1536603178,83,83
1536605074,86,86
1536607010,86,86
1536608910,85,85
1536610822,85,85
1536613910,84,84
1536615878,83,83
1536617778,82,82
1536619949,84,84
1536622148,83,83
1536624105,83,83
1536627915,82,82
1536629806,84,84
1536631727,83,83
1536633679,82,82
1536635563,81,81
1536637472,80,80
1536639422,82,82
1536641340,82,82
1536643264,81,81
1536647199,80,80
1536649008,82,82
1536651181,84,84
1536653082,85,85
1536657165,86,86
1536659109,86,86
1536661036,86,86
1536662948,86,86
1536664870,83,83
1536666778,84,84
1536668697,86,86
1536674514,86,86
1536678356,85,85
1536680445,85,85
1536684301,84,84
1536686232,86,86
1536688294,87,87
1536690289,87,87
1536694116,89,89
1536696097,89,89
1536698223,87,87
1536700133,89,89
1536702042,88,88
1536707805,87,87
1536709731,89,89
1536713583,89,89
1536715515,86,86
1536717412,85,85
1536719339,86,86
1536723164,86,86
1536725158,85,85
1536727013,83,83
1536728947,84,84
1536730847,85,85
1536732786,85,85
1536738530,83,83
1536740465,82,82
1536742369,80,80
1536744320,79,79
1536746236,78,78
1536748134,77,77
1536750100,77,77
1536751963,77,77
1536753879,77,77
1536757726,78,78
1536759632,77,77
1536761564,78,78
1536763502,77,77
1536765391,78,78
1536767317,79,79
1536769261,79,79
1536773089,80,80
1536774990,81,81
1536776932,81,81
1536780770,77,77
1536782689,77,77
1536784584,75,75
1536786537,74,74
1536788444,76,76
1536792264,77,77
1536794249,78,78
1536796104,76,76
1536798053,77,77
1536799971,77,77
1536801903,78,78
1536803792,80,80
1536805714,79,79
1536807703,81,81
1536809572,80,80
1536811479,81,81
1536813415,81,81
1536815341,81,81
1536817251,80,80
1536819176,80,80
1536821098,82,82
1536823257,84,84
1536825170,82,82
1536827106,84,84
1536831155,82,82
1536833062,81,81
1536836920,80,80
1536839086,82,82
1536841033,83,83
1536842915,84,84
1536844839,83,83
1536846792,84,84
1536848677,89,89
1536852510,91,91
1536854495,93,93
