DateTime,Entries,UniqueIPs
1536379543,493,493
1536381384,473,473
1536383337,462,462
1536385250,458,458
1536387172,453,453
1536389063,447,447
1536391253,441,441
1536393184,429,429
1536395074,426,426
1536396985,421,421
1536398930,412,412
1536400907,401,401
1536402782,391,391
1536404677,392,392
1536406588,391,391
1536408539,393,393
1536410438,394,394
1536412382,392,392
1536414269,391,391
1536416227,406,406
1536418117,413,413
1536420065,412,412
1536421974,404,404
1536424138,404,404
1536426100,388,388
1536427969,373,373
1536429916,356,356
1536431794,358,358
1536433744,361,361
1536435661,379,379
1536437558,401,401
1536439472,409,409
1536441413,410,410
1536443316,409,409
1536445245,414,414
1536447156,432,432
1536449129,466,466
1536451015,461,461
1536452908,446,446
1536454898,440,440
1536456776,428,428
1536458676,419,419
1536460589,413,413
1536462537,412,412
1536464450,413,413
1536466361,418,418
1536468265,419,419
1536470222,415,415
1536472118,424,424
1536474054,428,428
1536475954,427,427
1536477874,427,427
1536480093,424,424
1536481971,423,423
1536483877,416,416
1536485795,422,422
1536487719,427,427
1536489637,424,424
1536491559,420,420
1536493482,436,436
1536495421,440,440
1536497306,454,454
1536499250,462,462
1536501150,464,464
1536503068,460,460
1536505006,468,468
1536506908,469,469
1536508893,465,465
1536510759,470,470
1536512707,471,471
1536514839,478,478
1536516741,503,503
1536518680,526,526
1536520607,533,533
1536522527,529,529
1536524429,535,535
1536526593,547,547
1536528979,570,570
1536530907,585,585
1536532857,598,598
1536534901,589,589
1536536945,604,604
1536538841,622,622
1536540755,633,633
1536542665,648,648
1536544589,647,647
1536546777,646,646
1536548804,643,643
1536550828,651,651
1536552746,661,661
1536554679,666,666
1536556848,666,666
1536558772,661,661
1536560672,653,653
1536562875,654,654
1536564754,654,654
1536566692,653,653
1536568603,653,653
1536570517,653,653
1536572424,649,649
1536574347,646,646
1536576287,648,648
1536578201,648,648
1536580110,645,645
1536582048,653,653
1536583944,643,643
1536585893,641,641
1536587789,644,644
1536589706,645,645
1536591683,646,646
1536593554,649,649
1536595482,647,647
1536597395,643,643
1536599337,647,647
1536601234,644,644
1536603179,614,614
1536605074,599,599
1536607011,583,583
1536608910,565,565
1536610823,541,541
1536613911,506,506
1536615879,488,488
1536617779,460,460
1536619950,441,441
1536622149,409,409
1536624106,388,388
1536625960,374,374
1536627917,362,362
1536629806,348,348
1536631728,365,365
1536633679,379,379
1536635564,382,382
1536637472,376,376
1536639422,373,373
1536641340,369,369
1536643265,366,366
1536645175,366,366
1536647199,365,365
1536649009,371,371
1536651181,396,396
1536653082,421,421
1536655270,429,429
1536657166,438,438
1536659110,445,445
1536661036,450,450
1536662949,465,465
1536664871,472,472
1536666778,473,473
1536668698,455,455
1536670619,459,459
1536672517,464,464
1536674514,461,461
1536676359,457,457
1536678357,444,444
1536680445,441,441
1536682376,437,437
1536684302,439,439
1536686232,437,437
1536688294,431,431
1536690290,426,426
1536692185,424,424
1536694116,419,419
1536696098,420,420
1536698224,417,417
1536700134,415,415
1536702042,416,416
1536703972,415,415
1536705887,423,423
1536707806,423,423
1536709732,423,423
1536711639,423,423
1536713584,425,425
1536715516,424,424
1536717412,413,413
1536719340,406,406
1536721329,399,399
1536723165,404,404
1536725158,408,408
1536727014,407,407
1536728948,413,413
1536730847,410,410
1536732787,406,406
1536734687,413,413
1536736635,404,404
1536738530,372,372
1536740465,375,375
1536742369,373,373
1536744320,354,354
1536746243,349,349
1536748135,342,342
1536750101,326,326
1536751963,316,316
1536753880,311,311
1536755806,301,301
1536757727,295,295
1536759633,288,288
1536761565,289,289
1536763503,286,286
1536765392,287,287
1536767318,289,289
1536769261,289,289
1536771176,282,282
1536773090,282,282
1536774991,283,283
1536776932,278,278
1536778902,276,276
1536780770,273,273
1536782691,274,274
1536784585,280,280
1536786538,282,282
1536788445,285,285
1536790354,284,284
1536792265,278,278
1536794249,282,282
1536796105,285,285
1536798054,279,279
1536799972,277,277
1536801904,285,285
1536803799,291,291
1536805714,289,289
1536807704,287,287
1536809573,281,281
1536811479,279,279
1536813416,273,273
1536815341,265,265
1536817252,261,261
1536819177,261,261
1536821099,255,255
1536823258,247,247
1536825171,243,243
1536827106,235,235
1536829015,233,233
1536831156,240,240
1536833062,243,243
1536834986,247,247
1536836921,241,241
1536839087,240,240
1536841033,246,246
1536842916,244,244
1536844840,252,252
1536846792,257,257
1536848678,259,259
1536850596,260,260
1536852510,254,254
1536854496,253,253
1536856368,250,250
1536858339,249,249
1536860216,246,246
1536862120,246,246
1536864034,255,255
1536865970,256,256
1536867894,252,252
1536869807,250,250
1536871980,242,242
1536873872,244,244
1536875807,246,246
1536877714,240,240
1536879713,240,240
1536881556,257,257
1536883513,269,269
1536885432,289,289
1536887348,300,300
1536889261,312,312
1536891168,331,331
1536893068,342,342
1536895040,354,354
1536896913,370,370
1536898868,372,372
1536900758,375,375
1536902697,373,373
1536904607,376,376
1536906540,390,390
1536908498,398,398
1536910633,405,405
1536912564,412,412
1536914485,421,421
1536916374,422,422
1536918298,425,425
1536920239,430,430
1536922113,433,433
1536924082,433,433
1536925964,435,435
1536928142,433,433
1536930106,436,436
1536931978,437,437
1536933884,445,445
1536935786,454,454
1536937755,458,458
1536939907,470,470
1536941822,473,473
1536943731,476,476
1536945659,477,477
1536947577,478,478
1536949489,475,475
1536951406,476,476
1536953344,478,478
1536955292,487,487
1536957171,485,485
1536959140,482,482
1536961029,478,478
1536962937,483,483
1536964882,492,492
1536967037,480,480
1536968910,465,465
1536970866,455,455
1536972777,448,448
1536974703,432,432
1536976585,421,421
1536978513,415,415
1536980527,413,413
1536982391,403,403
1536984346,400,400
1536986197,400,400
1536988142,400,400
1536990067,395,395
1536992227,391,391
1536994366,376,376
1536996527,366,366
1536998513,354,354
1537000376,345,345
1537002297,336,336
1537004228,330,330
1537006136,323,323
1537008061,319,319
