DateTime,AddedIPs,RemovedIPs
1536929056,6,9
1536930059,9,5
1536931000,8,3
1536931957,6,13
1536932662,6,0
1536933381,15,7
1536934105,48,5
1536934837,68,4
1536935550,7,0
1536936267,11,4
1536936983,6,6
1536937730,3,12
1536938917,15,8
1536939884,10,13
1536940839,16,4
1536941793,29,5
1536942741,8,9
1536943452,12,6
1536944178,12,9
1536944894,12,9
1536945619,9,12
1536946333,8,15
1536947054,8,0
1536947767,14,10
1536948506,3,9
1536949460,15,18
1536950167,9,15
1536950894,4,0
1536951618,9,10
1536952357,7,12
1536953320,9,15
1536954270,4,9
1536955239,6,19
1536956185,7,11
1536957148,10,8
1536957850,8,12
1536958571,6,3
1536959539,8,16
1536960252,6,12
1536960999,6,13
1536961963,11,8
1536962905,6,19
1536963862,10,7
1536965321,13,20
1536966045,12,0
1536966999,9,13
1536967959,8,9
1536968663,5,2
1536969388,8,8
1536970102,4,13
1536970832,8,11
1536971795,7,11
1536972754,9,15
1536973720,5,14
1536974666,14,16
1536975629,13,18
1536976341,9,13
1536977082,3,29
1536977773,14,0
1536978490,5,12
1536979462,12,22
1536980429,13,13
1536981408,8,5
1536982350,5,15
1536983325,6,11
1536984280,12,9
1536984985,8,16
1536985702,5,7
1536986422,7,4
1536987157,7,5
1536988115,3,10
1536989067,5,11
1536990035,4,1
1536991258,10,13
1536992201,9,7
1536993155,9,11
1536993866,10,4
1536994585,14,0
1536995307,3,6
1536996031,8,7
1536996994,16,8
1536997962,6,10
1536998936,16,14
1536999876,6,15
1537000828,9,0
1537001786,7,17
1537002753,9,7
1537003481,5,0
1537004189,8,5
1537004904,8,7
1537005636,9,6
1537006597,11,0
1537007557,9,8
1537008511,4,14
1537009474,8,7
1537010436,12,4
1537011400,14,11
1537012350,6,22
1537013321,6,0
1537014517,12,20
1537015456,7,2
1537016428,9,0
1537017403,5,65
1537018358,20,61
1537019063,4,4
1537019786,9,2
1537020503,8,0
1537021222,7,8
1537022197,8,13
1537023153,9,2
1537024119,11,4
1537025093,9,12
1537026029,10,8
1537026741,14,18
1537027518,7,13
1537028235,12,14
1537029159,12,12
1537030113,12,9
1537030825,12,10
1537031561,9,6
1537032266,10,10
1537032982,13,7
1537033707,12,8
1537034438,9,6
1537035404,9,11
1537036357,16,7
1537037062,13,7
1537037784,5,7
1537038502,6,9
1537039242,16,10
1537039948,8,11
1537040667,3,0
1537041642,16,12
1537042341,8,0
1537043073,9,13
1537043782,2,4
1537044510,11,10
1537045240,9,13
1537045955,8,10
1537046931,9,5
1537047878,10,15
1537048843,4,11
1537049781,5,7
1537050762,8,13
1537051464,12,0
1537052182,6,4
1537052904,3,11
1537053630,7,6
1537054611,8,8
1537055548,12,5
1537056527,10,14
1537057469,5,12
1537058440,9,5
1537059143,5,0
1537059871,7,7
1537060591,7,12
1537061308,5,12
1537062277,8,9
1537062979,13,9
1537063711,14,16
1537064420,11,13
1537065158,4,12
1537065862,10,0
1537066587,13,9
1537067303,12,8
1537068028,6,7
1537068752,12,10
1537069465,1,0
1537070185,10,8
1537070909,8,8
1537071875,11,9
1537072829,13,17
1537073540,7,0
1537074274,7,6
1537074991,7,11
1537075706,3,8
1537076676,4,6
1537077643,11,0
1537078586,6,17
1537079555,13,12
1537080500,5,12
1537081471,10,5
