DateTime,Entries,UniqueIPs
1536925944,23674,26714
1536927168,23675,26715
1536928117,23676,26716
1536929056,23676,26716
1536930059,23675,26711
1536931000,23675,26711
1536931957,23671,26707
1536932662,23673,26709
1536933381,23682,26714
1536934105,23703,26746
1536934837,23705,26796
1536935550,23696,26797
1536936267,23697,26798
1536936983,23701,26800
1536937730,23698,26797
1536938917,23693,26793
1536939884,23689,26787
1536940839,23692,26781
1536941793,23690,26785
1536942741,23691,26786
1536943452,23692,26787
1536944178,23690,26788
1536944894,23690,26791
1536945619,23689,26790
1536946333,23687,26788
1536947054,23686,26787
1536947767,23688,26789
1536948506,23687,26788
1536949460,23690,26791
1536950167,23689,26790
1536950894,23687,26788
1536951618,23686,26787
1536952357,23685,26786
1536953320,23684,26783
1536954270,23681,26777
1536955239,23680,26778
1536956185,23679,26776
1536957148,23677,26774
1536957850,23679,26776
1536958571,23677,26774
1536959539,23671,26768
1536960252,23674,26771
1536960999,23668,26765
1536961963,23667,26765
1536962905,23662,26760
1536963862,23663,26764
1536965321,23660,26759
1536966045,23666,26765
1536966999,23667,26766
1536967959,23667,26766
1536968663,23664,26760
1536969388,23668,26764
1536970102,23663,26759
1536970832,23668,26764
1536971795,23658,26752
1536972754,23661,26755
1536973720,23655,26749
1536974666,23660,26756
1536975629,23653,26748
1536976341,23651,26739
1536977082,23649,26737
1536977773,23652,26739
1536978490,23650,26740
1536979462,23651,26741
1536980429,23654,26740
1536981408,23650,26736
1536982350,23602,26641
1536983325,23599,26638
1536984280,23601,26638
1536984985,23599,26636
1536985702,23595,26635
1536986422,23599,26639
1536987157,23604,26644
1536988115,23605,26645
1536989067,23605,26645
1536990035,23607,26646
1536991258,23609,26648
1536992201,23609,26645
1536993155,23611,26647
1536993866,23609,26647
1536994585,23614,26652
1536995307,23615,26653
1536996031,23618,26657
1536996994,23619,26658
1536997962,23622,26661
1536998936,23630,26667
1536999876,23629,26666
1537000828,23632,26666
1537001786,23635,26669
1537002753,23630,26664
1537003481,23631,26665
1537004189,23630,26664
1537004904,23630,26664
1537005636,23628,26661
1537006597,23627,26660
1537007557,23629,26656
1537008511,23625,26652
1537009474,23625,26652
1537010436,23625,26655
1537011400,23633,26655
1537012350,23635,26657
1537013321,23633,26655
1537014517,23636,26658
1537015456,23637,26658
1537016428,23639,26661
1537017403,23639,26661
1537018358,23649,26671
1537019063,23645,26667
1537019786,23647,26669
1537020503,23648,26667
1537021222,23648,26666
1537022197,23655,26667
1537023153,23653,26667
1537024119,23653,26668
1537025093,23655,26669
1537026029,23653,26667
1537026741,23657,26671
1537027518,23655,26669
1537028235,23657,26669
1537029159,23655,26668
1537030113,23657,26670
1537030825,23660,26673
1537031561,23660,26670
1537032266,23660,26673
1537032982,23666,26679
1537033707,23654,26667
1537034438,23655,26667
1537035404,23654,26662
1537036357,23650,26661
1537037062,23652,26664
1537037784,23654,26666
1537038502,23651,26662
1537039242,23652,26663
1537039948,23652,26663
1537040667,23648,26659
1537041642,23645,26655
1537042341,23648,26660
1537043073,23650,26659
1537043782,23652,26655
1537044510,23655,26658
1537045240,23654,26659
1537045955,23655,26660
1537046931,23659,26660
1537047878,23665,26662
1537048843,23665,26662
1537049781,23668,26665
1537050762,23668,26665
1537051464,23668,26662
1537052182,23667,26661
1537052904,23668,26664
1537053630,23670,26666
1537054611,23664,26659
1537055548,23669,26664
1537056527,23673,26659
1537057469,23672,26657
1537058440,23673,26656
1537059143,23674,26657
1537059871,23675,26656
1537060591,23677,26657
1537061308,23675,26653
1537062277,23671,26646
1537062979,23665,26640
1537063711,23671,26641
1537064420,23678,26648
1537065158,23677,26647
1537065862,23678,26649
1537066587,23677,26650
1537067303,23683,26656
1537068028,23678,26651
1537068752,23679,26654
1537070185,23672,26647
1537070909,23673,26648
1537071875,23668,26646
1537072829,23669,26647
1537073540,23670,26648
1537074274,23667,26643
1537074991,23667,26643
1537075706,23663,26643
1537076676,23665,26645
1537077643,23670,26650
1537078586,23664,26647
