DateTime,AddedIPs,RemovedIPs
1536929056,36,160
1536930059,71,69
1536931000,161,61
1536931957,59,93
1536932662,46,108
1536933381,66,58
1536934105,98,41
1536934837,107,69
1536935550,61,26
1536936267,55,80
1536936983,72,93
1536937730,89,43
1536938917,66,82
1536939884,79,51
1536940839,73,229
1536941793,214,54
1536942741,81,60
1536943452,56,46
1536944178,39,51
1536944894,47,38
1536945619,48,48
1536946333,51,53
1536947054,41,51
1536947767,57,59
1536948506,46,34
1536949460,51,54
1536950167,51,31
1536950894,27,50
1536951618,56,110
1536952357,117,49
1536953320,49,44
1536954270,39,43
1536955239,33,51
1536956185,48,70
1536957148,76,52
1536957850,33,50
1536958571,51,56
1536959539,53,54
1536960252,40,62
1536960999,48,65
1536961963,74,70
1536962905,54,77
1536963862,53,134
1536965321,163,101
1536966045,91,58
1536966999,69,59
1536967959,59,46
1536968663,46,227
1536969388,223,50
1536970102,49,42
1536970832,34,50
1536971795,42,49
1536972754,57,42
1536973720,45,88
1536974666,63,91
1536975629,84,91
1536976341,133,41
1536977082,33,32
1536977773,30,240
1536978490,221,59
1536979462,60,45
1536980429,50,54
1536981408,44,68
1536982350,62,46
1536983325,52,86
1536984280,94,47
1536984985,40,69
1536985702,60,171
1536986422,167,66
1536987157,61,55
1536988115,60,18
1536989067,18,79
1536990035,69,29
1536991258,46,47
1536992201,49,65
1536993155,62,119
1536993866,76,108
1536994585,145,49
1536995307,51,35
1536996031,45,46
1536996994,70,48
1536997962,41,57
1536998936,63,31
1536999876,34,56
1537000828,52,91
1537001786,99,43
1537002753,46,39
1537003481,32,63
1537004189,70,58
1537004904,65,26
1537005636,25,94
1537006597,111,60
1537007557,53,57
1537008511,60,57
1537009474,58,50
1537010436,61,52
1537011400,64,58
1537012350,66,50
1537013321,52,35
1537014517,39,82
1537015456,75,55
1537016428,63,61
1537017403,60,33
1537018358,44,72
1537019063,58,45
1537019786,57,60
1537020503,66,48
1537021222,46,56
1537022197,52,67
1537023153,64,46
1537024119,55,72
1537025093,72,61
1537026029,56,67
1537026741,72,48
1537027518,48,48
1537028235,42,57
1537029159,66,36
1537030113,54,78
1537030825,76,82
1537031561,61,68
1537032266,77,67
1537032982,76,58
1537033707,63,52
1537034438,49,75
1537035404,75,61
1537036357,53,83
1537037062,85,73
1537037784,63,38
1537038502,45,45
1537039242,47,76
1537039948,73,25
1537040667,25,88
1537041642,100,63
1537042341,51,42
1537043073,40,33
1537043782,20,42
1537044510,48,65
1537045240,58,43
1537045955,61,27
1537046931,34,47
1537047878,33,34
1537048843,30,59
1537049781,51,46
1537050762,33,43
1537051464,45,52
1537052182,36,23
1537052904,29,44
1537053630,44,60
1537054611,52,66
1537055548,66,34
1537056527,38,60
1537057469,48,32
1537058440,27,48
1537059143,44,43
1537059871,45,65
1537060591,61,24
1537061308,24,65
1537062277,65,45
1537062979,50,66
1537063711,65,46
1537064420,44,57
1537065158,38,49
1537065862,54,42
1537066587,54,74
1537067303,75,39
1537068028,36,33
1537068752,28,62
1537069465,42,48
1537070185,55,69
1537070909,44,155
1537071875,138,63
1537072829,90,63
1537073540,56,53
1537074274,48,51
1537074991,52,27
1537075706,29,48
1537076676,47,45
1537077643,52,67
1537078586,74,65
1537079555,79,68
1537080500,54,67
1537081471,80,76
1537082421,80,26
1537083398,53,48
1537084356,49,36
1537085330,38,53
1537086281,58,62
1537087229,82,41
1537088197,47,59
1537089151,59,82
1537090115,61,110
1537091318,113,95
1537092274,98,66
1537093246,83,24
1537093950,27,73
1537094666,64,44
1537095381,38,60
1537096115,61,111
1537097079,115,54
1537097784,49,51
1537098508,52,54
1537099273,56,60
1537099957,65,27
1537100922,35,42
1537101867,52,55
1537102581,44,57
1537103322,56,70
1537104019,76,71
1537104760,76,32
1537105461,39,40
1537106183,51,67
1537107154,76,101
1537107864,92,47
1537108608,55,50
1537109537,53,67
1537110520,60,38
1537111469,33,52
1537112441,55,55
1537113391,44,60
1537114391,59,79
1537115318,76,66
1537116268,56,52
1537117223,54,22
1537118197,31,64
1537119156,57,42
1537119863,50,52
1537120583,38,70
1537121304,81,32
1537122034,38,45
1537122996,36,67
1537123953,62,71
1537124916,72,41
1537125866,54,67
1537126829,58,53
1537127539,40,48
1537128287,53,39
1537129001,36,53
1537129958,56,108
1537130662,91,102
1537131381,108,46
1537132111,43,34
1537132830,31,38
1537133550,25,37
1537134263,42,38
1537134980,34,43
1537135714,48,34
1537136666,35,40
1537137382,34,43
1537138109,39,41
1537138839,31,46
1537139553,41,37
1537140516,41,45
1537141710,39,32
1537142678,38,37
1537143632,34,64
1537144594,65,55
1537145553,34,50
1537146516,52,40
1537147465,44,51
1537148427,46,147
1537149386,121,83
1537150350,119,70
1537151064,57,50
1537152052,52,45
1537152743,47,68
1537153474,62,60
1537154430,66,59
1537155146,53,32
1537155875,23,37
1537156581,34,34
1537157321,39,47
1537158269,41,59
1537158982,35,41
