DateTime,AddedIPs,RemovedIPs
1536515814,3,0
1536519317,1,2
1536520535,0,1
1536522582,2,0
1536524076,3,0
1536528585,1,1
1536531352,2,71
1536532544,1,5
1536533795,0,4
1536534949,6,36
1536536136,3,10
1536537348,6,3
1536538550,4,6
1536539748,9,37
1536541012,9,6
1536542134,3,4
1536543764,2,29
1536545758,1,10
1536546944,1,1
1536548784,6,7
1536549936,10,0
1536551142,9,5
1536552892,6,3
1536554559,6,2
1536555407,2,0
1536556557,3,0
1536558090,6,1
1536561004,1,0
1536561773,2,0
1536562596,1,0
1536563675,3,0
1536564931,1,0
1536568302,1,0
1536570994,1,0
1536572577,2,0
1536574490,6,0
1536575331,1,0
1536576193,2,0
1536578075,1,1
1536578919,1,0
1536580432,0,1
1536581694,2,0
1536583358,0,2
1536587143,1,0
1536588674,2,1
1536589887,2,1
1536591410,2,0
1536592551,1,1
1536595021,2,0
1536596075,4,0
1536597775,1,1
1536599155,5,1
1536600353,2,1
1536602194,2,2
1536603277,1,1
1536604429,1,0
1536605790,1,0
1536606941,2,0
1536608745,1,0
1536609392,2,0
1536610549,4,0
1536612164,1,0
1536614088,8,0
1536614922,3,0
1536615763,6,1
1536617453,35,0
1536618647,4,0
1536622125,5,0
1536622969,1,0
1536624650,1,0
1536627331,6,29
1536628541,4,27
1536630050,6,66
1536631002,1,37
1536632091,5,12
1536633767,2,0
1536634612,1,0
1536635752,0,64
1536636942,2,16
1536640123,3,14
1536641810,2,0
1536642877,0,1
1536645687,3,0
1536646853,2,0
1536647327,1,0
1536649548,6,0
1536650927,2,0
1536652439,3,0
1536653738,3,0
1536654946,4,0
1536655376,1,0
1536657305,5,0
1536658141,4,0
1536659941,6,0
1536660875,1,0
1536662199,2,0
1536663404,1,0
1536666036,2,0
1536667650,2,0
1536670594,1,2
1536672976,1,0
1536674959,33,0
1536676244,1,0
1536677795,1,0
1536680551,3,6
1536682479,1,0
1536683731,1,0
1536686187,4,0
1536687750,1,0
1536688603,2,0
1536689750,0,3
1536694133,1,1
1536696647,1,0
1536699409,3,0
1536700475,3,0
1536701746,0,36
1536703010,1,0
1536704080,0,2
1536705332,2,23
1536708541,7,14
1536710198,8,60
1536711353,4,8
1536712552,9,5
1536713810,7,1
1536714969,1,2
1536716563,4,1
1536718254,2,6
1536719457,0,10
1536720172,2,5
1536722941,2,3
1536723780,0,9
1536725449,2,0
1536728747,1,0
1536730127,1,0
1536730981,0,1
1536732901,4,0
1536734053,1,0
1536735344,3,0
1536736492,1,0
1536738158,3,1
1536738998,1,0
1536740140,4,0
1536743187,4,0
1536744517,1,0
1536745784,2,0
1536747333,4,0
1536749124,1,1
1536749794,3,0
1536750955,2,0
1536752176,1,0
1536753338,3,0
1536754500,1,0
1536756995,4,0
1536758928,3,0
1536759767,2,0
1536761697,1,0
1536763868,1,0
1536765285,3,0
1536766893,1,4
1536768902,1,0
1536770447,2,2
1536771939,0,1
1536772476,1,0
1536774103,2,0
1536774992,1,0
1536776075,1,1
1536778594,2,0
1536781329,4,0
1536783302,1,0
1536784897,2,0
1536785827,2,0
1536789415,0,73
1536790546,0,2
1536791753,2,11
1536792950,1,35
1536794160,2,11
1536795753,6,13
1536797696,7,32
1536799222,8,12
1536800757,11,2
1536801283,3,0
1536802136,3,1
1536802975,0,7
1536804348,0,1
1536806580,3,1
1536808490,2,0
1536809990,4,2
1536811828,0,1
1536812932,5,0
1536814594,1,0
1536815683,1,0
1536817301,2,0
1536818627,2,1
1536820440,1,0
1536821822,1,1
1536824563,1,0
1536825413,3,0
1536826486,0,1
1536830473,1,0
1536831699,4,0
1536832593,1,0
1536834526,1,0
1536836450,5,0
1536837636,1,0
1536840210,3,0
1536844467,3,0
1536845633,2,0
1536847839,1,0
1536851682,4,0
1536852522,2,0
1536854973,3,9
1536858338,1,0
1536858881,2,0
1536862475,6,0
1536864149,2,1
1536869667,3,1
1536870527,1,0
1536871366,1,0
1536872736,1,0
1536874243,0,24
1536876633,1,3
1536878421,2,31
1536879392,0,5
1536880544,1,4
1536882150,7,30
1536884073,5,10
1536884929,1,0
1536886539,7,3
1536887670,3,6
1536892123,6,1
1536893270,2,2
1536894879,0,2
1536897394,1,0
1536900051,2,0
1536901541,1,0
1536902077,2,0
1536904548,2,1
1536906577,1,0
1536908194,2,0
1536910443,1,0
1536912877,2,0
1536914094,1,1
1536915742,1,0
1536918933,2,0
1536920072,2,0
1536923680,1,0
1536927339,1,1
1536929791,1,0
1536930939,1,0
1536934487,5,0
1536936148,4,0
1536937540,1,0
1536939048,1,8
1536939756,1,0
1536943356,1,0
1536945269,2,0
1536946965,3,0
1536948636,1,0
1536949871,2,0
1536951030,0,1
1536952243,1,0
1536956924,5,0
1536959677,2,0
1536963040,3,19
1536964123,1,0
1536966883,0,39
1536967750,4,0
1536968551,3,9
1536970477,16,32
1536971732,11,8
1536972938,1,0
1536974935,4,0
1536975753,0,4
1536977448,2,0
1536978660,2,4
1536980739,0,3
1536982121,3,0
1536982957,1,5
1536984871,4,1
1536986550,3,0
1536989133,3,0
1536990991,2,0
1536992936,1,0
1536993747,2,0
1536995667,5,0
1536997363,7,0
1536999040,3,0
1537000959,3,0
1537001796,1,0
1537003726,1,0
1537011749,1,0
1537013446,3,0
1537015357,1,1
1537016738,1,1
1537018949,3,0
1537019801,2,0
1537020868,1,0
1537022446,2,1
1537023389,1,0
1537024473,0,1
1537025375,1,3
1537027844,2,0
1537028067,1,0
1537029336,2,1
1537031136,24,1
1537032332,1,0
1537033356,2,0
1537036954,1,0
1537038879,4,1
1537040092,2,1
1537042241,2,0
1537043445,1,0
1537044953,1,0
1537046079,3,0
1537048243,1,25
1537049682,3,0
1537050534,2,0
1537052137,5,26
1537053344,2,9
1537054124,3,0
1537054957,0,11
1537056869,14,22
1537058438,11,1
1537061330,3,0
1537062968,3,3
1537064079,3,1
1537065706,7,0
1537067142,1,1
1537068535,1,0
1537071044,4,1
1537072122,3,0
1537074344,4,2
1537074872,1,0
1537078239,11,0
1537079550,1,0
1537083495,1,2
1537085680,1,1
1537086933,4,0
1537089337,2,1
1537090116,1,0
1537092879,4,0
1537098994,2,0
1537100078,1,0
1537103130,3,0
1537105366,2,0
1537108183,1,0
1537110930,1,0
1537112087,1,0
1537113313,3,0
1537114529,0,2
1537115719,1,0
1537118122,1,2
1537119325,4,0
1537124136,1,0
1537126132,0,1
1537127796,1,0
1537128866,1,0
1537131404,1,0
1537132545,1,0
1537134150,1,13
1537134988,1,0
1537136151,1,18
1537137331,1,22
1537138600,1,2
1537139689,7,20
1537140829,5,32
1537143046,30,4
1537145803,14,2
1537147717,10,1
1537150237,3,6
1537150477,1,0
1537151696,3,3
1537153557,3,2
1537154732,1,0
1537155949,2,3
1537157669,3,0
1537161348,3,1
1537164289,2,1
1537170987,0,2
1537172077,4,1
1537173642,7,0
1537174597,1,0
1537177245,2,0
1537180129,1,0
1537180960,4,0
1537182869,44,0
1537183719,3,0
1537184564,3,0
1537186239,3,0
1537188155,10,1
1537189517,5,0
1537190713,7,0
1537190938,1,0
1537191749,8,1
1537193029,1,0
1537194150,8,0
1537195543,7,0
1537197266,5,0
1537198965,2,2
1537199789,1,0
1537202437,6,1
1537204471,8,2
1537205612,4,0
1537206930,6,0
1537208143,4,0
1537209635,2,1
1537211119,7,1
1537212210,3,0
1537213369,5,0
1537215270,2,0
1537216963,4,1
1537218874,2,0
1537219722,1,0
1537221394,2,31
1537222469,0,15
1537223685,0,9
1537225546,2,9
1537226920,2,0
1537227768,2,39
1537228596,1,0
1537229679,4,1
1537230936,5,1
1537232745,21,3
1537234130,9,0
1537235790,9,9
1537236942,3,1
1537238574,2,0
1537239896,5,1
1537241742,3,1
1537242947,3,1
1537244142,0,1
1537245301,3,0
1537246602,4,1
1537247737,2,0
1537249373,2,3
1537251280,1,0
1537252954,5,1
1537254877,1,0
1537256155,1,0
1537259342,4,0
1537260988,2,0
1537263291,2,0
1537264530,8,0
1537265745,3,0
1537266525,4,0
1537268200,3,0
1537269275,2,1
1537270493,2,1
1537273715,12,0
1537275403,2,0
1537278053,1,0
1537279839,1,0
1537281760,4,1
1537284345,1,0
1537286450,4,5
1537287638,2,0
1537288836,4,0
1537290335,2,0
1537291841,3,0
1537292558,2,0
1537294188,4,0
1537295397,4,0
1537296990,3,0
1537298144,1,0
1537298934,2,0
1537300589,3,0
1537301685,1,0
1537303536,3,0
1537306138,4,0
1537306949,0,8
1537308269,0,11
1537310142,3,3
1537311336,2,1
1537312467,0,1
1537313329,1,0
1537315001,3,10
1537316929,0,5
1537318538,1,6
1537319740,5,0
1537321232,23,2
1537322449,6,2
1537323272,1,0
1537324964,2,0
1537325803,1,0
1537326888,5,1
1537327718,1,1
1537328573,3,2
1537331459,16,0
1537333010,6,0
1537334147,7,0
1537335779,11,1
1537336953,6,0
1537339241,2,0
1537340623,1,0
1537341933,2,0
1537343789,1,0
1537345741,4,0
1537347405,4,0
1537348485,0,1
1537351185,6,0
