DateTime,Entries,UniqueIPs
1536515814,1241,1241
1536519317,1240,1240
1536520535,1239,1239
1536522582,1241,1241
1536524076,1244,1244
1536528585,1244,1244
1536531352,1175,1175
1536532544,1171,1171
1536533795,1167,1167
1536534949,1137,1137
1536536136,1130,1130
1536537348,1133,1133
1536538550,1131,1131
1536539748,1103,1103
1536541012,1106,1106
1536542134,1105,1105
1536543764,1078,1078
1536545758,1069,1069
1536546944,1069,1069
1536548784,1068,1068
1536549936,1078,1078
1536551142,1082,1082
1536552892,1085,1085
1536554559,1089,1089
1536555407,1091,1091
1536556557,1094,1094
1536558090,1099,1099
1536561004,1100,1100
1536561773,1102,1102
1536562596,1103,1103
1536563675,1106,1106
1536564931,1107,1107
1536568302,1108,1108
1536570994,1109,1109
1536572577,1111,1111
1536574490,1117,1117
1536575331,1118,1118
1536576193,1120,1120
1536578075,1120,1120
1536578919,1121,1121
1536580432,1120,1120
1536581694,1122,1122
1536583358,1120,1120
1536587143,1121,1121
1536588674,1122,1122
1536589887,1123,1123
1536591410,1125,1125
1536592551,1125,1125
1536595021,1127,1127
1536596075,1131,1131
1536597775,1131,1131
1536599155,1135,1135
1536600353,1136,1136
1536602194,1136,1136
1536603277,1136,1136
1536604429,1137,1137
1536605790,1138,1138
1536606941,1140,1140
1536608745,1141,1141
1536609392,1143,1143
1536610549,1147,1147
1536612164,1148,1148
1536614088,1156,1156
1536614922,1159,1159
1536615763,1164,1164
1536617453,1199,1199
1536618647,1203,1203
1536622125,1208,1208
1536622969,1209,1209
1536624650,1210,1210
1536627331,1187,1187
1536628541,1164,1164
1536630050,1104,1104
1536631002,1068,1068
1536632091,1061,1061
1536633767,1063,1063
1536634612,1064,1064
1536635752,1000,1000
1536636942,986,986
1536640123,975,975
1536641810,977,977
1536642877,976,976
1536645687,979,979
1536646853,981,981
1536647327,982,982
1536649548,988,988
1536650927,990,990
1536652439,993,993
1536653738,996,996
1536654946,1000,1000
1536655376,1001,1001
1536657305,1006,1006
1536658141,1010,1010
1536659941,1016,1016
1536660875,1017,1017
1536662199,1019,1019
1536663404,1020,1020
1536666036,1022,1022
1536667650,1024,1024
1536670594,1023,1023
1536672976,1024,1024
1536674959,1057,1057
1536676244,1058,1058
1536677795,1059,1059
1536680551,1056,1056
1536682479,1057,1057
1536683731,1058,1058
1536686187,1062,1062
1536687750,1063,1063
1536688603,1065,1065
