DateTime,AddedIPs,RemovedIPs
1536686193,5,7
1536687756,3,2
1536688610,2,0
1536689757,4,5
1536690534,1,1
1536692143,3,4
1536694139,1,3
1536696654,2,7
1536697913,1,3
1536699417,1,0
1536700482,1,3
1536701753,1,27
1536703018,1,3
1536704087,3,1
1536705338,3,3
1536706552,1,1
1536707678,1,1
1536708608,1,9
1536709359,1,2
1536710204,0,2
1536711360,1,1
1536712559,1,4
1536713816,6,2
1536714992,4,0
1536716570,9,1
1536718261,6,1
1536719472,1,3
1536720180,1,1
1536721011,2,0
1536722079,3,6
1536722990,4,10
1536723799,1,6
1536725455,2,11
1536726536,3,0
1536727364,7,8
1536728754,4,5
1536729279,3,0
1536730997,3,6
1536731808,1,3
1536732915,0,5
1536734061,3,9
1536735351,3,1
1536736499,2,7
1536738164,2,4
1536740147,2,8
1536741762,6,4
1536743209,4,14
1536744529,2,0
1536745798,2,10
1536747341,6,8
1536749133,3,7
1536749799,0,2
1536750963,0,10
1536752199,0,2
1536753352,1,3
1536754507,1,7
1536757002,2,105
1536759775,2,44
1536761709,1,2
1536762581,2,1
1536763883,0,2
1536765292,7,1
1536766916,6,2
1536768910,6,5
1536770491,6,6
1536771946,14,2
1536772482,4,0
1536774117,10,6
1536774997,14,6
1536776082,11,6
1536777777,11,5
1536778601,3,1
1536779699,1,6
1536781346,2,11
1536783311,10,18
1536784936,7,33
1536785833,1,0
1536787729,9,7
1536789421,8,38
1536790552,2,15
1536791761,9,35
1536792958,17,4
1536794178,20,5
1536795760,1,6
1536797716,2,2
1536799245,1,12
1536800776,4,2
1536801288,4,0
1536802194,6,1
1536802981,5,0
1536804355,4,0
1536805822,3,2
1536806597,3,0
1536807957,1,1
1536809995,2,5
1536811837,1,4
1536813010,2,5
1536813793,5,0
1536815689,0,4
1536817327,1,2
1536818640,2,5
1536820466,2,8
1536821829,8,2
1536822893,12,11
1536824569,17,6
1536825420,6,1
1536826493,5,5
1536827637,7,5
1536829009,4,2
1536830503,4,2
1536832600,4,11
1536834592,9,19
1536836458,6,10
1536837641,4,0
1536838850,7,20
1536840218,8,3
1536840875,2,0
1536841785,2,7
1536844473,3,3
1536845639,2,9
1536847845,2,6
1536848988,1,3
1536851142,0,5
1536854979,3,2
1536856248,1,1
1536858344,3,6
1536859732,3,0
1536860567,4,3
1536862481,1,2
1536864159,1,2
1536865537,1,1
1536866994,3,0
1536867764,2,0
1536869444,3,1
1536870534,5,0
1536871371,1,1
1536872742,2,1
1536874249,16,8
1536874998,9,0
1536876644,22,3
1536878431,20,4
1536879398,11,0
1536880550,16,1
1536882156,13,3
1536884080,11,12
1536884947,8,23
1536886545,15,89
1536887677,13,3
1536889033,22,3
1536890204,13,1
1536892137,17,2
1536893279,7,4
1536894885,20,3
1536896151,13,5
1536897400,9,3
1536898491,9,0
1536900092,17,2
1536901547,10,0
1536902084,6,0
1536902936,9,0
1536904553,11,2
1536905751,15,4
1536906583,10,3
1536908198,23,0
1536909342,14,4
1536910448,7,3
1536911811,12,4
1536912883,4,9
1536914099,12,2
1536914563,3,1
1536915763,4,4
1536917404,12,4
1536918940,8,1
1536920078,6,7
1536921755,15,2
1536923685,9,1
1536924538,2,0
1536926092,6,2
1536927344,3,0
1536928545,2,4
1536929797,1,0
1536932150,4,1
1536934492,5,4
1536935337,1,1
1536936153,1,2
1536937545,3,2
1536939058,8,4
1536939762,3,1
1536941449,2,3
1536942531,3,0
1536943362,2,4
1536945275,4,10
1536946970,6,11
1536948642,6,4
1536949891,3,48
1536951035,0,71
1536952250,6,21
1536953452,4,4
1536954998,9,0
1536956940,13,4
1536958541,7,2
1536959683,6,3
1536961238,20,2
1536963046,22,21
1536964135,13,0
1536966889,24,15
1536968557,21,1
1536970483,24,3
1536971738,17,5
1536972944,10,3
1536974163,23,6
1536974991,9,5
1536975760,9,2
1536977454,17,6
1536978675,15,4
1536980744,17,3
1536982131,8,3
1536982962,2,5
1536984876,6,1
1536986556,1,3
1536987951,9,6
1536989138,8,0
1536990997,7,3
1536992979,6,11
1536993752,2,1
1536995672,5,4
1536997369,3,7
1536999050,3,3
1537000964,5,9
1537001801,1,0
1537003733,10,3
1537005396,0,4
1537006545,5,10
1537007699,4,4
1537008885,2,3
1537010094,3,7
1537010982,3,5
1537011754,2,0
1537013451,11,5
1537014937,5,4
1537015362,4,0
1537016743,5,2
1537018257,4,2
1537018954,4,18
1537019807,1,9
1537020874,3,3
1537022451,4,5
1537023393,1,0
1537024479,1,15
1537025381,4,43
1537026154,3,2
1537027850,5,1
1537028073,1,0
1537029342,1,9
1537029754,1,2
1537031142,9,2
1537032337,3,1
1537033361,4,2
1537034192,5,0
1537035281,3,2
1537036535,6,4
1537038884,7,7
1537040098,4,5
1537042246,7,3
1537043451,5,9
1537044962,2,2
1537046084,3,8
1537046941,1,0
1537048249,3,12
1537049688,2,3
1537050592,4,5
1537052143,1,2
1537053352,1,3
1537054136,1,0
1537054964,1,8
1537056875,3,16
1537058443,3,11
1537059408,0,1
1537061396,2,19
1537062974,0,4
1537064086,1,3
1537065720,1,18
1537067149,2,10
1537068603,1,5
1537071055,1,11
1537072135,7,0
1537074349,9,19
1537076139,3,15
1537078244,3,8
1537079562,2,5
1537080941,0,4
1537082096,2,2
1537083510,3,12
1537084605,1,4
1537085686,3,5
1537086939,2,12
1537088198,2,1
1537089343,3,7
1537090140,1,0
1537090953,1,6
1537092884,4,11
1537094448,3,8
1537095755,1,7
1537097330,4,0
1537098998,13,3
1537100083,10,1
1537101337,12,1
1537103136,9,6
1537103672,2,1
1537105371,12,1
1537106194,8,0
1537107275,9,3
1537108196,6,6
1537109797,9,1
1537110939,3,4
1537112092,5,3
1537113319,5,2
1537114541,8,3
1537115724,12,3
1537116914,6,0
1537118129,4,9
1537119335,6,5
1537120845,10,3
1537121673,6,1
1537122942,6,2
1537124148,0,3
1537126177,5,9
1537127802,1,0
1537128871,2,2
1537130595,2,8
1537131409,2,1
1537132551,1,8
1537134156,5,23
1537134994,4,1
1537136157,7,9
1537137337,7,6
1537138605,7,6
1537139695,2,12
1537140836,0,16
1537143052,4,6
1537145810,4,20
1537147738,4,13
1537150243,9,28
1537150484,2,0
1537151709,9,10
1537153571,17,7
1537154739,13,0
1537155957,9,4
1537157675,7,5
1537158587,2,8
1537159853,5,0
1537161355,3,4
1537162541,2,3
1537164298,7,3
1537165848,2,4
1537166562,2,1
1537168488,8,2
1537169383,5,4
1537170174,0,1
1537170992,1,1
1537172082,2,3
1537173648,2,5
1537174603,5,1
1537175742,4,0
1537177251,5,4
1537178196,2,0
1537180177,3,6
1537180965,3,5
1537182875,4,13
1537183728,1,25
1537184570,2,50
1537186245,5,49
1537188165,1,7
1537189526,0,2
1537190717,2,1
1537190978,1,4
1537191755,1,0
1537193035,2,2
1537194155,0,1
1537195549,3,8
1537197272,8,3
1537198974,6,5
1537200929,4,6
1537202443,5,2
1537204477,15,9
1537205618,9,6
1537206935,12,1
1537208148,11,4
1537209640,18,8
1537211125,25,6
1537212292,16,0
1537213374,15,4
1537215276,24,3
1537216969,31,6
1537217796,11,0
1537218880,16,4
1537219728,9,1
1537221399,16,9
1537222476,17,2
1537223692,4,2
1537224168,5,0
1537225552,7,7
1537226980,1,1
1537227774,0,2
1537228602,2,0
1537229685,3,0
1537230942,0,3
1537232750,6,5
1537234141,6,0
1537235796,2,4
1537236948,2,4
1537238580,2,5
1537239903,2,2
1537241760,3,6
1537242959,2,3
1537244176,3,4
1537245320,2,3
1537246608,8,1
1537247744,4,2
1537249382,0,4
1537250215,3,1
1537251286,1,0
1537252959,0,7
1537253794,2,1
1537254883,0,1
1537256166,0,5
1537257410,0,2
1537258546,0,2
1537259382,1,3
1537260993,2,0
1537262072,2,2
1537263297,2,5
1537264535,1,0
1537265751,1,3
1537266534,1,2
1537268205,5,1
1537269280,3,4
1537270499,0,4
1537271802,0,5
1537273724,3,6
1537275409,6,8
1537276484,8,5
1537278064,11,5
1537279844,6,7
1537281766,2,6
1537283144,6,2
1537284351,4,0
1537286460,5,6
1537287643,6,0
1537288841,4,7
1537290340,1,6
1537291846,4,7
1537292564,6,6
1537294193,14,3
1537295419,5,4
1537296995,3,1
1537298151,2,8
1537298940,3,0
1537300595,8,4
1537301690,1,5
1537303543,1,3
1537304195,0,1
1537305344,1,5
1537306178,7,12
1537306955,4,2
1537308880,29,15
1537310147,8,3
1537311342,11,2
1537312473,9,2
1537314157,5,4
1537315007,6,0
1537316935,16,5
1537318543,11,8
1537319747,9,5
1537321238,14,3
1537322460,13,9
1537323279,11,0
1537324971,27,9
1537325810,14,2
1537326894,15,1
1537327731,7,0
1537328579,4,6
1537330082,7,3
1537331481,7,6
1537333016,8,2
1537334154,7,0
1537335785,12,4
1537336958,5,1
1537338055,4,1
1537339247,3,5
1537339367,0,1
1537340628,8,4
1537341939,18,1
1537343795,18,6
1537344873,2,4
1537345787,2,8
1537346564,2,4
1537348490,3,5
1537349741,2,2
1537351192,0,5
