DateTime,AddedIPs,RemovedIPs
1536702967,123,21
1536704048,102,59
1536705308,119,107
1536706517,129,1
1536708491,206,84
1536710168,139,155
1536711313,86,74
1536712508,109,71
1536713769,155,12
1536714933,106,37
1536716527,134,76
1536718214,144,113
1536719414,112,79
1536720128,61,39
1536720968,82,0
1536722887,137,67
1536723741,104,161
1536725413,101,69
1536726492,87,2
1536727328,81,109
1536728707,114,80
1536729247,44,0
1536730090,56,0
1536730937,52,191
1536731767,81,1
1536732858,112,74
1536733991,117,108
1536735308,125,36
1536736447,91,47
1536737708,70,73
1536738127,30,1
1536738967,61,1
1536740106,81,204
1536741726,93,109
1536743125,104,61
1536744487,80,3
1536745724,80,115
1536747010,87,100
1536748255,85,119
1536749768,127,2
1536750918,107,83
1536752140,100,119
1536753314,80,28
1536754447,179,48
1536756966,224,112
1536758891,141,51
1536759728,59,104
1536761659,116,91
1536762490,56,1
1536763828,93,115
1536765248,77,51
1536766817,98,109
1536768856,261,99
1536770408,67,131
1536771909,144,82
1536772446,29,0
1536773996,110,49
1536774967,84,21
1536776891,110,54
1536778567,116,108
1536779647,61,76
1536781215,119,107
1536783256,107,77
1536784808,108,102
1536785776,60,23
1536786848,50,58
1536787687,28,0
1536789367,120,200
1536790508,119,80
1536791712,86,111
1536792907,66,65
1536794115,63,80
1536795728,105,148
1536797660,141,156
1536799172,83,109
1536800717,87,69
1536801247,32,0
1536802089,39,0
1536802928,91,117
1536804289,59,108
1536805695,60,1
1536806534,50,174
1536808454,147,47
1536809956,93,145
1536811160,49,117
1536812898,88,2
1536814569,108,132
1536815648,57,120
1536817207,98,153
1536818356,46,140
1536819609,118,13
1536820819,65,148
1536821767,100,44
1536822848,66,96
1536824526,110,219
1536825378,51,1
1536826449,106,148
1536827598,80,116
1536828971,81,44
1536830415,137,70
1536831728,120,196
1536832568,62,2
1536834490,143,138
1536836387,197,269
1536837607,162,15
1536838811,146,163
1536838927,11,47
1536840160,104,122
1536840846,73,0
1536841690,107,0
1536843645,191,272
1536845609,238,122
1536847807,185,119
1536848891,81,0
1536851647,205,254
1536852488,59,1
1536854940,182,234
1536856211,160,150
1536858853,218,178
1536859690,60,0
1536860529,73,130
1536862446,146,104
1536864126,156,151
1536865506,148,101
1536866890,117,2
1536867727,73,121
1536869646,148,143
1536870491,63,0
1536871327,71,127
1536872711,110,73
1536874207,92,114
1536874927,75,0
1536876591,92,109
1536877692,63,0
1536879368,90,188
1536880507,95,65
1536882127,139,154
1536884047,146,116
1536884897,56,1
1536886508,113,104
1536887646,83,126
1536888992,147,130
1536890167,137,1
1536892092,158,139
1536893223,116,153
1536894847,128,77
1536896107,98,112
1536897368,95,53
1536898447,77,84
1536900013,110,119
1536901506,164,119
1536902049,44,0
1536902890,85,1
1536904506,139,223
1536905714,74,96
1536906491,47,0
1536908166,150,110
1536909262,62,106
1536910422,76,125
1536911772,125,29
