DateTime,AddedIPs,RemovedIPs
1536694131,39,63
1536696644,80,34
1536697866,19,45
1536699407,38,7
1536700472,13,20
1536701744,18,14
1536703008,19,7
1536704078,4,21
1536705329,12,16
1536706543,39,8
1536708535,59,40
1536710195,36,42
1536711350,18,39
1536712548,28,24
1536713808,72,12
1536714965,39,15
1536716561,34,38
1536718246,62,52
1536719455,39,28
1536720170,26,14
1536721003,22,7
1536722938,55,25
1536723777,53,64
1536725446,38,24
1536726522,28,4
1536727356,27,31
1536728744,45,31
1536729271,20,2
1536730122,7,7
1536730979,12,109
1536731799,28,2
1536732899,42,53
1536734044,44,49
1536735342,43,15
1536736490,26,10
1536738156,40,23
1536738996,25,3
1536740136,37,73
1536741751,42,46
1536743162,55,29
1536744514,22,5
1536745754,30,42
1536747314,49,68
1536749107,43,74
1536749792,16,2
1536750951,44,34
1536752163,45,69
1536753335,23,17
1536754497,103,16
1536756993,205,35
1536758925,70,26
1536759765,14,55
1536761694,32,47
1536762534,26,2
1536763863,34,71
1536765283,27,16
1536766853,29,75
1536768899,163,40
1536770444,35,85
1536771936,68,42
1536772473,14,5
1536774044,61,22
1536774990,61,17
1536776934,33,43
1536778591,72,70
1536779689,42,56
1536781322,69,93
1536783299,92,68
1536784854,131,65
1536785817,34,21
1536786884,28,24
1536787720,18,7
1536789413,65,35
1536790543,57,39
1536791751,51,32
1536792943,23,28
1536794157,35,35
1536795751,39,76
1536797694,95,82
1536799204,42,36
1536800754,32,19
1536801280,6,6
1536802130,19,10
1536802973,57,54
1536804346,40,49
1536805736,30,6
1536806578,21,88
1536808488,101,12
1536809988,63,69
1536811255,26,51
1536812925,30,9
1536814592,65,39
1536815680,23,31
1536817299,53,93
1536818595,39,49
1536820437,56,50
1536821820,51,22
1536822885,29,35
1536824561,46,126
1536825411,11,7
1536826484,62,69
1536827628,41,33
1536829000,33,14
1536830461,58,15
1536831749,24,79
1536832591,14,6
1536834523,36,79
1536836447,66,91
1536837633,73,5
1536838841,69,74
1536838954,1,14
1536840193,23,83
1536840867,34,3
1536841711,35,6
1536844465,130,126
1536845630,73,44
1536847836,104,48
1536848923,38,11
1536851680,98,129
1536852519,17,8
1536854971,75,75
1536856239,78,44
1536858335,90,112
1536858878,25,4
1536859723,29,3
1536860559,27,30
1536862473,61,39
1536864147,72,34
1536865530,85,42
1536866923,73,7
1536867755,53,44
1536869665,68,64
1536870525,35,3
1536871363,28,31
1536872733,67,26
1536874241,39,25
1536874960,52,7
1536876625,41,58
1536878406,39,55
1536879390,29,22
1536880541,64,35
1536882148,73,44
1536884071,81,74
1536884923,68,57
1536886536,221,45
1536887668,36,62
1536889016,111,72
1536890194,96,14
1536892120,91,75
1536893267,85,90
1536894876,74,35
1536896143,65,41
1536897391,68,32
1536898482,47,33
1536900048,64,55
1536901538,59,44
1536902075,24,4
1536902927,63,9
1536904546,52,97
1536905741,34,45
1536906532,13,12
1536908191,59,51
1536909333,24,47
1536910440,19,67
1536911804,61,23
1536912875,41,35
1536914092,58,31
1536914555,26,9
1536915725,36,29
1536916842,15,9
1536918931,29,40
1536920070,56,45
1536921747,31,92
1536923678,30,27
1536924515,15,4
1536926085,31,119
1536927336,25,50
1536928537,40,26
1536929789,37,14
1536930937,68,14
1536932142,45,41
1536934484,70,55
1536935306,38,4
1536936146,60,32
1536937538,76,94
1536939044,67,79
1536939754,11,17
1536941441,45,56
1536942522,41,4
1536943354,22,44
1536944739,30,93
1536945267,12,4
1536946962,40,42
1536948634,40,61
1536949868,91,100
1536951027,183,69
1536952241,61,42
1536953444,69,84
1536954990,54,13
1536956919,88,70
1536958532,42,69
1536959675,36,40
1536961230,42,66
1536963037,52,46
1536964121,28,18
1536966881,75,84
1536967725,19,7
1536968549,25,98
1536970474,89,56
1536971730,28,28
1536972936,23,10
1536974925,29,64
1536975750,52,51
1536977445,59,42
1536978657,32,115
1536980736,31,62
1536982112,43,8
1536982954,33,41
1536984868,58,55
1536986548,66,54
1536987942,34,27
1536989130,54,4
1536990989,27,53
1536992925,39,49
1536993745,10,42
1536995665,25,38
1536997361,94,125
1536999038,42,29
1537000956,87,78
1537001793,5,3
1537003724,27,18
1537005388,21,23
1537006534,13,45
1537007692,61,96
1537008878,28,16
1537010082,40,18
1537010912,34,4
1537011747,25,56
1537013443,39,73
1537015354,25,117
1537016735,31,58
1537018244,31,77
1537018946,45,48
1537019799,43,31
1537020866,47,42
1537022443,56,39
1537023387,20,5
1537024471,27,45
1537025335,60,7
1537026146,17,101
1537028065,61,41
1537029333,55,73
1537029747,25,19
1537031132,55,30
1537032329,28,3
1537033354,24,82
1537034185,32,9
1537035274,57,73
1537036527,35,91
1537036952,8,4
1537038877,32,98
1537040090,64,55
1537042238,57,79
1537043442,13,43
1537044949,70,63
1537046077,77,36
1537046926,40,2
1537048240,137,49
1537049679,16,40
1537050515,22,4
1537052134,36,110
1537053341,14,56
1537054121,16,4
1537054954,29,58
1537056867,22,74
1537058435,56,67
1537059400,14,6
1537061319,92,137
1537062962,102,111
1537064077,72,67
1537065703,42,138
1537067139,31,83
1537068526,31,4
1537071041,27,142
1537072119,17,3
1537074341,93,118
1537074869,14,3
1537076129,21,37
1537078235,23,48
1537079548,44,30
1537080932,37,15
1537082088,21,55
1537083483,46,73
1537084598,31,23
1537085678,24,48
1537086931,31,22
1537088190,37,5
1537089334,14,28
1537090107,14,6
1537090945,24,73
1537092877,79,29
1537094439,96,41
1537095740,34,38
1537096839,25,6
1537097318,5,2
1537098991,31,81
1537100075,34,46
1537101328,17,108
1537103128,20,47
1537103664,12,4
1537105364,83,80
1537106186,44,9
1537107267,37,108
1537108125,9,9
1537109785,41,90
1537110911,35,23
1537112084,42,53
1537113311,48,19
1537114512,16,34
1537115706,21,32
1537116905,50,8
1537118106,29,45
1537119320,28,72
1537120793,66,234
1537121666,21,10
1537122928,18,97
1537124133,18,31
1537126120,44,70
1537127794,33,94
1537128864,26,57
1537130561,52,64
1537131401,18,7
1537132542,42,35
1537134148,146,47
1537134986,23,3
1537136147,19,63
1537137329,24,46
1537138597,27,28
1537139687,37,65
1537140816,33,40
1537143043,47,19
1537145141,30,62
1537145801,44,2
1537147713,61,42
1537150234,101,69
1537150474,7,2
1537151694,40,44
1537153548,73,78
1537154730,29,13
1537155947,49,100
1537157667,67,37
1537158522,26,2
1537160193,52,80
1537161341,44,24
1537162531,46,22
1537164283,88,27
1537165839,58,55
1537166554,20,4
1537168481,84,60
1537169322,35,8
1537170985,71,101
1537172074,46,22
1537173639,84,19
1537174595,62,12
1537175734,41,12
1537177243,59,48
1537178189,42,7
1537180123,116,48
1537180957,33,79
1537182867,140,36
1537183716,152,33
1537184562,219,32
1537186237,144,37
1537188149,89,46
1537190926,121,37
1537191747,30,61
1537193027,62,29
1537194147,37,4
1537195540,54,36
1537197264,85,46
1537198961,44,92
1537199787,18,5
1537200910,49,45
1537202435,26,55
1537204469,69,60
1537205605,42,101
1537206927,42,15
1537208141,23,42
1537209632,57,48
1537211112,90,116
1537212208,42,12
1537213362,48,32
1537215267,62,78
1537216961,58,181
1537217788,19,12
1537218871,20,62
1537219719,24,7
1537221391,66,31
1537222467,18,59
1537223682,13,32
1537224159,3,9
1537225544,12,31
1537226910,23,8
1537227765,17,46
1537228594,9,4
1537229677,25,17
1537230933,52,82
1537232742,31,92
1537234128,68,8
1537235787,30,110
1537236934,39,19
1537238571,18,51
1537239884,22,21
1537241736,38,23
1537242945,56,17
1537244140,39,46
1537245289,26,53
1537246600,101,11
1537247732,52,12
1537249368,27,54
1537250206,17,3
1537251277,20,31
1537252951,71,68
1537253785,46,5
1537254875,20,30
1537256150,34,36
1537257401,40,20
1537258537,9,52
1537259329,18,5
1537260986,51,31
1537262064,30,69
1537263289,49,78
1537264527,35,10
1537265742,54,69
1537266519,32,2
1537268197,36,41
1537269272,37,31
1537270491,15,35
1537271787,38,13
1537273712,68,22
1537275401,22,80
1537276477,41,61
1537278049,83,49
1537279836,65,41
1537281757,79,54
1537283136,71,70
1537284342,32,8
1537286448,33,101
1537287635,42,6
1537288833,32,20
1537290333,55,51
1537291838,46,39
1537292556,32,12
1537294186,51,28
1537295380,57,34
1537296475,39,0
1537296987,8,3
1537298141,43,26
1537298923,16,3
1537300587,51,60
1537301683,67,30
1537303533,64,125
1537304186,23,4
1537306126,76,62
1537306947,64,30
1537308250,32,41
1537308871,11,12
1537310139,23,68
1537311333,19,27
1537312465,23,22
1537313309,16,5
1537314998,27,53
1537316927,36,61
1537318535,49,52
1537319738,47,86
1537321229,37,64
1537322403,23,70
1537323269,12,20
1537324961,28,48
1537325801,11,10
1537326885,36,96
1537327715,40,5
1537328570,26,59
1537330073,62,45
1537331456,93,63
1537333007,79,21
1537334144,30,71
1537335777,28,81
1537336934,23,52
1537338047,50,7
1537339239,51,69
1537339360,3,16
1537340620,38,51
1537341931,72,12
1537343787,24,79
1537345733,49,107
1537347403,51,84
1537348483,37,58
1537349733,88,82
1537351181,90,73
