DateTime,Entries,UniqueIPs
1536694131,5003,5003
1536696644,5049,5049
1536697866,5023,5023
1536699407,5054,5054
1536700472,5047,5047
1536701744,5051,5051
1536703008,5063,5063
1536704078,5046,5046
1536705329,5042,5042
1536706543,5073,5073
1536708535,5092,5092
1536710195,5086,5086
1536711350,5065,5065
1536712548,5069,5069
1536713808,5129,5129
1536714965,5153,5153
1536716561,5149,5149
1536718246,5159,5159
1536719455,5170,5170
1536720170,5182,5182
1536721003,5197,5197
1536722938,5227,5227
1536723777,5216,5216
1536725446,5230,5230
1536726522,5254,5254
1536727356,5250,5250
1536728744,5264,5264
1536729271,5282,5282
1536730122,5282,5282
1536730979,5185,5185
1536731799,5211,5211
1536732899,5200,5200
1536734044,5195,5195
1536735342,5223,5223
1536736490,5239,5239
1536738156,5256,5256
1536738996,5278,5278
1536740136,5242,5242
1536741751,5238,5238
1536743162,5264,5264
1536744514,5281,5281
1536745754,5269,5269
1536747314,5250,5250
1536749107,5219,5219
1536749792,5233,5233
1536750951,5243,5243
1536752163,5219,5219
1536753335,5225,5225
1536754497,5312,5312
1536756993,5482,5482
1536758925,5526,5526
1536759765,5485,5485
1536761694,5470,5470
1536762534,5494,5494
1536763863,5457,5457
1536765283,5468,5468
1536766853,5422,5422
1536768899,5545,5545
1536770444,5495,5495
1536771936,5521,5521
1536772473,5530,5530
1536774044,5569,5569
1536774990,5613,5613
1536776934,5603,5603
1536778591,5605,5605
1536779689,5591,5591
1536781322,5567,5567
1536783299,5591,5591
1536784854,5657,5657
1536785817,5670,5670
1536786884,5674,5674
1536787720,5685,5685
1536789413,5715,5715
1536790543,5733,5733
1536791751,5752,5752
1536792943,5747,5747
1536794157,5747,5747
1536795751,5710,5710
1536797694,5723,5723
1536799204,5729,5729
1536800754,5742,5742
1536801280,5742,5742
1536802130,5751,5751
1536802973,5754,5754
1536804346,5745,5745
1536805736,5769,5769
1536806578,5702,5702
1536808488,5791,5791
1536809988,5785,5785
1536811255,5760,5760
1536812925,5781,5781
1536814592,5807,5807
1536815680,5799,5799
1536817299,5759,5759
1536818595,5749,5749
1536820437,5755,5755
1536821820,5784,5784
1536822885,5778,5778
1536824561,5698,5698
1536825411,5702,5702
