DateTime,AddedIPs,RemovedIPs
1536704070,76,26
1536705323,85,26
1536706536,106,1
1536708526,152,46
1536710189,98,46
1536711341,69,44
1536712541,72,33
1536713795,118,10
1536714951,86,23
1536716553,86,46
1536718239,100,61
1536719442,81,31
1536720162,45,14
1536720996,51,1
1536722921,105,34
1536723771,83,80
1536725439,72,28
1536726514,60,6
1536727347,59,45
1536728738,75,55
1536729264,34,5
1536730113,39,2
1536730969,28,143
1536731792,60,2
1536732887,70,59
1536734024,78,68
1536735335,89,22
1536736478,63,20
1536738150,75,40
1536738989,41,2
1536740125,54,86
1536741743,68,63
1536743154,88,38
1536744506,55,4
1536745744,63,69
1536747054,63,78
1536748278,67,85
1536749784,70,4
1536750945,79,42
1536752156,71,76
1536753329,51,21
1536754489,134,37
1536756985,249,46
1536758915,132,27
1536759758,40,76
1536761686,70,66
1536762517,40,1
1536763847,56,83
1536765275,40,26
1536766847,66,85
1536768890,187,41
1536770437,41,101
1536771930,105,57
1536772466,17,2
1536774025,86,20
1536774984,66,19
1536776925,55,38
1536778585,81,81
1536779680,52,63
1536781247,83,80
1536783288,91,54
1536784845,102,78
1536785803,48,21
1536786876,36,39
1536787713,21,3
1536789406,93,56
1536790533,72,54
1536791742,66,51
1536792934,41,29
1536794145,44,51
1536795744,53,104
1536797686,112,107
1536799190,52,54
1536800744,39,34
1536801271,15,3
1536802122,20,6
1536802961,66,73
1536804338,46,81
1536805727,44,3
1536806569,27,121
1536808480,115,26
1536809979,63,102
1536811193,36,70
1536812917,54,5
1536814586,80,75
1536815672,36,65
1536817243,68,117
1536818375,33,100
1536819646,78,14
1536820853,34,75
1536821807,67,29
1536822878,37,67
1536824550,65,189
1536825403,26,8
1536826471,79,111
1536827620,61,89
1536828992,64,32
1536830453,97,46
1536831742,68,134
1536832583,36,2
1536834515,98,111
1536836402,144,186
1536837627,133,15
1536838834,119,125
1536838948,9,39
1536840177,77,104
1536840860,54,3
1536841705,82,0
1536843659,148,185
1536844458,71,1
1536845624,119,76
1536847829,150,83
1536848913,66,2
1536851673,160,197
1536852509,39,2
1536854960,120,150
1536856229,123,83
1536858329,144,139
1536858872,34,1
1536859710,43,1
1536860552,49,71
1536862466,104,65
1536864140,105,80
1536865524,110,69
1536866912,94,7
1536867749,65,70
1536869659,104,99
1536870510,49,1
1536871353,48,63
1536872728,90,51
1536874230,73,60
1536874953,61,3
1536876607,61,89
1536877706,42,8
1536879383,62,103
1536880536,83,54
1536882141,88,80
1536884064,100,81
1536884917,70,7
1536886530,172,68
1536887661,51,88
1536889009,127,92
1536890188,116,9
1536892112,123,92
1536893255,94,120
1536894868,96,49
1536896132,73,70
1536897385,76,40
1536898466,57,54
1536900038,64,89
1536901531,79,70
1536902069,30,3
1536902912,71,5
1536904538,78,141
1536905733,45,71
1536906507,29,8
1536908186,81,85
1536909324,30,73
1536910435,30,92
1536911797,73,22
1536912869,51,54
1536914085,75,55
1536914548,33,20
1536915719,57,46
1536916836,33,5
1536918924,59,68
1536920064,70,89
1536921740,58,139
1536923668,71,50
1536924509,47,0
1536926078,65,145
1536927328,42,88
1536928531,66,51
1536929783,56,37
1536930929,77,35
1536932136,67,69
1536934475,110,77
1536935300,51,2
1536936140,57,51
1536937532,88,119
1536939031,74,97
1536939747,19,22
1536941435,87,74
1536942511,49,4
1536943349,37,77
1536944732,44,117
1536945261,19,0
1536946951,60,66
1536948629,64,79
1536949832,88,94
1536951021,144,83
1536952231,73,56
