DateTime,AddedIPs,RemovedIPs
1536451843,1,0
1536453750,1,0
1536456659,1,0
1536458157,1,0
1536460847,2,0
1536461798,1,0
1536462944,0,1
1536466484,3,0
1536470921,1,0
1536473682,3,0
1536474515,0,1
1536476130,1,1
1536477340,1,0
1536482558,1,0
1536484472,1,0
1536486186,1,0
1536487002,0,1
1536488152,0,1
1536489778,0,1
1536496962,1,0
1536502246,0,1
1536503486,1,0
1536508253,1,0
1536509459,1,0
1536510674,0,3
1536512190,2,0
1536514968,0,1
1536515814,0,1
1536517729,0,1
1536519317,1,0
1536520532,0,1
1536521335,1,2
1536524076,0,1
1536525666,1,0
1536526602,0,1
1536527763,0,4
1536530099,1,0
1536531351,2,0
1536534949,2,0
1536536135,1,2
1536537347,1,0
1536538550,1,1
1536539747,4,0
1536541011,1,1
1536542127,2,0
1536543759,1,0
1536544608,1,1
1536548779,1,0
1536549935,1,0
1536554559,0,1
1536555406,2,0
1536556556,2,0
1536558089,0,1
1536559011,0,1
1536560937,0,1
1536562595,0,1
1536564930,0,1
1536568970,2,0
1536569815,1,0
1536570986,1,0
1536572576,1,0
1536574490,1,1
1536575330,0,1
1536578075,1,0
1536578919,1,0
1536580431,2,1
1536582588,0,1
1536583357,1,0
1536584207,0,1
1536587142,2,2
1536590568,1,0
1536591410,2,0
1536592550,0,2
1536594171,0,1
1536596074,1,0
1536599154,5,1
1536602193,1,0
1536603276,0,2
1536604422,1,2
1536605789,1,1
1536606940,1,2
1536608742,0,1
1536609391,0,1
1536610548,0,1
1536612164,1,1
1536614087,1,2
1536614920,0,1
1536615763,0,1
1536617452,1,0
1536618646,2,0
1536620489,1,2
1536621275,0,1
1536622124,1,0
1536622968,0,1
1536624650,2,0
1536627331,1,0
1536628541,0,1
1536630049,1,1
1536633766,0,1
1536634611,0,2
1536635751,2,2
1536636941,0,1
1536638217,1,0
1536640119,3,1
1536641810,1,2
1536642876,0,2
1536644515,0,4
1536646852,0,2
1536649547,0,1
1536652438,1,0
1536654946,0,1
1536655375,0,1
1536657304,1,0
1536658137,1,1
1536660874,1,0
1536662198,2,0
1536663403,3,0
1536664474,1,0
1536666035,2,1
1536667650,3,1
1536670593,1,0
1536671748,1,0
1536672975,1,0
1536674955,1,0
1536678878,0,1
1536682478,1,2
1536686187,2,1
1536687749,2,0
1536688603,0,2
1536689749,0,1
1536692135,0,3
1536696646,4,2
1536697878,2,0
1536699408,1,2
1536700474,0,1
1536701745,1,1
1536703010,1,0
1536705331,3,2
1536708537,2,0
1536710197,1,2
1536712551,2,6
1536713809,0,2
1536714968,1,0
1536718254,4,2
1536719457,3,3
1536720171,0,3
1536721004,1,0
1536723779,0,1
1536725448,2,1
1536726524,1,2
1536728746,0,2
1536729273,0,1
1536730123,1,0
1536730981,1,3
1536731801,0,1
1536732900,0,4
1536734052,0,1
1536738158,0,1
1536738997,0,1
1536740139,0,1
1536741753,2,2
1536745771,1,0
