DateTime,AddedIPs,RemovedIPs
1536701726,46,31
1536702982,33,10
1536704063,24,30
1536705318,30,56
1536706531,22,4
1536708507,51,25
1536710182,32,34
1536711328,21,25
1536712529,26,25
1536713780,22,4
1536714945,20,19
1536716540,33,24
1536718229,27,49
1536719427,25,30
1536720151,15,14
1536720985,23,2
1536722904,16,26
1536723763,19,51
1536725429,19,29
1536726509,30,4
1536727340,16,54
1536728721,38,27
1536729258,12,1
1536730106,13,3
1536730958,35,42
1536731781,24,2
1536732875,33,10
1536734009,37,25
1536735324,23,13
1536736462,25,15
1536737723,12,28
1536738140,7,3
1536738977,13,0
1536740118,14,108
1536741737,16,33
1536743142,21,17
1536744499,20,4
1536745737,15,34
1536747030,14,17
1536748269,18,33
1536749777,43,0
1536750932,30,39
1536752149,28,40
1536753323,32,11
1536754471,53,14
1536756978,72,59
1536758908,51,22
1536759744,18,20
1536761674,45,25
1536762510,11,2
1536763851,41,29
1536765262,30,31
1536766829,32,24
1536768873,50,56
1536770430,19,29
1536771923,32,29
1536772459,8,1
1536774012,15,30
1536774977,16,8
1536776912,50,22
1536778579,33,29
1536779667,14,14
1536781230,29,22
1536783271,18,19
1536784833,23,20
1536785790,11,2
1536786864,17,21
1536787700,7,1
1536789393,28,38
1536790523,45,13
1536791729,18,20
1536792922,21,12
1536794128,15,35
1536795738,46,22
1536797675,22,16
1536799182,23,26
1536800740,26,28
1536801266,13,0
1536802104,11,1
1536802947,11,25
1536804332,11,26
1536805722,16,4
1536806554,17,37
1536808469,27,22
1536809970,20,34
1536811175,11,36
1536812911,23,5
1536814579,19,48
1536815661,19,51
1536817232,25,31
1536818367,11,35
1536819631,35,6
1536820834,17,56
1536821791,26,8
1536822863,23,17
1536824540,31,35
1536825394,20,1
1536826464,22,25
1536827616,15,23
1536828987,17,16
1536830431,34,21
1536831737,39,48
1536832577,21,2
1536834509,39,23
1536836397,42,46
1536837619,23,5
1536838823,36,32
1536838938,1,4
1536840169,25,16
1536840855,14,1
1536841700,22,1
1536843654,42,73
1536845619,41,36
1536847818,31,34
1536848903,16,3
1536851658,45,47
1536852500,22,2
1536854950,54,69
1536856221,33,59
1536858321,30,38
1536858867,9,3
1536859699,13,0
1536860544,22,54
1536862461,31,35
1536864135,45,62
1536865516,33,30
1536866901,25,0
1536867738,9,44
1536869656,39,41
1536870502,10,2
1536871343,20,57
1536872723,17,18
1536874220,10,31
1536874942,10,2
1536876602,20,31
1536877701,8,1
1536879379,20,55
1536880523,14,21
1536882136,29,45
1536884058,39,29
1536884912,8,2
1536886520,14,32
1536887657,18,31
1536889003,9,32
1536890178,19,3
1536892107,24,42
1536893246,12,22
1536894858,13,25
1536896120,21,40
1536897379,7,12
1536898458,11,34
1536900025,38,36
1536901522,82,54
1536902059,8,0
1536902902,9,2
1536904523,45,64
1536905725,20,30
1536906500,15,1
1536908178,56,33
1536909314,25,27
1536910431,37,27
1536911791,40,10
1536912860,27,23
1536914080,31,34
1536914540,16,8
1536915714,24,23
1536916827,27,4
1536918920,80,25
1536920055,45,43
1536921735,43,61
1536923657,75,52
1536924496,24,2
1536926073,32,64
1536927319,35,40
1536928522,36,32
1536929778,24,16
1536930918,31,25
1536932127,44,38
1536934462,59,43
1536935295,19,1
1536936134,14,39
1536937523,33,31
1536939022,29,37
1536939739,14,9
1536941427,25,24
1536942500,18,6
1536943339,13,26
1536944724,17,34
1536945256,22,0
1536946945,71,52
1536948620,75,28
1536949825,24,29
1536951016,40,12
1536952221,43,14
1536953425,24,23
1536954979,41,4
1536956904,43,19
1536958519,25,35
1536959659,15,23
1536961219,23,48
1536963027,37,25
1536964105,19,1
1536966858,40,71
1536967702,5,4
1536970459,42,59
1536971718,19,31
1536972923,22,3
1536974913,23,31
1536975739,20,26
1536977427,21,23
1536978632,31,21
1536980724,35,30
1536982098,22,2
1536982942,10,29
1536984857,27,20
1536986537,31,23
1536987930,18,19
1536989118,21,1
1536990977,37,55
1536992898,37,42
1536993735,7,33
1536995120,21,40
1536995655,6,2
1536997345,49,39
1536999023,28,19
1537000938,25,22
1537001779,40,1
1537003701,26,23
1537005377,24,27
1537006516,13,35
1537007680,15,43
1537008863,15,17
1537010063,17,40
1537010897,14,1
1537011736,16,46
1537013423,29,51
1537015338,20,71
1537016724,35,48
1537018224,18,58
1537018935,9,18
1537019785,13,3
1537020854,21,16
1537022422,32,33
1537023376,8,3
1537024456,15,49
1537025302,16,3
1537026136,21,48
1537028055,38,24
1537029317,21,30
1537029736,5,13
1537031118,27,20
1537032318,10,1
1537033339,18,53
1537034175,14,2
1537035259,15,38
1537036517,24,30
1537036938,8,1
1537038859,42,32
1537040078,32,22
1537042221,64,32
1537043426,33,25
1537044932,37,18
