DateTime,Entries,UniqueIPs
1536701726,4911,4911
1536702982,4934,4934
1536704063,4928,4928
1536705318,4902,4902
1536706531,4920,4920
1536708507,4946,4946
1536710182,4944,4944
1536711328,4940,4940
1536712529,4941,4941
1536713780,4959,4959
1536714945,4960,4960
1536716540,4969,4969
1536718229,4947,4947
1536719427,4942,4942
1536720151,4943,4943
1536720985,4964,4964
1536722904,4954,4954
1536723763,4922,4922
1536725429,4912,4912
1536726509,4938,4938
1536727340,4900,4900
1536728721,4911,4911
1536729258,4922,4922
1536730106,4932,4932
1536730958,4925,4925
1536731781,4947,4947
1536732875,4970,4970
1536734009,4982,4982
1536735324,4992,4992
1536736462,5002,5002
1536737723,4986,4986
1536738140,4990,4990
1536738977,5003,5003
1536740118,4909,4909
1536741737,4892,4892
1536743142,4896,4896
1536744499,4912,4912
1536745737,4893,4893
1536747030,4890,4890
1536748269,4875,4875
1536749777,4918,4918
1536750932,4909,4909
1536752149,4897,4897
1536753323,4918,4918
1536754471,4957,4957
1536756978,4970,4970
1536758908,4999,4999
1536759744,4997,4997
1536761674,5017,5017
1536762510,5026,5026
1536763851,5038,5038
1536765262,5037,5037
1536766829,5045,5045
1536768873,5039,5039
1536770430,5029,5029
1536771923,5032,5032
1536772459,5039,5039
1536774012,5024,5024
1536774977,5032,5032
1536776912,5060,5060
1536778579,5064,5064
1536779667,5064,5064
1536781230,5071,5071
1536783271,5070,5070
1536784833,5073,5073
1536785790,5082,5082
1536786864,5078,5078
1536787700,5084,5084
1536789393,5074,5074
1536790523,5106,5106
1536791729,5104,5104
1536792922,5113,5113
1536794128,5093,5093
1536795738,5117,5117
1536797675,5123,5123
1536799182,5120,5120
1536800740,5118,5118
1536801266,5131,5131
1536802104,5141,5141
1536802947,5127,5127
1536804332,5112,5112
1536805722,5124,5124
1536806554,5104,5104
1536808469,5109,5109
1536809970,5095,5095
1536811175,5070,5070
1536812911,5088,5088
1536814579,5059,5059
1536815661,5027,5027
1536817232,5021,5021
1536818367,4997,4997
1536819631,5026,5026
1536820834,4987,4987
1536821791,5005,5005
1536822863,5011,5011
1536824540,5007,5007
1536825394,5026,5026
1536826464,5023,5023
1536827616,5015,5015
1536828987,5016,5016
1536830431,5029,5029
1536831737,5020,5020
1536832577,5039,5039
1536834509,5055,5055
1536836397,5051,5051
1536837619,5069,5069
1536838823,5073,5073
1536838938,5070,5070
1536840169,5079,5079
1536840855,5092,5092
1536841700,5113,5113
1536843654,5082,5082
1536845619,5087,5087
1536847818,5084,5084
1536848903,5097,5097
1536851658,5095,5095
1536852500,5115,5115
1536854950,5100,5100
1536856221,5074,5074
1536858321,5066,5066
1536858867,5072,5072
1536859699,5085,5085
1536860544,5053,5053
1536862461,5049,5049
1536864135,5032,5032
1536865516,5035,5035
1536866901,5060,5060
1536867738,5025,5025
1536869656,5023,5023
1536870502,5031,5031
1536871343,4994,4994
1536872723,4993,4993
1536874220,4972,4972
1536874942,4980,4980
1536876602,4969,4969
1536877701,4976,4976
1536879379,4941,4941
1536880523,4934,4934
1536882136,4918,4918
1536884058,4928,4928
1536884912,4934,4934
1536886520,4916,4916
1536887657,4903,4903
1536889003,4880,4880
1536890178,4896,4896
1536892107,4878,4878
1536893246,4868,4868
1536894858,4856,4856
1536896120,4837,4837
1536897379,4832,4832
1536898458,4809,4809
1536900025,4811,4811
1536901522,4839,4839
1536902059,4847,4847
1536902902,4854,4854
1536904523,4835,4835
1536905725,4825,4825
1536906500,4839,4839
1536908178,4862,4862
1536909314,4860,4860
1536910431,4870,4870
1536911791,4900,4900
1536912860,4904,4904
1536914080,4901,4901
