DateTime,AddedIPs,RemovedIPs
1536205944,20,19
1536207878,28,15
1536209784,12,11
1536211690,31,13
1536213636,27,11
1536215590,6,17
1536217464,12,22
1536219371,11,32
1536221320,19,0
1536223210,16,13
1536225154,12,22
1536227055,13,9
1536228977,4,8
1536230890,8,4
1536232833,17,12
1536234738,7,15
1536236689,29,17
1536238572,17,24
1536240507,25,15
1536242439,17,5
1536244343,17,21
1536246274,8,0
1536248188,9,9
1536250158,8,9
1536252008,5,0
1536254184,9,26
1536258019,1,32
1536259950,9,19
1536261854,30,13
1536263772,11,6
1536267644,9,24
1536269553,19,18
1536271456,11,5
1536273385,7,10
1536279864,27,20
1536281783,10,0
1536283699,12,5
1536285629,13,14
1536287560,31,9
1536289456,16,0
1536293296,21,7
1536295218,31,0
1536297146,29,4
1536299060,16,16
1536300996,15,10
1536302908,18,4
1536304811,5,10
1536306755,7,14
1536308658,6,14
1536310585,7,20
1536312496,10,19
1536314437,7,0
1536316340,10,7
1536320172,14,18
1536322111,7,11
1536324015,6,4
1536325940,6,6
1536327853,19,5
1536329790,18,8
1536331713,15,20
1536333632,12,12
1536335548,7,10
1536337700,18,22
1536339637,8,8
1536341545,7,23
1536343471,4,4
1536345375,12,5
1536347296,12,0
1536349215,11,0
1536351155,14,9
1536353059,19,5
1536354984,20,9
1536356913,14,23
1536358811,21,5
1536360742,19,22
1536362920,20,14
1536364832,13,8
1536368665,18,16
1536370571,18,15
1536372515,23,12
1536374415,21,7
1536376355,26,0
1536378254,21,13
1536380433,18,0
1536384275,22,21
1536386454,22,25
1536388355,29,29
1536390255,24,18
1536392201,17,12
1536394095,20,19
1536396032,24,18
1536397945,12,16
1536399862,5,10
1536401789,13,8
1536403702,12,11
1536405624,17,5
1536407547,33,0
1536409477,24,4
1536411394,28,14
1536413291,24,19
1536415256,10,29
1536417154,24,6
1536419071,26,12
1536420978,22,22
1536422961,20,21
1536425068,26,23
1536426991,21,9
1536428899,28,19
1536430829,26,7
1536432738,21,4
1536434672,25,10
1536436571,12,20
1536438510,20,16
1536440435,34,22
1536442354,18,16
1536444260,30,20
1536446176,21,16
1536448103,15,0
1536451957,28,24
1536453862,10,14
1536455799,2,21
1536457700,17,11
1536459634,27,9
1536461550,20,14
1536463454,23,16
1536465384,14,20
1536467310,25,11
1536469239,17,22
1536471139,27,20
1536473084,27,30
1536475229,28,20
1536477149,20,21
1536479055,26,0
1536480994,9,15
1536482899,13,24
1536484840,12,29
1536486745,7,9
1536488690,22,5
1536490571,13,5
1536492507,29,4
1536494470,19,4
1536496358,7,15
1536498266,10,18
1536500674,24,8
1536502580,3,10
1536504500,17,26
1536506409,17,0
1536508355,26,6
1536510275,21,11
1536514105,23,18
1536517950,12,32
1536519861,12,24
1536521785,13,17
1536523713,12,0
1536525619,5,15
1536527542,8,21
1536529467,16,22
1536531391,12,21
1536533298,21,10
1536535227,11,16
1536537135,9,15
1536539058,20,11
1536540983,12,7
1536542898,10,15
1536544833,9,16
1536546746,16,16
1536548675,21,16
1536550571,25,21
1536552493,13,22
1536554439,10,18
1536556331,18,25
1536558274,24,26
1536560184,15,11
1536562357,12,16
1536564267,21,20
1536566195,6,13
1536568091,22,16
1536570053,20,31
1536571953,6,6
1536573867,8,13
1536575772,9,9
1536577713,7,18
1536579626,8,19
1536581560,8,0
1536583458,25,17
1536585383,15,5
1536587310,18,14
1536589239,14,3
1536591154,12,14
1536593070,21,7
1536594991,8,2
1536596915,15,21
1536598849,4,24
1536600754,6,19
1536602664,17,0
1536604601,9,7
1536608435,9,29
1536610340,11,8
1536612257,12,22
1536616343,13,9
1536618253,26,10
1536621152,15,3
1536624990,12,20
1536626907,31,10
1536630735,12,31
1536632670,22,4
1536634571,14,5
1536636513,27,6
1536638440,10,10
1536640338,17,7
1536642275,16,21
1536644169,20,0
1536646111,22,27
1536648009,16,0
1536649960,19,0
1536651854,21,22
1536653793,11,9
1536655695,15,22
1536657640,7,17
1536659535,10,0
1536661466,15,7
1536663375,13,4
1536665306,11,0
1536667264,30,19
1536669146,16,14
1536671061,13,20
1536672995,22,14
1536674914,14,12
1536676828,5,20
1536678997,4,4
1536680913,11,28
1536682829,18,10
1536684737,15,0
1536686683,19,0
1536688590,8,11
1536692429,8,0
1536694341,9,11
1536696275,10,19
1536698183,11,10
