DateTime,Entries,UniqueIPs
1536205944,4525,4611
1536207878,4538,4624
1536209784,4540,4625
1536211690,4558,4643
1536213636,4574,4659
1536215590,4563,4648
1536217464,4553,4638
1536219371,4533,4617
1536221320,4552,4636
1536223210,4555,4639
1536225154,4545,4629
1536227055,4548,4633
1536228977,4544,4629
1536230890,4548,4633
1536232833,4553,4638
1536234738,4545,4630
1536236689,4557,4642
1536238572,4549,4635
1536240507,4558,4645
1536242439,4569,4657
1536244343,4565,4653
1536246274,4573,4661
1536248188,4573,4661
1536250158,4572,4660
1536252008,4577,4665
1536254184,4562,4648
1536258019,4532,4617
1536259950,4523,4607
1536261854,4539,4624
1536263772,4544,4629
1536267644,4530,4614
1536269553,4532,4615
1536271456,4537,4621
1536273385,4534,4618
1536279864,4540,4625
1536281783,4550,4635
1536283699,4557,4642
1536285629,4556,4641
1536287560,4578,4663
1536289456,4594,4679
1536293296,4608,4693
1536295218,4637,4724
1536297146,4662,4749
1536299060,4661,4749
1536300996,4666,4754
1536302908,4680,4768
1536304811,4675,4763
1536306755,4669,4756
1536308658,4661,4748
1536310585,4648,4735
1536312496,4639,4726
1536314437,4646,4733
1536316340,4649,4736
1536320172,4646,4732
1536322111,4642,4728
1536324015,4644,4730
1536325940,4644,4730
1536327853,4658,4744
1536329790,4667,4754
1536331713,4662,4749
1536333632,4662,4749
1536335548,4659,4746
1536337700,4655,4742
1536339637,4655,4742
1536341545,4639,4726
1536343471,4639,4726
1536345375,4646,4733
1536347296,4658,4745
1536349215,4669,4756
1536351155,4674,4761
1536353059,4687,4775
1536354984,4698,4786
1536356913,4688,4777
1536358811,4704,4793
1536360742,4701,4790
1536362920,4709,4796
1536364832,4714,4801
1536368665,4716,4803
1536370571,4719,4806
1536372515,4728,4817
1536374415,4742,4831
1536376355,4767,4857
1536378254,4775,4865
1536380433,4793,4883
1536384275,4793,4884
1536386454,4788,4881
1536388355,4786,4881
1536390255,4791,4887
1536392201,4795,4892
1536394095,4797,4893
1536396032,4803,4899
1536397945,4799,4895
1536399862,4794,4890
1536401789,4799,4895
1536403702,4801,4896
1536405624,4814,4908
1536407547,4845,4941
1536409477,4865,4961
1536411394,4880,4975
1536413291,4885,4980
1536415256,4867,4961
1536417154,4885,4979
1536419071,4900,4993
1536420978,4901,4993
1536422961,4900,4992
1536425068,4903,4995
1536426991,4913,5007
1536428899,4924,5016
1536430829,4942,5035
1536432738,4959,5052
1536434672,4974,5067
1536436571,4966,5059
1536438510,4969,5063
1536440435,4981,5075
1536442354,4986,5077
1536444260,4996,5087
1536446176,5001,5092
1536448103,5015,5107
1536451957,5019,5111
1536453862,5019,5107
1536455799,5001,5088
1536457700,5006,5094
1536459634,5022,5112
1536461550,5025,5118
1536463454,5034,5125
1536465384,5028,5119
1536467310,5041,5133
1536469239,5036,5128
1536471139,5043,5135
1536473084,5039,5132
1536475229,5047,5140
1536477149,5045,5139
