DateTime,AddedIPs,RemovedIPs
1536205944,43,42
1536207878,65,46
1536209784,30,67
1536211690,60,31
1536213636,58,57
1536215590,38,61
1536217464,42,35
1536219371,46,41
1536221320,36,46
1536223210,52,38
1536225154,27,51
1536227055,22,29
1536228977,20,21
1536230890,25,20
1536232833,55,28
1536234738,14,53
1536236689,63,14
1536238572,38,59
1536240507,56,40
1536242439,38,56
1536244343,32,40
1536246274,19,29
1536248188,29,19
1536250158,22,29
1536252008,23,23
1536254184,22,23
1536258019,2,26
1536259950,24,2
1536261854,53,20
1536263772,28,55
1536267644,16,30
1536269553,47,14
1536271456,25,42
1536273385,22,28
1536279864,62,23
1536281783,45,58
1536283699,33,48
1536285629,61,32
1536287560,61,61
1536289456,48,45
1536293296,51,57
1536295218,53,50
1536297146,58,58
1536299060,49,61
1536300996,34,52
1536302908,48,29
1536304811,19,48
1536306755,16,25
1536308658,18,17
1536310585,16,17
1536312496,26,17
1536314437,17,26
1536316340,31,16
1536320172,30,30
1536322111,29,27
1536324015,20,25
1536325940,18,22
1536327853,49,21
1536329790,36,50
1536331713,42,32
1536333632,26,46
1536335548,19,25
1536337700,54,22
1536339637,22,53
1536341545,24,21
1536343471,22,22
1536345375,39,23
1536347296,31,39
1536349215,29,32
1536351155,34,26
1536353059,61,35
1536354984,45,62
1536356913,33,49
1536358811,42,32
1536360742,44,41
1536362920,51,41
1536364832,41,49
1536368665,50,40
1536370571,55,50
1536372515,53,54
1536374415,56,58
1536376355,60,57
1536378254,55,52
1536380433,58,61
1536384275,63,56
1536386454,45,62
1536388355,61,48
1536390255,58,62
1536392201,52,53
1536394095,56,57
1536396032,41,57
1536397945,26,42
1536399862,30,27
1536401789,23,30
1536403702,43,24
1536405624,41,41
1536407547,59,38
1536409477,58,59
1536411394,63,59
1536413291,57,63
1536415256,33,54
1536417154,53,37
1536419071,52,53
1536420978,36,51
1536422961,49,36
1536425068,58,51
1536426991,52,56
1536428899,57,53
1536430829,53,58
1536432738,59,52
1536434672,54,60
1536436571,29,53
1536438510,45,30
1536440435,62,43
1536442354,45,61
1536444260,61,48
1536446176,47,60
1536448103,48,43
1536451957,47,52
1536453862,37,47
1536455799,19,37
1536457700,44,18
1536459634,61,44
1536461550,55,58
1536463454,39,62
1536465384,41,35
1536467310,58,40
1536469239,45,58
1536471139,58,44
1536473084,51,56
1536475229,61,52
1536477149,51,65
