DateTime,Entries,UniqueIPs
1536865941,32768,32768
1536866893,32793,32793
1536867880,32774,32774
1536868834,32770,32770
1536869786,32788,32788
1536870746,32759,32759
1536871964,32784,32784
1536872895,32820,32820
1536873860,32851,32851
1536874817,32913,32913
1536875794,32925,32925
1536876734,32838,32838
1536877698,32778,32778
1536878661,32751,32751
1536879682,32739,32739
1536880807,32744,32744
1536881789,32713,32713
1536882731,32699,32699
1536883957,32491,32491
1536884892,32504,32504
1536885856,32522,32522
1536886832,32509,32509
1536887783,32675,32675
1536888743,32661,32661
1536889692,32687,32687
1536890683,32471,32471
1536891609,32642,32642
1536892571,32634,32634
1536893553,32417,32417
1536894494,32614,32614
1536895457,32438,32438
1536896419,32458,32458
1536897390,32619,32619
1536898334,32589,32589
1536899295,32394,32394
1536900276,32445,32445
1536901224,32628,32628
1536902177,32670,32670
1536903164,32565,32565
1536904093,32724,32724
1536905060,32379,32379
1536906026,32384,32384
1536906999,32330,32330
1536907934,32505,32505
1536909170,32374,32374
1536910096,32376,32376
1536911057,32550,32550
1536912028,32567,32567
1536913000,32377,32377
1536913943,32556,32556
1536914913,32350,32350
1536915880,32341,32341
1536916835,32331,32331
1536917802,32356,32356
1536918771,32327,32327
1536919704,32525,32525
1536920655,32437,32437
1536921612,32114,32114
1536922593,32088,32088
1536923535,32084,32084
1536924495,32060,32060
1536925470,32086,32086
1536926473,32077,32077
1536927631,32032,32032
1536928598,32078,32078
1536929543,32087,32087
1536930506,32143,32143
1536931456,32187,32187
1536932431,32176,32176
1536933389,32207,32207
1536934341,32272,32272
1536935289,32287,32287
1536936276,32349,32349
1536937222,32395,32395
1536938198,32459,32459
1536939380,32492,32492
1536940360,32531,32531
1536941348,32537,32537
1536942269,32532,32532
1536943214,32558,32558
1536944187,32549,32549
1536945132,32553,32553
1536946104,32564,32564
1536947062,32580,32580
1536948018,32594,32594
1536948993,32621,32621
1536949950,32653,32653
1536950901,32640,32640
1536951857,33822,33822
1536952818,33878,33878
1536953801,33877,33877
1536954738,33909,33909
1536955725,33876,33876
1536956666,33865,33865
1536957612,33855,33855
1536958580,33826,33826
1536959548,33807,33807
1536960496,33818,33818
1536961472,33773,33773
1536962439,33765,33765
1536963402,33786,33786
1536964356,33806,33806
1536965336,33855,33855
1536966261,33820,33820
1536967463,33808,33808
1536968421,33752,33752
1536969396,33750,33750
1536970337,33946,33946
1536971302,33782,33782
1536972264,33805,33805
1536973244,33784,33784
1536974196,33815,33815
1536975146,33786,33786
1536976094,33757,33757
1536977090,33731,33731
1536978013,33728,33728
1536978988,33716,33716
1536979951,33875,33875
1536980929,33713,33713
1536981874,33730,33730
1536982823,33702,33702
1536983774,33836,33836
1536984748,33716,33716
1536985710,33659,33659
1536986659,33784,33784
1536987623,33697,33697
1536988599,33591,33591
1536989539,33757,33757
1536990497,33662,33662
1536991703,33635,33635
1536992663,33613,33613
1536993615,33538,33538
1536994594,33491,33491
1536995538,33660,33660
1536996506,33429,33429
1536997457,33557,33557
1536998440,33346,33346
1536999391,33530,33530
1537000355,33300,33300
1537001300,33473,33473
1537002272,33466,33466
1537003214,33444,33444
1537004199,33442,33442
1537005136,33414,33414
1537006099,33370,33370
1537007056,33106,33106
1537008034,33117,33117
1537008976,33332,33332
1537009950,33085,33085
1537010891,33263,33263
1537011867,33298,33298
1537012872,33295,33295
1537013831,33284,33284
1537014995,33303,33303
1537015965,33055,33055
1537016899,33227,33227
1537017865,32976,32976
