DateTime,AddedIPs,RemovedIPs
1536865941,86,92
1536866893,91,87
1536867880,76,70
1536868834,72,81
1536869786,102,85
1536870746,86,80
1536871964,107,155
1536872895,100,13
1536873860,114,156
1536874817,109,85
1536875794,91,158
1536876734,58,4
1536877698,69,143
1536878661,64,74
1536879682,87,83
1536880807,100,113
1536881789,71,11
1536882731,78,13
1536883957,81,171
1536884892,78,76
1536885856,80,107
1536886832,83,78
1536887783,79,81
1536888743,64,69
1536889692,77,91
1536890683,64,88
1536891609,66,79
1536892571,55,59
1536893553,63,75
1536894494,68,78
1536895457,75,74
1536896419,66,79
1536897390,55,76
1536898334,70,87
1536899295,65,83
1536900276,95,69
1536901224,86,100
1536902177,64,79
1536903164,89,76
1536904093,78,71
1536905060,32,62
1536906026,95,76
1536906999,67,34
1536907934,69,49
1536909170,73,42
1536910096,69,33
1536911057,69,82
1536912028,87,70
1536913000,62,91
1536913943,76,94
1536914913,62,74
1536915880,68,84
1536916835,63,93
1536917802,82,91
1536918771,68,70
1536919704,67,87
1536920655,85,78
1536921612,67,66
1536922593,76,78
1536923535,84,95
1536924495,86,63
1536925470,72,69
1536926473,69,58
1536927631,89,91
1536928598,93,63
1536929543,81,74
1536930506,88,72
1536931456,74,78
1536932431,70,67
1536933389,71,78
1536934341,82,85
1536935289,70,67
1536936276,92,61
1536937222,106,69
1536938198,83,83
1536939380,90,156
1536940360,64,3
1536941348,65,76
1536942269,69,68
1536943214,75,83
1536944187,90,60
1536945132,80,73
1536946104,76,79
1536947062,87,95
1536948018,78,69
1536948993,94,85
1536949950,75,73
1536950901,72,65
1536951857,1384,117
1536952818,102,83
1536953801,73,56
1536954738,90,71
1536955725,79,77
1536956666,77,85
1536957612,86,71
1536958580,73,65
1536959548,86,90
1536960496,94,73
1536961472,84,75
1536962439,76,63
1536963402,80,73
1536964356,64,65
1536965336,69,66
1536966261,70,80
1536967463,87,78
1536968421,66,79
1536969396,77,83
1536970337,99,87
1536971302,81,98
1536972264,72,84
1536973244,86,73
1536974196,108,79
1536975146,59,88
1536976094,63,69
1536977090,75,66
1536978013,68,49
1536978988,57,70
1536979951,68,76
1536980929,58,57
1536981874,72,67
1536982823,58,61
1536983774,52,65
1536984748,74,79
1536985710,61,50
1536986659,41,7
1536987623,32,65
1536988599,94,101
1536989539,59,4
1536990497,60,77
1536991703,58,95
1536992663,48,4
1536993615,64,138
1536994594,55,46
1536995538,55,6
1536996506,65,89
1536997457,46,71
1536998440,52,113
1536999391,73,13
1537000355,68,160
1537001300,76,76
1537002272,55,6
1537003214,77,122
1537004199,63,67
1537005136,42,3
1537006099,67,177
1537007056,62,78
1537008034,77,66
1537008976,78,10
1537009950,70,166
1537010891,45,1
1537011867,78,97
1537012872,80,143
1537013831,67,82
1537014995,68,76
1537015965,53,67
1537016899,64,88
1537017865,63,70
1537018816,71,89
1537019794,69,89
