DateTime,Entries,UniqueIPs
1536865941,3523,3523
1536866893,3520,3520
1536867880,3533,3533
1536868834,3521,3521
1536869786,3523,3523
1536870746,3515,3515
1536871964,3529,3529
1536872895,3538,3538
1536873860,3527,3527
1536874817,3537,3537
1536875794,3511,3511
1536876734,3517,3517
1536877698,3509,3509
1536878661,3493,3493
1536879682,3484,3484
1536880807,3471,3471
1536881789,3461,3461
1536882731,3447,3447
1536883957,3429,3429
1536884892,3401,3401
1536885856,3385,3385
1536886832,3378,3378
1536887783,3384,3384
1536888743,3364,3364
1536889692,3358,3358
1536890683,3369,3369
1536891609,3353,3353
1536892571,3342,3342
1536893553,3316,3316
1536894494,3319,3319
1536895457,3314,3314
1536896419,3322,3322
1536897390,3307,3307
1536898334,3336,3336
1536899295,3323,3323
1536900276,3318,3318
1536901224,3331,3331
1536902177,3322,3322
1536903164,3327,3327
1536904093,3336,3336
1536905060,3346,3346
1536906026,3349,3349
1536906999,3343,3343
1536907934,3285,3285
1536909170,3297,3297
1536910096,3282,3282
1536911057,3275,3275
1536912028,3314,3314
1536913000,3297,3297
1536913943,3255,3255
1536914913,3273,3273
1536915880,3280,3280
1536916835,3272,3272
1536917802,3257,3257
1536918771,3270,3270
1536919704,3277,3277
1536920655,3280,3280
1536921612,3295,3295
1536922593,3296,3296
1536923535,3307,3307
1536924495,3317,3317
1536925470,3322,3322
1536926473,3310,3310
1536927631,3313,3313
1536928598,3312,3312
1536929543,3318,3318
1536930506,3337,3337
1536931456,3332,3332
1536932431,3312,3312
1536933389,3298,3298
1536934341,3286,3286
1536935289,3315,3315
1536936276,3318,3318
1536937222,3297,3297
1536938198,3300,3300
1536939380,3309,3309
1536940360,3308,3308
1536941348,3306,3306
1536942269,3303,3303
1536943214,3271,3271
1536944187,3253,3253
1536945132,3242,3242
1536946104,3248,3248
1536947062,3244,3244
1536948018,3240,3240
1536948993,3249,3249
1536949950,3225,3225
1536950901,3236,3236
1536951857,3311,3311
1536952818,3248,3248
1536953801,3259,3259
1536954738,3264,3264
1536955725,3266,3266
1536956666,3275,3275
1536957612,3264,3264
1536958580,3274,3274
1536959548,3271,3271
1536960496,3265,3265
1536961472,3278,3278
1536962439,3272,3272
1536963402,3281,3281
1536964356,3274,3274
1536965336,3267,3267
1536966261,3262,3262
1536967463,3252,3252
1536968421,3233,3233
1536969396,3221,3221
1536970337,3217,3217
1536971302,3200,3200
1536972264,3194,3194
1536973244,3174,3174
1536974196,3188,3188
1536975146,3159,3159
1536976094,3184,3184
1536977090,3196,3196
1536978013,3188,3188
1536978988,3172,3172
1536979951,3187,3187
1536980929,3193,3193
1536981874,3188,3188
1536982823,3190,3190
1536983774,3191,3191
1536984748,3197,3197
1536985710,3201,3201
1536986659,3202,3202
1536987623,3210,3210
1536988599,3277,3277
1536989539,3203,3203
1536990497,3217,3217
1536991703,3210,3210
1536992663,3187,3187
1536993615,3205,3205
1536994594,3194,3194
1536995538,3220,3220
1536996506,3208,3208
1536997457,3201,3201
1536998440,3211,3211
1536999391,3252,3252
1537000355,3215,3215
1537001300,3238,3238
1537002272,3253,3253
1537003214,3240,3240
1537004199,3241,3241
1537005136,3261,3261
1537006099,3257,3257
1537007056,3291,3291
1537008034,3311,3311
1537008976,3296,3296
1537009950,3294,3294
1537010891,3312,3312
1537011867,3298,3298
1537012872,3317,3317
1537013831,3322,3322
1537014995,3325,3325
1537015965,3339,3339
1537016899,3349,3349
1537017865,3345,3345
1537018816,3337,3337
1537019794,3353,3353
1537020737,3365,3365
1537021699,3376,3376
1537022658,3354,3354
1537023641,3349,3349
1537024588,3361,3361
1537025550,3351,3351
1537026495,3360,3360
1537027528,3357,3357
1537029167,3325,3325
1537030122,3324,3324
1537031062,3312,3312
1537032022,3282,3282
1537032991,3265,3265
1537033932,3255,3255
1537034896,3248,3248
1537035853,3241,3241
1537036817,3246,3246
1537037792,3218,3218
1537038744,3218,3218
1537039694,3220,3220
1537040675,3215,3215
1537041651,3199,3199
1537042584,3203,3203
1537043542,3180,3180
1537044519,3192,3192
1537045460,3183,3183
1537046424,3189,3189
1537047388,3178,3178
1537048339,3148,3148
1537049317,3160,3160
1537050258,3160,3160
1537051216,3158,3158
1537052190,3145,3145
1537053145,3148,3148
1537054100,3133,3133
1537055060,3115,3115
