DateTime,Entries,UniqueIPs
1536865938,3307,3360
1536866890,3311,3365
1536867877,3312,3366
1536868832,3306,3360
1536869784,3313,3367
1536870744,3306,3360
1536871961,3314,3369
1536872893,3324,3380
1536873857,3335,3391
1536874815,3333,3389
1536875792,3345,3401
1536876732,3331,3387
1536877696,3324,3380
1536878658,3324,3380
1536879680,3325,3381
1536880805,3324,3381
1536881787,3332,3390
1536882729,3352,3410
1536883955,3322,3380
1536884890,3319,3377
1536885853,3309,3367
1536886830,3330,3388
1536887781,3357,3416
1536888741,3369,3428
1536889690,3377,3436
1536890681,3362,3421
1536891608,3379,3438
1536892569,3379,3438
1536893551,3366,3424
1536894493,3383,3441
1536895456,3400,3459
1536896417,3419,3478
1536897388,3437,3497
1536898333,3459,3519
1536899293,3476,3536
1536900273,3511,3571
1536901222,3533,3593
1536902175,3553,3613
1536903161,3577,3637
1536904091,3591,3651
1536905058,3595,3655
1536906023,3631,3691
1536906997,3658,3718
1536907931,3676,3736
1536909167,3701,3762
1536910094,3715,3777
1536911055,3733,3795
1536912025,3743,3805
1536912998,3742,3804
1536913941,3760,3822
1536914910,3734,3796
1536915878,3728,3790
1536916833,3716,3778
1536917800,3728,3790
1536918769,3692,3754
1536919702,3706,3768
1536920653,3575,3635
1536921610,3475,3535
1536922591,3467,3527
1536923533,3456,3515
1536924493,3450,3509
1536925468,3449,3508
1536926470,3452,3511
1536927627,3451,3510
1536928596,3459,3518
1536929540,3463,3522
1536930505,3464,3523
1536931453,3465,3524
1536932415,3476,3534
1536933387,3483,3539
1536934339,3482,3538
1536935287,3481,3535
1536936273,3479,3533
1536937220,3476,3531
1536938196,3478,3534
1536939378,3471,3527
1536940358,3468,3524
1536941345,3462,3495
1536942267,3442,3464
1536943212,3422,3440
1536944184,3407,3424
1536945130,3383,3400
1536946101,3372,3387
1536947060,3374,3390
1536948016,3376,3393
1536948991,3365,3382
1536949948,3365,3382
1536950900,3374,3391
1536951855,3364,3381
1536952815,3376,3394
1536953799,3379,3397
1536954735,3386,3404
1536955723,3372,3391
1536956664,3368,3387
1536957609,3371,3391
1536958578,3371,3393
1536959546,3358,3381
1536960493,3373,3396
1536961469,3358,3381
1536962437,3356,3379
1536963400,3349,3372
1536964354,3340,3363
1536965334,3322,3346
1536966259,3319,3344
1536967461,3319,3345
1536968419,3302,3329
1536969394,3290,3320
1536970335,3326,3357
1536971300,3293,3325
1536972261,3282,3316
1536973241,3293,3327
1536974194,3303,3338
1536975144,3296,3331
1536976092,3294,3329
1536977088,3287,3324
1536978011,3276,3313
1536978986,3264,3301
1536979949,3296,3333
1536980927,3279,3316
1536981872,3287,3326
1536982821,3279,3318
1536983773,3302,3341
1536984745,3287,3326
1536985708,3273,3312
1536986656,3285,3324
1536987621,3273,3312
1536988597,3272,3311
1536989537,3290,3330
1536990495,3298,3339
1536991701,3278,3319
1536992661,3265,3306
1536993613,3231,3273
1536994592,3210,3253
1536995535,3232,3275
1536996503,3203,3247
1536997454,3219,3268
1536998438,3196,3245
1536999388,3220,3269
1537000352,3185,3234
1537001298,3213,3262
1537002270,3212,3261
1537003211,3210,3259
1537004197,3204,3254
1537005133,3197,3248
1537006097,3190,3242
1537007053,3170,3222
1537008032,3173,3225
1537008974,3194,3246
1537009946,3179,3231
1537010889,3191,3243
1537011865,3202,3254
1537012869,3210,3262
1537013829,3203,3257
1537014993,3208,3262
1537015963,3194,3248
1537016896,3208,3262
1537017863,3171,3225
1537018814,3189,3243
1537019792,3157,3211
1537020735,3172,3226
1537021697,3153,3207
1537022655,3161,3215
1537023639,3134,3187
1537024586,3147,3200
1537025548,3141,3194
1537026493,3142,3195
1537027526,3141,3191
1537029165,3103,3149
1537030119,3081,3126
1537031059,3073,3118
1537032020,3073,3118
1537032989,3064,3107
1537033929,3056,3099
1537034895,3043,3086
1537035851,3036,3079
1537036815,3027,3070
1537037790,3017,3060
1537038742,3012,3055
1537039692,3004,3047
1537040673,3001,3044
1537041649,2996,3039
1537042581,2992,3035
1537043540,2987,3030
1537044516,2979,3022
1537045458,2974,3017
1537046421,2962,3005
1537047386,2951,2993
1537048336,2950,2992
1537049316,2950,2992
1537050255,2931,2973
1537051214,2926,2968
1537052188,2921,2963
1537053143,2891,2933
1537054098,2883,2925
1537055057,2873,2915
1537056034,2863,2904
1537056989,2843,2884
1537057939,2823,2864
1537058899,2803,2844
1537059878,2789,2830
1537060811,2805,2846
1537061783,2805,2846
1537062737,2809,2850
1537063717,2802,2843
1537064653,2795,2836
1537065614,2783,2825
1537066592,2787,2829
1537067532,2782,2824
1537068498,2780,2822
1537069471,2772,2814
1537070429,2776,2818
1537071380,2769,2811
1537072343,2765,2807
1537073293,2759,2801
1537074280,2759,2801
1537075210,2753,2795
1537076184,2745,2787
1537077149,2743,2785
1537078113,2714,2755
1537079065,2717,2758
1537080028,2718,2759
1537080987,2733,2774
1537081955,2702,2742
1537082896,2713,2753
1537083857,2696,2736
1537084822,2708,2748
1537085785,2714,2754
1537086752,2709,2749
1537087706,2707,2747
1537088673,2701,2741
1537089635,2698,2738
1537090597,2718,2758
1537091776,2700,2740
1537092739,2699,2739
1537093700,2701,2741
1537094673,2680,2720
1537095626,2686,2726
1537096587,2684,2724
1537097541,2678,2718
1537098514,2679,2719
1537099468,2682,2722
1537100417,2682,2722
1537101388,2702,2742
1537102339,2696,2736
1537103329,2674,2714
1537104255,2689,2729
1537105215,2674,2714
1537106190,2687,2727
1537107162,2672,2712
1537108092,2690,2730
1537109071,2659,2698
1537110026,2673,2712
1537110985,2675,2714
1537111959,2659,2697
1537112897,2653,2691
1537113865,2670,2708
1537114823,2638,2665
1537115794,2629,2644
1537116753,2619,2631
1537117696,2591,2603
1537118655,2570,2581
1537119608,2554,2565
1537120591,2544,2554
1537121536,2542,2550
1537122489,2529,2537
1537123451,2521,2527
1537124457,2514,2519
1537125381,2510,2515
1537126344,2501,2506
1537127294,2476,2481
1537128295,2468,2473
1537129453,2464,2469
1537130410,2473,2477
1537131387,2465,2469
1537132334,2459,2463
1537133293,2447,2451
1537134269,2447,2451
1537135234,2442,2446
1537136197,2442,2446
1537137139,2439,2443
1537138115,2438,2442
1537139056,2435,2439
1537140019,2422,2425
1537141004,2403,2405
1537142177,2392,2394
1537143141,2382,2384
1537144097,2376,2378
1537145056,2366,2368
1537146049,2350,2352
1537146984,2327,2329
1537147942,2319,2321
1537148909,2301,2303
1537149858,2295,2297
1537150815,2280,2282
1537152058,2243,2245
1537152969,2261,2263
1537153946,2242,2243
1537154889,2254,2255
1537155881,2210,2211
1537156826,2221,2222
1537157785,2202,2203
1537158737,2216,2217
1537159718,2220,2221
1537160670,2236,2237
1537161625,2215,2216
1537162583,2227,2229
1537163549,2227,2229
1537164497,2235,2237
1537165463,2240,2242
1537166418,2235,2237
1537167391,2216,2218
1537168341,2231,2233
1537169294,2227,2229
1537170256,2218,2220
1537171249,2207,2209
1537172191,2217,2219
1537173156,2222,2224
1537174092,2236,2238
1537175080,2220,2222
1537176019,2233,2235
1537176983,2233,2235
1537177941,2219,2221
1537178917,2219,2221
1537179866,2225,2227
1537180825,2214,2216
1537181776,2224,2226
1537182747,2206,2208
1537183691,2228,2231
1537184659,2216,2219
1537185663,2222,2225
1537186607,2224,2227
1537187554,2227,2230
1537188502,2220,2223
1537189468,2219,2222
1537190438,2214,2217
1537191385,2212,2216
1537192342,2208,2212
1537193308,2211,2214
1537194528,2217,2220
1537195696,2217,2220
1537196666,2222,2225
1537197613,2234,2237
1537198587,2243,2246
1537199555,2240,2243
1537200546,2232,2235
1537201459,2250,2252
1537202417,2249,2251
1537203377,2259,2261
1537204341,2251,2253
1537205288,2258,2260
1537206262,2248,2251
1537207219,2247,2250
1537208199,2249,2252
1537209137,2242,2245
1537210103,2241,2244
1537211079,2241,2244
1537212016,2253,2256
1537212982,2257,2260
1537213943,2252,2255
1537214898,2247,2250
1537215856,2258,2261
1537216811,2259,2262
1537217795,2265,2268
1537218734,2275,2278
1537219700,2263,2266
1537220672,2268,2271
1537221638,2277,2281
1537222580,2298,2302
1537223542,2285,2289
1537224741,2288,2292
1537225694,2281,2285
1537226653,2286,2290
1537227619,2266,2270
1537228573,2282,2286
1537229547,2266,2270
1537231009,2262,2266
1537231931,2247,2251
1537232912,2226,2231
1537233886,2224,2229
1537234814,2220,2225
1537235776,2226,2231
1537236735,2226,2231
1537237692,2229,2234
1537238676,2238,2243
1537239624,2250,2255
1537240585,2235,2240
1537241539,2242,2247
1537242492,2237,2242
1537243477,2230,2235
1537244409,2230,2235
1537245373,2234,2239
1537246355,2242,2247
1537247294,2225,2230
1537248252,2241,2246
1537249216,2235,2240
1537250194,2237,2242
1537251134,2229,2234
1537252092,2233,2238
1537253082,2231,2236
1537254032,2236,2241
1537254983,2253,2258
1537255940,2252,2257
1537256898,2254,2259
1537257859,2255,2260
1537258826,2252,2257
1537259783,2273,2278
1537260748,2293,2298
1537261695,2305,2310
1537262653,2318,2323
1537263618,2324,2329
1537264582,2326,2331
1537265538,2327,2332
1537266499,2326,2331
1537267476,2315,2320
1537268437,2311,2316
1537269383,2318,2323
1537270583,2317,2322
1537271538,2311,2316
1537272507,2302,2307
1537273464,2297,2302
1537274411,2294,2299
1537275388,2298,2303
1537276358,2294,2299
1537277541,2303,2308
1537278506,2288,2293
1537279466,2283,2288
1537280416,2280,2285
1537281375,2284,2289
1537282330,2277,2282
1537283307,2277,2282
1537284268,2272,2277
1537285235,2264,2269
1537286185,2262,2267
1537287184,2269,2274
1537288377,2264,2269
1537289537,2264,2269
1537290512,2264,2269
1537291453,2269,2274
1537292428,2264,2269
1537293371,2264,2269
1537294345,2267,2272
1537295290,2264,2269
1537296287,2268,2273
1537297217,2269,2274
1537298177,2277,2282
1537299159,2278,2283
1537300102,2286,2291
1537301065,2282,2287
1537302021,2279,2284
1537302990,2278,2283
1537303947,2273,2278
1537304907,2275,2280
1537305865,2281,2286
1537306810,2279,2284
1537307788,2279,2284
1537308754,2274,2279
1537309691,2279,2284
1537310660,2276,2282
1537311639,2283,2289
1537312584,2280,2286
1537313544,2285,2291
1537314490,2290,2296
1537315483,2269,2275
1537316651,2269,2275
1537317610,2264,2270
1537318605,2267,2273
1537319533,2266,2272
1537320494,2267,2274
1537321471,2250,2256
1537322416,2250,2255
1537323377,2247,2252
1537324347,2242,2247
1537325292,2248,2253
1537326278,2241,2246
1537327207,2237,2242
1537328170,2234,2239
1537329153,2223,2228
1537330093,2217,2222
1537331055,2208,2213
1537332018,2184,2189
1537332987,2181,2186
1537333932,2175,2180
1537334892,2175,2181
1537335871,2177,2183
1537336821,2166,2172
1537337779,2172,2178
1537338824,2174,2180
1537339926,2190,2196
1537340895,2189,2195
1537341863,2197,2203
1537342811,2199,2206
1537343779,2206,2213
1537344741,2205,2212
1537346051,2200,2207
1537347135,2214,2221
1537348356,2211,2218
1537349295,2201,2208
1537350269,2205,2211
1537351214,2214,2220
1537352193,2231,2237
