DateTime,AddedIPs,RemovedIPs
1536865938,18,31
1536866890,17,16
1536867877,20,18
1536868832,13,18
1536869784,25,25
1536870744,16,24
1536871961,29,19
1536872893,25,16
1536873857,24,22
1536874815,13,13
1536875792,29,35
1536876732,8,20
1536877696,18,24
1536878658,14,26
1536879680,21,29
1536880805,27,25
1536881787,25,36
1536882729,39,39
1536883955,32,40
1536884890,25,44
1536885853,28,25
1536886830,38,36
1536887781,28,36
1536888741,26,26
1536889690,22,28
1536890681,16,22
1536891608,17,34
1536892569,23,31
1536893551,18,25
1536894493,17,10
1536895456,18,22
1536896417,19,15
1536897388,19,22
1536898333,22,16
1536899293,17,27
1536900273,35,26
1536901222,22,21
1536902175,20,21
1536903161,24,15
1536904091,14,7
1536905058,4,12
1536906023,36,27
1536906997,27,34
1536907931,18,60
1536909167,26,38
1536910094,17,22
1536911055,18,22
1536912025,22,8
1536912998,13,34
1536913941,18,27
1536914910,12,18
1536915878,16,16
1536916833,11,19
1536917800,25,29
1536918769,27,17
1536919702,14,29
1536920653,22,11
1536921610,16,25
1536922591,26,17
1536923533,22,16
1536924493,15,15
1536925468,16,12
1536926470,20,20
1536927627,13,18
1536928596,24,13
1536929540,18,19
1536930505,20,16
1536931453,15,20
1536932415,22,30
1536933387,16,33
1536934339,15,20
1536935287,11,9
1536936273,18,16
1536937220,14,30
1536938196,12,14
1536939378,22,15
1536940358,10,14
1536941345,14,17
1536942267,13,34
1536943212,13,31
1536944184,21,35
1536945130,13,18
1536946101,10,12
1536947060,23,23
1536948016,17,20
1536948991,16,27
1536949948,21,21
1536950900,25,19
1536951855,21,22
1536952815,29,16
1536953799,21,15
1536954735,25,14
1536955723,12,17
1536956664,20,12
1536957609,23,21
1536958578,18,19
1536959546,10,12
1536960493,28,22
1536961469,20,19
1536962437,18,15
1536963400,17,15
1536964354,17,25
1536965334,12,17
1536966259,23,23
1536967461,37,39
1536968419,23,25
1536969394,31,19
1536970335,37,36
1536971300,37,37
1536972261,27,40
1536973241,47,39
1536974194,37,33
1536975144,21,14
1536976092,20,22
1536977088,29,20
1536978011,20,17
1536978986,13,22
1536979949,32,27
1536980927,15,16
1536981872,25,12
1536982821,14,17
1536983773,23,18
1536984745,28,14
1536985708,12,18
1536986656,12,24
1536987621,9,19
1536988597,35,15
1536989537,19,19
1536990495,28,17
1536991701,7,9
1536992661,21,41
1536993613,27,19
1536994592,18,14
1536995535,22,21
1536996503,16,22
1536997454,21,15
1536998438,19,16
1536999388,24,13
1537000352,10,11
1537001298,28,14
1537002270,15,4
1537003211,17,19
1537004197,24,19
1537005133,11,13
1537006097,23,17
1537007053,16,15
1537008032,20,15
1537008974,21,25
1537009946,16,12
1537010889,12,13
1537011865,23,20
1537012869,28,17
