DateTime,Entries,UniqueIPs
1536865938,1640,1640
1536866890,1641,1641
1536867877,1643,1643
1536868832,1638,1638
1536869784,1638,1638
1536870744,1630,1630
1536871961,1640,1640
1536872893,1649,1649
1536873857,1651,1651
1536874815,1651,1651
1536875792,1645,1645
1536876732,1633,1633
1536877696,1627,1627
1536878658,1615,1615
1536879680,1607,1607
1536880805,1609,1609
1536881787,1598,1598
1536882729,1598,1598
1536883955,1590,1590
1536884890,1571,1571
1536885853,1574,1574
1536886830,1576,1576
1536887781,1568,1568
1536888741,1568,1568
1536889690,1562,1562
1536890681,1556,1556
1536891608,1539,1539
1536892569,1531,1531
1536893551,1524,1524
1536894493,1531,1531
1536895456,1527,1527
1536896417,1531,1531
1536897388,1528,1528
1536898333,1534,1534
1536899293,1524,1524
1536900273,1533,1533
1536901222,1534,1534
1536902175,1533,1533
1536903161,1542,1542
1536904091,1549,1549
1536905058,1541,1541
1536906023,1550,1550
1536906997,1543,1543
1536907931,1501,1501
1536909167,1489,1489
1536910094,1484,1484
1536911055,1480,1480
1536912025,1494,1494
1536912998,1473,1473
1536913941,1464,1464
1536914910,1458,1458
1536915878,1458,1458
1536916833,1450,1450
1536917800,1446,1446
1536918769,1456,1456
1536919702,1441,1441
1536920653,1452,1452
1536921610,1443,1443
1536922591,1452,1452
1536923533,1458,1458
1536924493,1458,1458
1536925468,1462,1462
1536926470,1462,1462
1536927627,1457,1457
1536928596,1468,1468
1536929540,1467,1467
1536930505,1471,1471
1536931453,1466,1466
1536932415,1458,1458
1536933387,1441,1441
1536934339,1436,1436
1536935287,1438,1438
1536936273,1440,1440
1536937220,1424,1424
1536938196,1422,1422
1536939378,1429,1429
1536940358,1425,1425
1536941345,1422,1422
1536942267,1401,1401
1536943212,1383,1383
1536944184,1369,1369
1536945130,1364,1364
1536946101,1362,1362
1536947060,1362,1362
1536948016,1359,1359
1536948991,1348,1348
1536949948,1348,1348
1536950900,1354,1354
1536951855,1353,1353
1536952815,1366,1366
1536953799,1372,1372
1536954735,1383,1383
1536955723,1378,1378
1536956664,1386,1386
1536957609,1388,1388
1536958578,1387,1387
1536959546,1385,1385
1536960493,1391,1391
1536961469,1392,1392
1536962437,1395,1395
1536963400,1397,1397
1536964354,1389,1389
1536965334,1384,1384
1536966259,1384,1384
1536967461,1382,1382
1536968419,1380,1380
1536969394,1392,1392
1536970335,1393,1393
1536971300,1393,1393
1536972261,1380,1380
1536973241,1388,1388
1536974194,1392,1392
1536975144,1399,1399
1536976092,1397,1397
1536977088,1406,1406
1536978011,1409,1409
1536978986,1400,1400
1536979949,1405,1405
1536980927,1404,1404
1536981872,1417,1417
