DateTime,AddedIPs,RemovedIPs
1536865941,86,88
1536866893,101,66
1536867880,73,53
1536868834,71,71
1536869786,99,68
1536870746,89,69
1536871964,89,156
1536872895,104,0
1536873860,101,154
1536874817,114,65
1536875794,70,160
1536876734,62,0
1536877698,56,131
1536878661,76,48
1536879682,81,70
1536880807,89,58
1536881789,78,0
1536882731,84,0
1536883957,72,155
1536884892,68,70
1536885856,76,83
1536886832,63,74
1536887783,70,74
1536888743,61,52
1536889692,75,69
1536890683,71,62
1536891609,57,70
1536892571,49,52
1536893553,56,68
1536894494,59,85
1536895457,77,76
1536896419,70,60
1536897390,48,63
1536898334,53,89
1536899295,68,71
1536900276,87,55
1536901224,84,82
1536902177,56,81
1536903164,90,59
1536904093,79,65
1536905060,30,70
1536906026,77,70
1536906999,74,16
1536907934,78,29
1536909170,65,17
1536910096,72,18
1536911057,71,95
1536912028,74,82
1536913000,59,102
1536913943,69,117
1536914913,58,79
1536915880,69,74
1536916835,62,77
1536917802,82,80
1536918771,59,57
1536919704,77,85
1536920655,81,81
1536921612,63,63
1536922593,67,78
1536923535,86,82
1536924495,77,59
1536925470,77,72
1536926473,65,53
1536927631,86,96
1536928598,87,58
1536929543,74,66
1536930506,87,71
1536931456,76,60
1536932431,65,65
1536933389,76,58
1536934341,89,69
1536935289,61,72
1536936276,91,59
1536937222,108,75
1536938198,96,72
1536939380,80,130
1536940360,67,0
1536941348,72,66
1536942269,71,71
1536943214,74,81
1536944187,88,58
1536945132,80,66
1536946104,77,82
1536947062,81,96
1536948018,80,65
1536948993,94,70
1536949950,78,64
1536950901,67,58
1536951857,1422,78
1536952818,95,66
1536953801,64,62
1536954738,88,68
1536955725,79,65
1536956666,75,72
1536957612,77,72
1536958580,68,65
1536959548,93,75
1536960496,78,71
1536961472,75,82
1536962439,65,69
1536963402,71,71
1536964356,58,60
1536965336,75,55
1536966261,67,75
1536967463,66,71
1536968421,65,68
1536969396,76,62
1536970337,86,74
1536971302,80,84
1536972264,69,69
1536973244,72,62
1536974196,106,72
1536975146,62,81
1536976094,55,73
1536977090,63,76
1536978013,67,54
1536978988,65,58
1536979951,57,74
1536980929,59,46
1536981874,74,64
1536982823,63,50
1536983774,54,56
1536984748,65,84
1536985710,60,45
1536986659,51,0
1536987623,31,59
1536988599,80,102
1536989539,69,0
1536990497,51,67
1536991703,49,102
1536992663,48,0
1536993615,47,171
1536994594,54,50
1536995538,50,0
1536996506,55,101
1536997457,58,72
1536998440,47,60
1536999391,77,0
1537000355,60,183
1537001300,64,93
1537002272,55,0
1537003214,68,148
1537004199,56,81
1537005136,44,0
1537006099,63,198
1537007056,59,91
1537008034,69,81
1537008976,90,0
1537009950,53,204
1537010891,45,0
1537011867,69,107
1537012872,74,145
1537013831,68,81
1537014995,62,78
1537015965,47,61
1537016899,64,86
1537017865,64,82
1537018816,69,79
1537019794,66,76
1537020737,63,91
1537021699,55,68
1537022658,61,77
1537023641,82,72
1537024588,80,80
1537025550,72,87
1537026495,48,55
1537027528,67,70
1537029167,86,84
1537030122,53,75
1537031062,54,130
1537032022,89,70
1537032991,66,81
1537033932,55,58
1537034896,61,73
1537035853,77,82
1537036817,73,73
1537037792,69,57
1537038744,83,1684
1537039694,60,60
1537040675,58,63
1537041651,65,62
1537042584,63,70
1537043542,88,56
1537044519,74,68
1537045460,48,67
1537046424,80,66
1537047388,58,53
1537048339,57,65
1537049317,70,57
1537050258,78,66
1537051216,46,78
1537052190,69,82
1537053145,76,74
1537054100,53,63
1537055060,55,52
1537056037,64,59
1537056991,70,60
1537057941,71,57
1537058901,58,59
1537059880,61,60
1537060813,78,54
1537061785,75,62
1537062740,62,77
1537063719,73,99
1537064656,51,59
1537065616,64,63
1537066594,72,55
1537067535,65,56
1537068501,61,48
1537069474,59,62
1537070431,45,80
1537071382,57,67
1537072345,52,69
1537073294,55,73
1537074282,66,61
1537075212,77,66
1537076187,48,65
1537077151,63,68
1537078116,67,59
1537079067,74,76
1537080030,66,63
1537080989,55,77
1537081957,61,71
1537082899,47,103
1537083859,53,76
1537084824,52,72
1537085787,72,56
1537086755,86,66
1537087709,92,85
1537088675,66,69
1537089637,124,77
1537090599,96,82
1537091779,77,88
1537092741,79,96
1537093702,79,111
1537094675,63,84
1537095629,84,82
1537096590,61,76
1537097543,69,86
1537098517,61,71
1537099470,52,73
1537100420,84,78
1537101390,75,77
1537102341,63,85
1537103332,69,82
1537104258,72,93
1537105217,80,85
1537106193,82,76
1537107164,65,81
1537108095,68,83
1537109074,69,92
1537110028,51,81
1537110988,59,106
1537111961,55,87
1537112899,64,105
1537113868,76,80
1537114825,76,93
1537115796,69,100
1537116755,72,68
1537117699,69,81
1537118658,65,67
1537119610,66,71
1537120594,77,66
1537121538,70,76
1537122491,83,89
1537123454,78,65
1537124459,78,77
1537125383,68,882
1537126346,66,77
1537127297,61,71
1537128297,53,77
1537129455,80,71
1537130412,80,80
1537131389,88,127
1537132336,66,0
1537133296,77,148
1537134271,71,0
1537135236,48,142
1537136199,77,0
1537137142,82,176
1537138118,76,75
1537139059,71,78
1537140022,95,0
1537141006,75,193
1537142180,76,88
1537143143,66,84
1537144099,117,87
1537145059,66,73
1537146051,70,79
1537146986,66,63
1537147944,76,68
1537148911,76,63
1537149860,83,60
1537150816,85,62
1537152060,63,53
1537152971,87,71
1537153949,65,71
1537154892,67,66
1537155884,90,58
1537156830,59,80
1537157787,71,68
1537158739,70,75
1537159721,74,87
1537160672,75,79
1537161628,96,0
1537162586,78,132
1537163551,63,0
1537164500,76,85
1537165465,95,102
1537166420,71,77
1537167393,79,78
1537168343,75,95
1537169296,74,84
1537170258,66,74
1537171251,70,74
1537172193,61,81
1537173158,87,79
1537174095,91,75
1537175082,68,87
1537176023,73,81
1537176987,100,85
1537177943,100,79
1537178918,71,79
1537179869,89,77
1537180827,55,97
1537181778,76,71
1537182758,0,71
1537183694,103,114
1537184663,85,81
1537185666,101,91
1537186609,97,94
1537187556,69,99
1537188504,90,105
1537189471,112,84
1537190441,69,89
1537191387,80,80
1537192345,75,93
1537193311,98,91
1537194530,93,175
1537195698,89,91
1537196669,75,83
1537197616,80,74
1537198589,83,94
1537199557,77,102
1537200548,72,92
1537201461,95,81
1537202419,81,87
1537203379,60,84
1537204343,82,92
1537205291,64,88
1537206264,59,83
1537207222,73,89
1537208201,79,88
1537209139,60,105
1537210106,56,87
1537211081,1941,1962
1537212018,69,64
1537212985,82,75
1537213947,65,63
1537214900,65,74
1537215858,80,74
1537216813,66,85
1537217796,54,65
1537218736,75,0
1537219702,86,76
1537220673,71,74
1537221640,73,68
