DateTime,AddedIPs,RemovedIPs
1535551982,39,69
1535555587,57,45
1535559183,104,57
1535562792,98,70
1535566407,56,68
1535570021,115,67
1535573608,119,50
1535577201,106,57
1535580807,80,36
1535584410,46,48
1535588002,79,61
1535591619,71,52
1535595202,34,61
1535598811,58,51
1535602402,40,62
1535606002,74,48
1535609604,48,70
1535613198,34,89
1535616807,40,47
1535620411,99,46
1535624009,134,34
1535627617,64,37
1535631214,46,69
1535634811,31,49
1535638405,37,53
1535641998,57,61
1535645613,56,53
1535649204,48,50
1535652809,89,66
1535656409,46,76
1535660014,67,47
1535663608,83,57
1535667209,106,40
1535670809,90,60
1535674412,35,91
1535678013,36,44
1535681612,35,76
1535685208,58,68
1535688807,54,54
1535692400,31,61
1535695998,53,89
1535699595,32,65
1535703198,46,57
1535706812,56,69
1535710410,164,39
1535714013,155,33
1535717610,71,77
1535721214,50,55
1535724810,51,50
1535728411,49,81
1535732010,57,46
1535735614,61,48
1535739208,64,79
1535742817,49,67
1535746408,60,76
1535750008,44,43
1535753616,75,41
1535757216,74,42
1535760811,48,59
1535764410,38,52
1535768020,41,41
1535771614,44,60
1535775206,56,45
1535778807,39,50
1535782411,41,57
1535786006,57,49
1535789608,57,66
1535793215,61,46
1535796809,64,71
1535800410,77,49
1535804012,53,49
1535807612,48,59
1535811213,32,47
1535814809,41,64
1535818408,50,43
1535822005,55,37
1535825615,35,53
1535829213,60,81
1535832805,125,94
1535836410,36,55
1535840014,57,44
1535843610,70,37
1535847220,78,44
1535850832,41,48
1535854404,48,45
1535858003,43,27
1535861599,53,59
1535865222,49,46
1535868809,50,104
1535872398,56,70
1535875992,46,83
1535879610,45,73
1535883236,48,64
1535886803,51,41
1535890397,66,27
1535893997,44,94
1535897612,31,68
1535901202,38,32
1535904828,45,84
1535908395,57,48
1535912003,39,35
1535915605,53,71
1535919206,38,65
1535922799,46,69
1535926395,44,40
1535929994,75,40
1535933603,76,48
1535937214,167,77
1535940801,94,53
1535944414,60,42
1535948006,42,55
1535951617,64,50
1535955199,46,51
1535958799,39,60
1535962403,48,45
1535966012,38,84
1535969613,28,64
1535973206,68,54
1535976801,73,46
1535980416,77,59
1535984008,56,59
1535987608,84,47
1535991210,35,88
1535994809,60,41
1535998423,63,88
1536002015,43,54
1536005601,68,75
1536009224,50,76
1536012809,40,60
1536016413,77,41
1536020008,82,41
1536023606,72,51
1536027210,31,81
1536030814,34,40
1536034411,81,45
1536038012,58,50
1536041613,47,33
1536045215,55,41
1536048806,49,78
1536052407,56,131
1536056005,55,59
1536059612,114,54
1536063221,266,78
1536066825,194,42
1536070423,96,118
1536074021,59,92
1536077624,47,77
1536081228,59,69
1536084830,109,60
1536088432,48,71
1536092030,55,66
1536095630,72,63
1536099224,39,64
1536102839,37,36
1536106450,82,42
1536110044,77,47
1536113639,53,54
1536117232,42,57
1536120834,29,35
1536128020,74,108
1536131631,63,47
1536135225,34,71
1536138825,54,59
1536142416,48,71
1536146009,33,44
1536149621,71,62
1536153224,77,124
1536156817,63,50
1536160423,49,57
1536164020,40,58
1536167618,64,57
1536171211,59,48
1536174823,81,48
1536178424,39,50
1536182032,61,101
1536185625,64,81
1536189226,122,51
1536192830,73,85
1536196422,51,83
1536200015,69,42
1536203627,84,60
1536207227,34,41
1536210822,43,78
1536214420,42,50
1536218017,56,39
1536221613,56,41
1536225217,60,84
1536228814,97,127
1536232413,37,59
1536236016,50,52
1536239620,103,46
1536243221,100,38
1536246828,74,62
1536250434,63,58
