DateTime,AddedIPs,RemovedIPs
1535551947,29,47
1535555563,40,33
1535559156,65,41
1535562762,79,48
1535566360,40,46
1535570000,107,53
1535573579,103,37
1535577176,95,40
1535580782,62,19
1535584379,30,35
1535587975,76,51
1535591578,60,30
1535595167,23,56
1535598775,48,37
1535602369,24,59
1535605976,66,33
1535609575,40,60
1535613175,28,72
1535616776,30,34
1535620376,77,33
1535623983,108,25
1535627584,52,25
1535631193,43,58
1535634782,32,22
1535638381,22,45
1535641972,39,40
1535645578,38,43
1535649172,22,35
1535652780,73,52
1535656377,36,61
1535659978,58,32
1535663581,74,41
1535667177,83,25
1535670778,66,51
1535674377,23,72
1535677986,30,25
1535681575,23,63
1535685183,47,49
1535688778,44,43
1535692372,20,53
1535695966,42,78
1535699567,24,52
1535703167,39,46
1535706765,50,58
1535710371,89,32
1535713973,97,28
1535717576,44,68
1535721172,35,44
1535724771,32,33
1535728365,28,59
1535731971,41,30
1535735578,44,35
1535739173,50,60
1535742778,37,52
1535746381,59,48
1535749981,33,35
1535753580,64,32
1535757179,55,26
1535760777,31,43
1535764375,30,38
1535767979,25,24
1535771579,24,48
1535775181,47,33
1535778775,22,39
1535782375,31,54
1535785977,37,35
1535789572,45,59
1535793177,39,32
1535796781,52,66
1535800377,57,29
1535803975,40,35
1535807578,36,53
1535811176,18,23
1535814770,25,49
1535818373,41,29
1535821970,42,31
1535825575,22,37
1535829176,47,56
1535832766,32,77
1535836367,27,35
1535839968,48,37
1535843569,50,27
1535847177,53,29
1535850773,35,46
1535854358,37,22
1535857959,26,21
1535861560,39,45
1535865177,41,38
1535868766,32,92
1535872358,45,57
1535875955,37,65
1535879565,38,51
1535883181,38,55
1535886765,35,33
1535890362,46,21
1535893959,30,86
1535897581,22,48
1535901163,20,21
1535904778,33,67
1535908362,46,46
1535911969,19,33
1535915570,43,55
1535919178,30,47
1535922763,38,49
1535926358,34,29
1535929951,61,29
1535933565,62,30
1535937161,82,61
1535940756,62,36
1535944360,37,24
1535947963,29,42
1535951571,53,34
1535955155,30,51
1535958759,25,48
1535962363,38,31
1535965980,32,48
