DateTime,AddedIPs,RemovedIPs
1535429055,1,3
1535432654,1,0
1535436251,1,1
1535439857,1,2
1535443451,3,0
1535447054,2,1
1535450657,1,1
1535454250,2,0
1535457851,1,4
1535461459,1,0
1535465063,1,2
1535468667,1,1
1535472250,0,1
1535475865,0,2
1535479449,3,1
1535483068,2,1
1535486654,1,1
1535490259,1,0
1535493855,1,0
1535497466,2,2
1535501061,2,1
1535508267,1,1
1535511865,0,3
1535515477,11,9
1535519062,0,3
1535522652,3,0
1535526245,8,0
1535529864,1,1
1535533455,1,1
1535537069,1,0
1535540656,1,1
1535544258,3,10
1535547857,1,0
1535555094,5,3
1535558656,0,1
1535562259,4,1
1535565859,0,2
1535569479,3,2
1535573067,0,1
1535576661,1,2
1535580266,1,0
1535583858,1,3
1535587457,1,0
1535591090,10,2
1535594648,2,1
1535598257,0,2
1535601851,0,2
1535605453,3,1
1535612657,2,2
1535616255,2,0
1535619862,1,0
1535623461,0,3
1535627070,0,2
1535630672,3,3
1535634265,1,2
1535645056,2,0
1535648660,1,39
1535652260,2,7
1535655860,0,2
1535659455,1,4
1535663062,1,1
1535666657,2,1
1535670249,1,0
1535677462,2,3
1535681058,1,1
1535684661,1,1
1535688271,2,2
1535699049,0,2
1535706246,1,3
1535709854,0,3
1535717057,1,0
1535720658,1,1
1535727845,1,0
1535735052,0,1
1535738660,5,0
1535742259,2,2
1535745861,4,1
1535749462,2,0
1535753052,1,1
1535756654,10,0
1535760254,8,2
1535763857,1,2
1535771062,5,1
1535774669,3,1
1535785462,0,2
1535789053,0,4
1535796270,1,0
1535799862,1,1
1535803458,2,1
1535807057,0,1
1535810666,1,0
1535814257,1,1
1535817856,3,0
1535821458,1,2
1535825053,0,3
1535828662,1,2
1535832255,0,1
1535835853,0,1
1535843059,4,1
1535846666,1,1
1535850311,1,3
1535864656,1,1
1535871852,0,1
1535875451,5,1
1535882665,3,1
1535886263,1,1
1535889860,1,0
1535893454,1,2
1535897060,2,2
1535900657,0,1
1535904251,1,3
1535907857,0,1
1535911464,1,1
1535915067,1,1
1535918660,1,0
1535922260,1,0
1535925861,1,0
1535929455,1,1
1535933046,0,2
1535936666,1,1
1535940249,2,1
1535943859,1,0
1535947464,1,1
1535951061,2,0
1535954654,0,1
1535961853,1,0
1535965464,1,0
1535969064,3,0
1535972673,4,0
1535976259,0,4
1535979863,1,2
1535983452,4,0
1535987054,1,0
1535990661,3,1
1535994261,1,1
1535997870,1,0
1536001462,5,3
1536005073,0,1
1536008666,0,1
1536012268,2,0
1536015861,1,2
1536019456,3,0
