DateTime,AddedIPs,RemovedIPs
1535641219,65,67
1535643123,75,75
1535647203,84,79
1535651042,98,80
1535654882,97,80
1535658723,72,84
1535662563,77,100
1535666420,72,103
1535668323,62,120
1535672163,97,99
1535676002,54,73
1535679842,75,69
1535683682,76,98
1535687523,99,108
1535693523,167,152
1535697363,70,60
1535701202,94,67
1535705044,67,70
1535709124,92,63
1535712963,65,57
1535715123,57,60
1535718962,80,63
1535722803,88,80
1535726642,81,92
1535730724,85,74
1535734563,75,86
1535738413,100,85
1535740322,85,82
1535746082,119,138
1535749922,60,102
1535755682,76,96
1535759523,147,110
1535763363,69,75
1535767218,126,81
1535769122,73,95
1535772962,84,114
1535778723,65,80
1535780642,108,69
1535784483,64,50
1535788323,80,45
1535792163,86,45
1535796009,79,73
1535797923,81,59
1535801763,81,73
1535805602,76,101
1535809443,98,80
1535813282,97,77
1535817123,94,74
1535820963,78,80
1535824817,69,74
1535826963,66,80
1535828882,90,70
1535834643,80,86
1535838482,60,85
1535840403,59,105
1535846164,105,93
1535850019,65,90
1535853842,67,81
1535855762,66,93
1535859603,92,110
1535863443,73,84
1535867283,76,59
1535871122,66,53
1535874962,65,50
1535878813,81,57
1535882643,68,45
1535884803,87,66
1535888643,82,77
1535892483,89,77
1535896322,82,72
1535898243,0,6
1535900163,90,64
1535902323,76,71
1535906402,100,90
1535910243,84,73
1535914083,77,89
1535917923,111,76
1535921763,83,103
1535927523,109,222
1535931363,99,120
1535935202,67,92
1535939042,83,76
1535943123,76,109
1535946962,94,108
1535950817,82,75
1535952723,91,75
1535956563,73,58
1535960402,82,91
1535962323,83,71
1535968083,93,61
1535970002,70,55
1535971922,98,145
1535973843,145,98
1535975762,75,65
1535979611,84,66
1535981522,84,68
1535985362,97,57
1535989203,93,69
1535993043,126,105
1535996882,82,99
1536000722,117,71
1536004563,109,103
1536008419,78,99
1536010323,62,122
1536014403,60,140
1536018723,114,127
1536022563,59,75
1536026414,71,73
1536028323,3,6098
1536030242,6078,2
1536032162,106,92
1536034082,92,106
1536036003,86,80
1536039843,99,66
1536043922,81,70
1536049682,71,58
1536051617,74,79
1536053522,87,72
1536057603,70,70
1536061442,70,62
1536065282,73,56
1536067202,69,79
1536072964,75,77
1536076816,90,71
1536078722,98,73
1536082562,102,93
1536084482,90,88
1536088323,99,81
1536094323,93,89
1536098162,64,131
1536102021,65,95
1536103923,114,139
1536107762,56,101
1536113522,113,87
1536115443,74,101
1536119282,98,121
1536121203,85,91
1536125043,131,70
1536129123,89,74
1536132962,70,76
1536136802,73,100
1536138723,93,50
1536144482,76,56
1536148815,68,62
1536150723,70,59
1536154563,77,65
1536158402,64,64
1536162242,77,74
1536166082,97,69
1536170163,79,83
1536174007,84,71
1536175922,91,69
1536177842,76,99
1536179762,99,76
1536181683,76,99
1536183602,65,121
1536185523,66,104
1536190564,102,100
1536194402,60,79
1536196323,79,60
1536198242,121,122
1536202083,74,106
1536205922,88,120
1536209763,81,88
1536213615,100,69
1536215524,92,73
1536219363,82,72
1536223202,78,57
1536227043,76,65
1536230882,85,66
1536232803,1,5
1536234722,70,77
1536236643,77,71
1536242417,69,70
1536244325,78,76
1536248163,100,71
1536252003,86,82
1536256082,109,80
1536259922,82,64
1536263763,84,72
1536267622,77,102
1536269523,74,104
1536273362,58,133
1536277924,90,106
1536283682,59,83
1536285615,64,58
1536287523,85,92
1536291365,90,95
1536295202,76,91
1536297123,84,76
1536302882,75,59
1536306723,79,63
1536310563,80,60
1536312483,63,53
1536316323,78,61
1536318242,61,78
1536320163,128,105
1536324003,63,63
1536327842,79,61
1536329762,1,0
1536331683,71,61
1536335524,65,70
1536339616,81,74
1536341523,86,79
1536343442,83,81
1536349203,89,70
1536353043,65,83
