DateTime,AddedIPs,RemovedIPs
1537136732,9,0
1537137034,8,0
1537137330,6,0
1537137631,12,0
1537137937,15,0
1537138534,33,0
1537138835,15,0
1537139432,19,0
1537139731,14,0
1537140036,14,0
1537140334,18,0
1537140934,26,0
1537141536,42,0
1537142137,30,0
1537142437,15,0
1537143036,33,0
1537143636,43,0
1537143933,6,0
1537144535,25,0
1537144835,15,0
1537145434,32,0
1537146032,28,0
1537146334,7,0
1537146932,33,0
1537147236,22,0
1537147532,10,0
1537147835,13,0
1537148435,32,0
1537148732,11,0
1537149333,37,0
1537149635,15,0
1537150236,31,0
1537150533,12,0
1537150834,14,0
1537151733,35,0
1537152029,15,0
1537152330,23,0
1537152632,11,0
1537152926,17,0
1537153232,15,0
1537153832,19,0
1537154431,29,0
1537154732,21,0
1537155028,12,0
1537155327,13,0
1537155631,18,0
1537156233,14,0
1537157727,2,0
1537158333,5,0
1537158627,2,0
1537159529,1,0
1537160126,1,0
1537160431,2,0
1537161033,6,0
1537161631,18,0
1537161933,9,0
1537162530,30,0
1537162828,15,0
1537163426,17,0
1537164027,25,0
1537164326,13,0
1537164927,31,0
1537165231,14,0
1537165830,29,0
1537166429,18,0
1537166726,15,0
1537167329,19,0
1537167628,13,0
1537168226,22,0
1537168826,24,0
1537169131,12,0
1537169732,22,0
1537170032,13,0
1537170629,25,0
1537171230,39,0
1537171528,10,0
1537172126,29,0
1537172426,14,0
1537172729,12,0
1537173028,12,0
1537173633,16,4
1537173926,12,0
1537174527,31,0
1537174829,13,0
1537175428,32,0
1537176033,29,0
1537176333,11,0
1537176930,32,0
1537177233,12,0
1537177836,27,1
1537178434,36,0
1537178729,8,0
1537179327,32,0
1537179635,15,0
1537180235,26,0
1537180530,6,0
1537180832,105,0
1537181130,15,0
1537181734,22,0
1537182031,17,0
1537182634,22,0
1537183237,19,0
1537183533,13,0
1537184135,30,0
1537184434,10,0
1537185036,24,0
1537185637,25,0
1537185933,18,0
1537186538,31,0
1537186836,12,0
1537187430,20,0
1537187735,14,0
1537188033,9,0
1537188331,11,0
1537188939,34,0
1537189236,15,0
1537189839,23,0
1537190439,18,0
1537190740,12,0
1537191340,25,0
1537191635,10,0
1537192235,30,0
1537192840,15,0
1537193133,13,0
1537193734,20,1
1537194337,23,6
1537195235,28,5
1537195536,15,0
1537196132,30,0
1537196434,12,0
1537197036,28,0
1537197330,13,0
1537197633,19,17
1537197929,11,0
1537198531,32,0
1537198831,15,87
1537199432,18,0
1537200029,17,0
1537200334,7,0
1537200931,25,0
1537201234,10,0
1537201831,26,0
1537202136,7,0
1537202433,16,0
1537202735,13,0
1537203336,20,0
1537203637,11,0
1537204230,29,0
1537204831,28,0
1537205137,9,0
1537205734,29,0
1537206028,22,0
1537206630,23,0
1537206931,9,0
1537207233,17,0
1537207534,8,0
1537207834,9,0
1537208132,10,0
1537208432,14,0
1537208736,10,0
1537209035,9,0
1537209330,7,0
1537209632,9,0
1537209928,12,0
1537210534,18,0
1537210838,15,0
1537211437,20,0
1537212037,18,0
1537212334,10,0
1537212934,25,0
1537213238,12,0
1537213836,22,0
1537214437,30,0
1537214736,9,0
