DateTime,AddedIPs,RemovedIPs
1536876734,41,57
1536877698,42,38
1536878661,34,26
1536879682,58,51
1536880807,66,47
1536881789,54,36
1536882731,61,45
1536883451,33,42
1536883957,55,79
1536884892,51,0
1536885856,59,39
1536886832,49,51
1536887783,52,48
1536888743,45,35
1536889692,45,36
1536890683,42,26
1536891609,39,27
1536892571,38,40
1536893553,39,24
1536894494,30,26
1536895457,44,38
1536896419,39,34
1536897390,37,24
1536898334,85,70
1536899295,33,35
1536900276,68,37
1536901224,50,28
1536902177,37,43
1536903164,63,34
1536904093,49,31
1536905060,18,41
1536906026,67,37
1536906999,43,25
1536907934,44,38
1536909170,46,68
1536910096,44,23
1536911057,43,0
1536912028,62,74
1536913000,30,35
1536913943,46,0
1536914421,24,0
1536914913,43,73
1536915880,43,36
1536916835,36,42
1536917802,57,36
1536918771,52,45
1536919704,37,37
1536920655,51,34
1536921612,38,32
1536922593,52,41
1536923535,56,0
1536924495,55,36
1536925470,48,42
1536926473,44,60
1536927631,1210,915
1536928598,61,42
1536929543,49,30
1536930506,48,29
1536931456,41,33
1536932431,46,38
1536933389,46,45
1536934341,37,30
1536935289,34,30
1536936276,58,40
1536937222,68,46
1536938198,48,36
1536939380,58,39
1536940360,37,29
1536941348,34,50
1536942269,41,31
1536943214,31,29
1536944187,61,31
1536945132,45,20
1536946104,45,34
1536947062,58,27
1536948018,46,29
1536948993,42,44
1536949950,49,29
1536950901,46,31
1536951857,99,0
1536952818,67,300
1536953801,43,29
1536954738,68,26
1536955725,44,39
1536956666,45,8
1536957612,49,0
1536958580,39,23
1536959548,50,58
1536960496,63,0
1536961472,52,33
1536962439,41,38
1536963402,50,16
1536964356,43,37
1536965336,65,27
1536966261,41,24
1536967463,58,29
1536968421,47,38
1536969127,23,14
1536969396,55,45
1536970337,66,0
1536971302,59,35
1536972264,48,63
1536973244,68,28
1536974196,63,28
1536975146,35,30
1536976094,40,47
1536977090,51,21
1536978013,43,27
1536978988,32,33
1536979951,47,32
1536980929,36,34
1536981874,47,21
1536982823,34,25
1536983774,35,30
1536984748,88,46
1536985710,34,20
1536986659,25,22
1536987623,15,17
1536988599,64,29
1536989539,42,32
1536990497,43,13
1536991703,24,63
1536992663,33,31
1536993615,40,27
1536994594,30,27
1536995538,43,0
1536996506,41,57
1536997457,31,42
1536998440,39,31
1536999391,47,31
1537000355,56,69
1537001300,49,20
1537002272,38,12
1537003214,32,70
1537004199,43,29
1537005136,35,0
1537006099,44,60
1537007056,37,21
1537008034,44,43
1537008976,53,0
1537009950,34,49
1537010891,27,62
1537011867,43,0
1537012872,50,79
1537013831,1335,706
1537014995,32,30
1537015965,38,29
1537016899,38,32
1537017865,43,0
1537018816,37,34
1537019794,44,27
1537020737,33,31
1537021699,30,21
1537022658,33,23
1537023641,39,14
1537024588,31,27
1537025550,32,24
1537026495,25,26
1537027528,38,25
1537029167,56,46
1537030122,31,24
