DateTime,AddedIPs,RemovedIPs
1537058523,7,0
1537059123,8,0
1537059820,16,2
1537060324,70,22
1537060803,22,139
1537060923,2,0
1537061523,10,0
1537062243,18,80
1537063323,24,0
1537063358,2,0
1537064163,110,0
1537064642,3,75
1537065123,4,0
1537065724,5,0
1537066962,9,1
1537068003,59,0
1537068123,323,0
1537069324,17,0
1537069923,88,7
1537070523,21,1
1537071124,16,0
1537071362,0,168
1537071724,20,0
1537072324,7,1
1537072923,47,0
1537073763,70,0
1537074156,14,2
1537075324,5,0
1537075683,64,5
1537075923,5,0
1537076523,47,0
1537077127,46,84
1537077723,32,1
1537077764,0,2
1537078324,14,0
1537078923,3,0
1537079525,76,7
1537080123,31,0
1537080963,26,78
1537081443,85,2
1537082523,19,1
1537083123,25,0
1537083723,19,0
1537084955,16,2
1537085523,27,0
1537086123,27,0
1537086724,34,0
1537087202,82,10
1537087683,15,74
1537087923,33,0
1537088557,9,0
1537089124,20,0
1537089723,31,0
1537090323,22,1
1537091283,104,0
1537091523,6,0
1537092162,3,2
1537092724,38,0
1537093324,28,0
1537093923,5,0
1537094643,19,56
1537095123,98,0
1537095822,14,0
1537096323,2,0
1537097043,96,22
1537098123,11,0
1537098723,11,0
1537099356,35,1
1537100412,0,91
1537100884,89,0
1537101123,7,0
1537101723,17,0
1537102923,46,0
1537103016,0,2
1537103523,32,0
1537104242,13,48
1537104723,75,0
1537105323,31,0
1537106615,15,0
1537107724,10,0
1537108082,0,81
1537108565,110,2
1537108923,29,0
1537110155,20,0
1537110723,36,0
1537111323,24,0
1537111924,26,0
1537112402,63,19
1537112523,6,0
1537113123,3,0
1537113756,50,1
1537114323,91,24
1537114804,24,96
1537114924,19,0
1537115524,20,0
1537116123,15,0
1537116724,26,0
1537117323,35,0
1537117355,1,0
1537117924,25,0
1537118642,17,61
1537119723,8,0
1537120324,90,0
1537121016,19,0
1537121524,25,0
1537122243,37,79
1537122724,27,1
1537123324,13,0
1537123923,16,0
1537124420,132,0
1537124616,29,1
1537125363,17,138
1537125723,27,0
1537126323,127,0
1537126923,11,0
1537127523,8,0
1537128155,11,1
1537128724,35,1
1537129323,18,0
1537130163,74,18
1537130523,22,0
1537131363,0,152
1537131756,9,2
1537132323,4,0
1537132923,30,0
1537133523,24,0
1537134002,65,0
1537134123,35,0
1537134695,1,0
1537135355,19,0
1537135923,23,0
1537136523,14,0
1537137723,22,0
1537138082,54,16
1537138323,19,0
1537138958,12,1
1537140004,0,183
1537140125,14,0
1537140724,19,0
1537141323,25,0
1537142162,93,0
1537142555,14,0
1537143124,18,3
1537143723,55,0
1537144323,9,2
1537144923,26,0
1537145523,25,0
1537146017,38,13
1537146155,15,0
1537146963,20,171
1537147324,15,0
1537147924,72,0
1537148523,20,0
1537149125,32,0
1537149816,17,1
1537150923,16,0
1537152004,67,7
1537152123,17,0
1537152722,0,143
1537153416,33,2
1537154523,15,1
1537155123,2,0
1537155843,109,0
1537156323,12,0
1537156955,21,0
1537157763,96,11
1537158124,12,0
1537159323,12,1
1537159923,9,0
1537160555,28,1
1537161123,25,0
1537161607,0,169
1537161723,15,0
1537162324,16,0
1537162924,16,0
1537163523,120,0
1537164123,17,0
1537164155,0,2
1537164724,21,0
1537165324,30,0
1537165924,14,0
1537166523,14,0
1537167362,100,19
1537167815,26,4
1537168323,6,102
1537168923,22,0
1537169523,8,1
1537170125,24,0
1537170723,20,0
1537171217,59,0
1537171356,17,2
1537171923,19,0
1537172524,22,0
1537173123,77,15
1537173724,22,0
1537174082,15,52
1537174323,21,0
1537174957,14,1
1537175523,27,0
1537176123,11,0
1537176962,74,12
1537177324,22,0
1537177924,33,52
1537178524,21,0
1537178883,52,17
1537179124,19,0
1537179843,27,51
1537180923,11,0
1537181523,24,0
1537182216,23,2
1537182723,8,0
1537183323,9,0
1537183924,15,0
1537184523,28,0
1537185123,13,0
1537185756,46,0
1537186572,144,89
1537186924,15,0
1537187524,11,0
1537188123,9,0
1537188723,24,0
1537189356,3,0
1537189923,2,0
1537190524,10,0
1537191123,15,0
1537191724,17,0
1537192325,67,44
1537192956,7,1
1537193524,17,0
1537194123,10,0
1537194723,23,0
1537195323,13,0
1537195924,26,0
1537196644,76,74
1537197723,21,1
1537198562,73,14
1537198923,18,0
1537199524,18,0
1537200124,22,0
1537200482,79,19
1537200723,15,0
1537201443,44,105
1537202402,0,95
1537202523,30,0
1537203123,25,0
1537203817,34,0
1537204323,97,0
1537204924,20,0
1537205282,0,55
1537205523,21,0
1537206245,114,0
1537207323,18,2
1537207416,0,1
1537208523,5,0
1537209723,47,0
1537210083,87,17
1537210323,33,0
1537211043,31,120
1537211525,13,0
1537212124,13,0
1537212723,9,0
1537213323,36,0
1537213923,119,0
1537214523,24,0
1537214559,0,1
1537215123,12,0
1537215723,4,0
1537216924,27,0
1537217522,1,0
1537217763,67,18
1537218158,41,0
1537218723,0,148
1537219325,11,0
1537219923,11,0
1537220523,33,0
1537221124,21,0
1537221619,61,0
1537221816,19,0
1537222323,26,0
1537222923,12,0
1537223523,56,14
1537224123,32,1
1537224723,9,192
1537225324,11,0
1537225923,37,0
1537226523,25,0
1537227123,1,1
1537227602,76,0
1537227724,12,0
1537228323,8,0
1537228959,17,5
1537229523,8,0
1537230724,49,0
1537231443,78,13
1537232523,24,0
1537232882,0,165
1537233364,99,0
1537233723,30,0
1537234923,11,0
1537235523,3,0
1537236159,12,0
1537236723,26,0
1537237323,32,0
1537238646,89,67
1537239124,13,107
1537239756,33,3
1537240324,7,0
1537240923,43,0
1537241523,17,0
1537242123,21,0
1537242723,1,0
1537242963,87,0
1537243356,16,1
1537244403,0,97
1537244523,19,0
1537245724,9,0
1537246323,28,0
1537246815,85,0
1537246924,10,0
1537246958,0,2
1537247524,28,0
1537248123,17,0
1537248723,113,17
1537249323,5,0
1537249923,12,0
1537250163,0,145
1537250643,527,3
1537251723,31,0
1537252563,55,461
1537252925,17,0
1537253523,10,0
1537254162,29,0
1537254725,12,0
1537255323,12,0
1537255923,6,0
1537256403,69,19
1537256523,11,0
1537257123,9,0
1537257816,22,3
1537258324,2,0
1537258807,0,100
1537258923,33,0
1537259524,9,0
1537260244,94,0
1537260724,30,0
1537261323,47,0
1537261421,0,1
1537261924,27,0
1537262524,9,0
1537263041,1,0
1537264084,94,13
1537264563,18,105
1537265016,19,3
1537265524,5,0
1537266124,35,0
1537267324,8,2
1537267924,85,0
1537268558,22,0
1537269124,21,0
1537269724,6,1
1537270324,26,0
1537270924,12,1
1537271524,15,64
1537272015,81,0
1537272156,16,1
1537272724,19,0
1537273323,10,0
1537273923,20,62
1537274523,7,0
1537275123,5,0
1537275363,79,83
1537275843,15,1
1537276923,28,0
1537278003,71,0
1537278123,45,0
1537278723,7,0
1537279417,9,1
1537280523,37,0
1537281123,20,0
1537281362,0,64
1537281843,77,0
1537282924,15,0
1537282956,0,1
1537283523,8,0
1537284123,3,0
1537284723,41,0
