DateTime,Entries,UniqueIPs
1537011332,79520,9370373
1537011862,79537,9370391
1537012293,79535,9370389
1537012857,79548,9370402
1537013253,79544,9370398
1537014933,79546,9370400
1537015893,79554,9370408
1537016614,79552,9370406
1537017333,79557,9370410
1537017861,79552,9370405
1537018293,79549,9370403
1537019013,79552,9370406
1537019733,79483,9370334
1537020453,79468,9370319
1537021172,79473,9370324
1537021695,79456,9370308
1537022133,79457,9370310
1537023094,79455,9370307
1537024054,79461,9370313
1537025088,79464,9370316
1537025545,79458,9370310
1537025975,79459,9370311
1537026693,79461,9370313
1537027503,79484,9370336
1537028133,79482,9370334
1537029093,79502,9370354
1537030053,79463,9370314
1537030774,79460,9370311
1537031558,79455,9370306
1537032213,79453,9370304
1537032932,79452,9370304
1537033653,79454,9370306
1537034373,79461,9370313
1537035401,79446,9370297
1537036294,79485,9370336
1537037013,79488,9370339
1537037292,79509,9370361
1537037734,79507,9370359
1537038453,79512,9370364
1537039239,79518,9370369
1537039894,79516,9370368
1537040614,79516,9370368
1537041142,79508,9370359
1537041632,73045,9358400
1537042097,73061,9358416
1537042292,79526,9370377
1537043070,79537,9370388
1537043734,79536,9370387
1537044454,79541,9370392
1537044975,79549,9370400
1537045173,79546,9370397
1537045892,79542,9370393
1537046854,79547,9370398
1537047813,79555,9370406
1537048839,79555,9370406
1537049254,79544,9370395
1537049973,79545,9370396
1537050759,79545,9370396
1537051414,79547,9370398
1537052133,79559,9370408
1537052670,79581,9370430
1537052854,79581,9370430
1537053574,79581,9370430
1537054533,79579,9370428
1537055494,79572,9370421
1537056523,79569,9370417
1537056973,79587,9370435
1537057415,79576,9370424
1537058437,79561,9370408
1537059094,79555,9370402
1537059814,79540,9370386
1537060344,79552,9370399
1537060533,79537,9370385
1537061253,79538,9370386
1537062273,79559,9370408
1537062934,79554,9370403
1537063653,79548,9370397
1537064182,79557,9370406
1537064373,79556,9370405
1537065093,79558,9370407
1537065814,79554,9370403
1537066096,79556,9370404
1537066534,79553,9370401
1537067252,79552,9370400
1537068025,79569,9370418
1537068747,79567,9370416
1537069413,79564,9370413
1537069944,79567,9370415
1537070133,79566,9370414
1537070854,79569,9370417
1537071872,79576,9370427
1537072773,79575,9370426
1537073493,79572,9370423
1537074212,79571,9370422
1537074934,79562,9370413
1537075703,79567,9370417
1537076612,79569,9370419
1537077640,79571,9370428
1537078052,79576,9370434
1537079014,79579,9370437
1537079974,79581,9370439
1537080933,79578,9370436
1537081894,79573,9370431
1537082614,79565,9370422
1537083394,79549,9370402
1537084294,79547,9370400
1537085253,79538,9370391
1537086213,79528,9370381
1537086739,79542,9370396
1537087226,79527,9370382
1537088613,79536,9370391
1537089147,79536,9370392
1537089574,79527,9370383
1537090532,79524,9370379
1537091315,79516,9370371
1537092213,79518,9370373
1537093242,79503,9370354
1537093893,79503,9370354
1537094613,79496,9370347
1537095333,79501,9370352
1537096053,79501,9370352
1537097076,79485,9370336
1537097733,79488,9370339
1537098453,79485,9370336
1537098984,79472,9370323
1537099234,79472,9370323
1537099893,79473,9370324
1537100918,79462,9370312
1537101374,79479,9370329
1537101813,79483,9370333
1537102533,79481,9370331
1537103254,79485,9370335
1537103973,79483,9370333
1537104757,79474,9370323
1537105413,79470,9370319
1537106133,79464,9370313
1537106667,79462,9370311
1537107094,79462,9370311
1537107813,79464,9370313
1537108605,79448,9370297
1537109014,79442,9370292
1537109734,79444,9370294
1537110517,79446,9370296
1537111413,79452,9370303
1537112436,79461,9370312
1537113334,79460,9370311
1537114388,79479,9370330
1537115733,79462,9370314
1537116264,79484,9370337
1537116692,79489,9370342
1537117413,79485,9370338
1537118193,79493,9370345
1537119093,79490,9370342
1537119813,79490,9370342
1537120345,79487,9370339
1537120533,79482,9370334
1537121253,79485,9370337
1537121973,79484,9370336
1537122250,79500,9370353
1537122933,79495,9370347
1537123894,79494,9370346
1537124852,79491,9370343
1537125813,79492,9370343
1537126773,79492,9370345
1537127493,79487,9370340
1537128284,79457,9370309
1537128933,79458,9370310
1537129894,79457,9370309
1537130170,79459,9370311
1537130613,79452,9370302
1537131134,79460,9370310
1537131333,79462,9370312
1537132107,79470,9370320
1537132773,79469,9370319
1537133493,79464,9370314
1537134014,79467,9370317
1537134213,79475,9370324
1537134934,79479,9370328
1537135654,79479,9370328
1537136195,79486,9370335
1537136614,79485,9370334
1537137335,79481,9370330
1537138054,79482,9370331
1537138774,79474,9370323
1537139493,79479,9370328
1537139784,79477,9370326
1537140017,79471,9370320
1537140932,79471,9370320
1537141653,79474,9370323
1537142174,79474,9370324
1537142613,79472,9370322
1537143573,79474,9370324
1537144095,79486,9370336
1537144533,79492,9370342
1537145494,79487,9370337
1537146038,79496,9370346
1537146454,79498,9370349
1537147414,79503,9370354
1537148372,79499,9370350
1537149333,79491,9370343
1537149856,79480,9370332
1537150294,79489,9370341
1537151012,79489,9370341
1537151973,79485,9370337
1537152694,79487,9370339
1537153412,79486,9370338
1537153942,79486,9370339
1537154373,79489,9370343
1537155093,79491,9370345
1537155871,79492,9370346
1537156533,79486,9370340
1537157253,79484,9370338
1537157783,79496,9370351
1537158214,79494,9370349
1537158935,79498,9370353
1537159709,79490,9370345
1537160651,79492,9370347
1537161093,79490,9370345
1537161623,79489,9370344
1537162054,79494,9370349
1537163013,79487,9370342
1537163547,79487,9370339
1537163973,79481,9370331
1537164933,79476,9370326
1537165460,79478,9370328
1537165893,79476,9370325
1537166853,79473,9370322
1537167388,79477,9370326
1537167813,79483,9370332
1537168773,79485,9370334
1537169291,79496,9370345
1537169733,79501,9370350
1537170693,79497,9370347
1537171247,79503,9370353
1537171654,79502,9370352
1537172614,79502,9370352
1537173153,79507,9370359
1537173573,79508,9370360
1537174534,79498,9370350
1537175074,79496,9370348
1537175545,79500,9370351
1537176453,79502,9370353
1537176981,79496,9370347
1537177413,79499,9370350
1537178915,79507,9370358
1537179813,79502,9370353
1537180533,79510,9370362
1537180822,79507,9370359
1537181253,79563,9370415
1537182213,79670,9370521
1537182744,79673,9370524
1537183173,79674,9370524
1537184133,79673,9370523
1537184656,79690,9370540
1537185094,79686,9370536
1537186604,79690,9370540
1537187494,79687,9370536
1537188214,79688,9370537
1537188500,79688,9370537
1537188933,79689,9370538
1537189894,79683,9370532
1537190432,79701,9370552
1537190853,79706,9370557
1537191814,79713,9370564
1537192339,79713,9370564
1537192833,79720,9370571
1537193733,79723,9370574
1537194516,79738,9370588
1537195174,79735,9370584
1537196134,79738,9370587
1537196663,79726,9370575
1537197094,79712,9370560
1537198053,79703,9370551
1537198585,79700,9370547
1537199493,79700,9370546
1537200024,79701,9370547
1537200212,79695,9370541
1537200542,79684,9370532
1537200934,79677,9370525
1537201892,79681,9370529
1537202415,79672,9370520
1537202854,79668,9370515
1537203814,79660,9370508
1537204338,79658,9370507
1537204774,79655,9370504
1537205733,79659,9370507
1537206260,79666,9370514
1537206692,79662,9370511
1537207414,79658,9370506
1537208134,79661,9370509
1537208854,79646,9370493
1537209573,79643,9370490
1537210101,79628,9370474
1537210532,79621,9370467
1537211493,79606,9370452
1537212014,79598,9370444
1537212454,79606,9370451
1537213413,79598,9370441
1537213941,79585,9370429
1537214372,79580,9370425
1537215333,79577,9370423
1537215853,79579,9370424
1537216293,79576,9370421
1537217013,79578,9370423
1537217784,79561,9370407
1537218453,79569,9370414
1537219174,79571,9370416
1537219694,79564,9370410
1537220613,79555,9370401
1537221333,79550,9370397
1537221636,79534,9370381
1537222052,79530,9370377
1537223013,79541,9370388
1537223539,79540,9370388
1537224214,79542,9370391
1537225174,79539,9370388
1537225458,79539,9370389
1537226135,79534,9370385
1537227163,79527,9370378
1537227617,79527,9370378
1537228053,79523,9370374
1537229014,79531,9370383
1537229543,79537,9370389
1537229973,79540,9370391
1537231472,79548,9370400
1537232157,79549,9370401
1537232853,79551,9370401
1537233813,79552,9370402
1537234330,79554,9370404
1537234534,79556,9370407
1537235308,79553,9370405
1537236214,79552,9370403
1537237236,79554,9370401
1537237893,79562,9370409
1537238613,79562,9370410
1537239333,79563,9370411
1537240054,79558,9370405
1537241014,79558,9370404
1537241974,79563,9370409
1537242700,79568,9370414
1537242970,79563,9370409
1537243413,79565,9370411
1537244135,79570,9370416
1537244908,79564,9370410
1537245574,79565,9370411
1537246294,79570,9370417
1537246832,79573,9370421
1537247012,79573,9370421
1537247735,79577,9370425
1537248758,79575,9370424
1537249210,79577,9370426
1537249413,79579,9370428
1537250134,79584,9370440
1537250665,79572,9370428
1537250853,79574,9370429
1537251573,79570,9370425
1537252293,79569,9369401
1537252577,79566,9369398
1537253494,79563,9369396
1537254517,79565,9369398
1537255414,79563,9369396
1537256435,79580,9369413
1537257334,79579,9369411
1537258356,79961,9369794
1537259254,79968,9369801
1537260277,79999,9369832
1537261234,80003,9369836
1537262197,80000,9369831
1537263092,80001,9369832
1537264115,80007,9369838
1537265013,80009,9369840
1537266030,80011,9369842
1537266693,80008,9369838
1537267414,80005,9369836
1537267939,80006,9369838
1537268134,79889,9369721
1537268853,79883,9369715
1537270106,79909,9369741
1537271015,79905,9369736
1537272073,79915,9369746
1537272932,79917,9369748
1537273893,79910,9369741
1537274613,79906,9369737
1537275333,79905,9369736
1537275870,79903,9369734
1537276292,79907,9369738
1537277012,79908,9369739
1537278052,79903,9369735
1537278989,79907,9369739
