DateTime,AddedIPs,RemovedIPs
1537005723,16,0
1537006324,21,0
1537006923,14,0
1537007524,4,0
1537008124,4,0
1537008724,15,0
1537009323,25,0
1537009923,8,0
1537010523,5,0
1537011123,16,0
1537011723,10,0
1537012324,14,0
1537012924,16,0
1537013523,13,0
1537014124,12,0
1537014723,19,0
1537015324,12,0
1537015923,7,0
1537016524,20,1
1537017123,25,0
1537017723,11,0
1537018923,12,0
1537020123,17,0
1537021323,23,0
1537021923,8,0
1537022523,3,0
1537023723,14,1
1537024323,8,0
1537024924,14,0
1537025524,22,0
1537026123,11,0
1537027324,24,0
1537027923,13,0
1537028524,13,0
1537029125,15,0
1537029723,9,0
1537030323,16,0
1537030924,24,0
1537031523,18,0
1537032124,16,0
1537032723,3,0
1537033324,8,0
1537034524,13,0
1537035123,19,0
1537035723,8,0
1537036324,8,0
1537036924,6,0
1537038123,13,0
1537038723,24,0
1537039323,5,0
1537039923,10,0
1537040523,14,0
1537041124,10,0
1537041725,13,0
1537042324,8,1
1537042923,9,0
1537044123,21,0
1537044723,8,0
1537045323,7,0
1537045924,10,0
1537046523,19,0
1537047123,9,0
1537047724,12,0
1537048323,6,0
1537048924,13,0
1537049523,21,0
1537050123,12,0
1537051323,11,0
1537052523,6,0
1537053123,178,0
1537053724,18,0
1537054323,31,0
1537054924,20,0
1537055522,2,0
1537056124,6,0
1537056723,16,0
1537057323,21,0
1537057924,9,0
1537058523,7,0
1537059123,8,0
1537059723,16,0
1537060324,7,0
1537060923,2,0
1537061523,10,0
1537062124,18,0
1537063323,24,0
1537063923,32,0
1537064524,3,0
1537065123,4,0
1537065724,5,0
1537066923,7,0
1537068123,323,0
1537069324,17,0
1537069923,16,0
1537070523,21,1
1537071124,16,0
1537071724,20,0
1537072324,7,1
1537072923,47,0
1537074124,14,0
1537075324,5,0
1537075923,5,0
1537076523,47,0
1537077123,41,0
1537077723,32,1
1537078324,14,0
1537078923,3,0
1537079523,26,0
1537080123,31,0
