DateTime,AddedIPs,RemovedIPs
1536384276,35,15
1536386455,54,22
1536388357,43,13
1536390256,31,17
1536392201,19,33
1536394095,18,22
1536396033,19,34
1536397945,19,26
1536399862,12,17
1536401789,20,1137
1536403703,40,31
1536405624,526,0
1536407548,28,36
1536409478,30,21
1536411395,26,18
1536413292,27,22
1536415256,22,19
1536417155,18,23
1536419072,23,22
1536420979,35,22
1536422962,29,10
1536425070,11,9
1536426992,30,31
1536428900,15,14
1536430830,31,24
1536432739,17,13
1536434674,9,16
1536436572,20,26
1536438511,23,25
1536440437,29,33
1536442355,13,21
1536444262,15,29
1536446178,17,26
1536448105,463,0
1536450034,27,30
1536451959,34,30
1536453864,20,18
1536455801,26,17
1536457701,19,15
1536459636,24,20
1536461552,17,16
1536463455,12,18
1536465385,17,19
1536467312,11,10
1536469241,17,17
1536471141,7,18
1536473086,7,16
1536475231,51,20
1536477149,12,14
1536479054,22,13
1536480994,31,29
1536482899,24,30
1536484840,39,27
1536486745,27,24
1536488690,19,1464
1536490571,50,38
1536492507,763,0
1536494470,32,24
1536496358,27,34
1536498266,23,28
1536500674,37,37
1536502580,29,50
1536504500,29,43
1536506409,31,61
1536508356,37,60
1536510275,30,44
1536512176,28,31
1536514106,22,34
1536516036,43,53
1536517951,24,30
1536519862,32,34
1536521786,35,26
1536523714,44,16
1536525619,33,19
1536527542,23,19
1536529468,22,15
1536531392,8,24
1536533299,5,28
1536535228,666,0
1536537136,8,16
1536539059,11,21
1536540984,37,35
1536542899,14,25
1536544834,17,38
1536546748,17,40
1536548676,17,41
1536550573,17,57
1536552494,10,56
1536554440,37,30
1536556332,15,24
1536558276,23,36
1536560186,25,46
1536562359,33,32
1536564268,15,28
1536566196,23,17
1536568092,14,16
1536570054,28,24
1536571953,25,14
1536573867,16,1044
1536575772,23,28
1536577714,535,0
1536579627,28,25
1536581561,39,32
1536583458,29,18
1536585384,23,32
1536587311,41,22
1536589240,28,23
1536591155,19,19
1536593071,34,17
1536594992,43,19
1536596916,12,10
1536598850,57,21
1536600755,46,9
1536602665,21,12
1536604602,28,26
1536606499,21,14
1536608436,10,21
1536610341,20,29
1536612258,13,25
1536614458,18,49
1536616345,9,30
1536618255,20,20
1536620218,31,32
1536622108,473,0
1536624037,19,33
1536625940,15,19
1536627883,14,15
1536629782,21,31
1536631710,17,17
1536633629,17,22
1536635546,11,15
1536637454,13,15
1536639391,16,16
1536641308,11,11
1536643242,16,11
1536645154,14,12
1536647078,20,16
1536648980,24,19
1536651145,25,19
1536653063,17,25
1536655237,39,35
1536657135,44,33
1536659075,47,32
1536660986,49,1153
1536662915,30,21
1536664824,487,0
1536666746,49,13
1536668673,26,14
1536670587,19,33
1536672494,3,12
1536674438,39,21
1536676334,33,21
1536678279,35,19
1536680418,27,21
1536682335,23,21
1536684268,34,29
1536686684,28,25
1536688591,23,24
1536690499,34,14
1536692431,29,25
1536694342,29,13
1536696277,36,21
1536698185,39,30
1536700110,31,31
1536702018,26,23
1536703941,27,24
1536705862,17,15
1536707782,429,0
1536709701,17,7
1536711615,16,10
1536713561,17,26
1536715467,19,12
1536717382,22,14
1536719293,16,19
1536721253,14,17
1536723141,23,16
1536725086,37,13
1536726988,47,34
1536728917,30,19
1536730815,43,23
1536732756,41,15
1536734658,38,15
1536736605,56,20
1536738505,34,17
1536740414,46,21
1536742337,28,34
1536744274,32,27
1536746195,24,22
1536748100,21,1101
1536750031,516,1
1536751947,22,11
1536753863,27,17
1536755788,35,15
1536757697,30,17
1536759615,47,18
1536761543,31,12
1536763470,31,14
1536765374,54,21
1536767307,28,18
1536769240,17,16
1536771148,28,13
1536773070,24,16
1536774979,33,14
1536776907,29,18
1536778837,34,21
1536780752,21,24
1536782671,28,23
1536784573,32,35
1536786519,37,44
1536788427,31,45
1536790344,13,47
1536792254,17,28
1536794205,461,0
1536796095,15,7
1536798037,24,14
1536799955,23,12
1536801883,32,15
1536803782,43,16
1536805696,24,13
1536807640,25,13
1536809556,17,7
1536811467,33,15
1536813399,31,11
1536815322,21,18
1536817233,20,15
1536819151,22,9
1536821079,13,21
1536823232,32,25
1536825149,29,23
1536827067,20,25
1536828996,24,47
1536831143,17,37
1536833052,24,1344
1536834968,27,22
1536836903,688,0
1536839060,35,25
1536841002,34,15
1536842895,25,19
1536844821,29,20
1536846763,23,24
1536848659,24,19
1536850577,24,16
1536852490,21,25
1536854429,26,38
1536856343,22,36
1536858273,23,40
1536860197,20,36
1536862096,15,37
1536864013,21,46
1536865936,16,40
1536867869,17,44
1536869783,20,49
1536871952,20,30
1536873855,5,37
1536875784,5,33
1536877695,14,20
1536879671,627,0
1536881537,9,18
1536883484,10,13
1536885407,18,15
1536887325,9,14
1536889230,27,23
1536891153,30,18
1536893053,19,14
1536895018,18,20
1536896898,22,23
1536898842,24,43
1536900743,23,41
1536902680,18,26
1536904585,15,40
1536906517,22,40
1536908441,24,44
1536910599,23,45
1536912525,22,42
1536914439,25,28
1536916348,16,31
1536918260,17,34
1536920198,23,1283
1536922096,30,20
1536924041,601,0
1536925941,25,15
1536928114,42,29
1536930056,43,39
1536931954,40,42
1536933865,27,34
1536935770,46,31
1536937724,26,21
1536939882,48,25
1536941791,41,31
1536943704,40,25
1536945617,38,32
1536947561,38,19
1536949457,39,11
1536951393,45,23
1536953318,21,29
1536955237,25,33
1536957146,20,23
1536959082,33,20
1536960997,41,22
1536962904,29,25
1536965320,26,24
1536967461,523,0
1536969386,28,19
1536971299,30,19
1536973240,37,31
1536975144,22,33
1536977080,28,31
1536978986,22,30
1536980927,27,17
1536982820,27,24
1536984743,17,26
1536986655,25,22
1536988595,29,28
1536990494,19,17
1536992659,25,15
1536994582,24,23
1536996501,9,27
1536998437,23,28
