DateTime,Entries,UniqueIPs
1536384276,2733,2733
1536386455,2765,2765
1536388357,2795,2795
1536390256,2809,2809
1536392201,2795,2795
1536394095,2791,2791
1536396033,2776,2776
1536397945,2769,2769
1536399862,2764,2764
1536401789,1647,1647
1536403703,1656,1656
1536405624,2182,2182
1536407548,2174,2174
1536409478,2183,2183
1536411395,2191,2191
1536413292,2196,2196
1536415256,2199,2199
1536417155,2194,2194
1536419072,2195,2195
1536420979,2208,2208
1536422962,2227,2227
1536425070,2229,2229
1536426992,2228,2228
1536428900,2229,2229
1536430830,2236,2236
1536432739,2240,2240
1536434674,2233,2233
1536436572,2227,2227
1536438511,2225,2225
1536440437,2221,2221
1536442355,2213,2213
1536444262,2199,2199
1536446178,2190,2190
1536448105,2653,2653
1536450034,2650,2650
1536451959,2654,2654
1536453864,2656,2656
1536455801,2665,2665
1536457701,2669,2669
1536459636,2673,2673
1536461552,2674,2674
1536463455,2668,2668
1536465385,2666,2666
1536467312,2667,2667
1536469241,2667,2667
1536471141,2656,2656
1536473086,2647,2647
1536475231,2678,2678
1536477149,2676,2676
1536479054,2685,2685
1536480994,2687,2687
1536482899,2681,2681
1536484840,2693,2693
1536486745,2696,2696
1536488690,1251,1251
1536490571,1263,1263
1536492507,2026,2026
1536494470,2034,2034
1536496358,2027,2027
1536498266,2022,2022
1536500674,2022,2022
1536502580,2001,2001
1536504500,1987,1987
1536506409,1957,1957
1536508356,1934,1934
1536510275,1920,1920
1536512176,1917,1917
1536514106,1905,1905
1536516036,1895,1895
1536517951,1889,1889
1536519862,1887,1887
1536521786,1896,1896
1536523714,1924,1924
1536525619,1938,1938
1536527542,1942,1942
1536529468,1949,1949
1536531392,1933,1933
1536533299,1910,1910
1536535228,2576,2576
1536537136,2568,2568
1536539059,2558,2558
1536540984,2560,2560
1536542899,2549,2549
1536544834,2528,2528
1536546748,2505,2505
1536548676,2481,2481
1536550573,2441,2441
1536552494,2395,2395
1536554440,2402,2402
1536556332,2393,2393
1536558276,2380,2380
1536560186,2359,2359
1536562359,2360,2360
1536564268,2347,2347
1536566196,2353,2353
1536568092,2351,2351
1536570054,2355,2355
1536571953,2366,2366
1536573867,1338,1338
1536575772,1333,1333
1536577714,1868,1868
1536579627,1871,1871
1536581561,1878,1878
1536583458,1889,1889
1536585384,1880,1880
1536587311,1899,1899
1536589240,1904,1904
1536591155,1904,1904
1536593071,1921,1921
1536594992,1945,1945
1536596916,1947,1947
1536598850,1983,1983
